,com (y),com (x),end_1 (y),end_1 (x),end_2 (y),end_2 (x),ee-distance,gyr_distance,length,time,T,length_ref
0,0.561,-42.959,-0.459,-43.571000000000005,0.051,-41.973000000000006,1.6774099081619855,1.10528299305024,2.613707737365452,0.0,10,24.174000000000003
1,-0.289,-41.531000000000006,0.017,-42.415000000000006,0.765,-42.177,0.7849509538818333,0.9981164449781644,5.569204077813432,2.0,10,24.174000000000003
2,-0.085,-41.565000000000005,-1.445,-42.517,1.649,-42.143,3.1165224209044284,1.2174055049833763,6.030889790794906,4.0,10,24.174000000000003
3,-0.187,-41.905,-2.431,-42.959,0.425,-42.381,2.913901165104953,1.2318605779352931,5.912900837726654,6.0,10,24.174000000000003
4,-0.187,-41.565000000000005,0.187,-43.673,0.255,-40.307,3.366686798619676,1.0719566937387055,3.809085069273192,8.0,10,24.174000000000003
5,-0.153,-41.701,0.561,-42.449000000000005,-1.751,-41.327000000000005,2.5698692573747794,1.1348671703007045,5.645473218968802,10.0,10,24.174000000000003
6,-0.221,-41.769000000000005,0.5950000000000001,-42.653000000000006,-0.7310000000000001,-39.763000000000005,3.1796817450807877,1.3965457906758896,4.121829465141842,12.0,10,24.174000000000003
7,-0.561,-41.565000000000005,1.479,-43.911,-0.289,-39.457,4.792070533704612,1.5973282797406094,6.466567023097165,14.0,10,24.174000000000003
8,-0.969,-41.633,-2.907,-42.415000000000006,0.8670000000000001,-43.877,4.047285510067211,1.6180018670228793,7.11338284810456,16.0,10,24.174000000000003
9,-0.6970000000000001,-41.463,0.7310000000000001,-40.477,0.5950000000000001,-41.259,0.7937379920351552,1.5940236230131932,2.678918962007708,18.0,10,24.174000000000003
10,-1.037,-41.463,,,,,0.7937379920351552,1.4998408165685782,,20.0,10,24.174000000000003
11,-0.969,-41.633,0.663,-39.593,-3.2470000000000003,-42.857000000000006,5.093308944095185,1.4393649091611047,6.229913408906247,22.0,10,24.174000000000003
12,-0.8330000000000001,-41.395,-0.969,-41.667,-2.499,-42.075,1.5834658190185225,1.128770813928572,3.0422261224370346,24.0,10,24.174000000000003
13,-1.5810000000000002,-42.449000000000005,-0.289,-44.387,0.017,-42.415000000000006,1.99560016035277,1.400220126455438,8.468830237623965,26.0,10,24.174000000000003
14,-1.411,-41.837,-2.499,-42.721,0.017,-41.123000000000005,2.980580480376264,1.666421836508921,6.015375742775545,28.0,10,24.174000000000003
15,-2.125,-42.823,-1.3090000000000002,-44.931,-1.173,-41.259,3.674517655420913,1.3706678287882152,6.474780872236006,30.0,10,24.174000000000003
16,-1.683,-42.585,-3.1790000000000003,-43.605,-1.139,-41.089000000000006,3.2391134589575588,1.1506043804744412,3.851634102464495,32.0,10,24.174000000000003
17,-1.989,-42.891000000000005,-0.357,-40.579,-0.765,-40.579,0.408,1.4367549695658135,0.6947662831140077,34.0,10,24.174000000000003
18,-1.955,-42.857000000000006,-2.499,-42.959,-3.0770000000000004,-42.415000000000006,0.7937379920351552,1.3315333101908842,1.8977878804685375,36.0,10,24.174000000000003
19,-1.6150000000000002,-42.653000000000006,,,,,0.7937379920351552,1.5980288056577427,,38.0,10,24.174000000000003
20,-1.411,-42.993,-2.805,-42.449000000000005,-0.017,-42.143,2.8047424124150866,1.434737487343085,7.509439333393146,40.0,10,24.174000000000003
21,-1.445,-42.007000000000005,-2.8390000000000004,-42.245000000000005,-0.323,-41.089000000000006,2.768861137724317,1.142311855034381,5.495781390068853,42.0,10,24.174000000000003
22,-1.683,-42.177,-2.7710000000000004,-42.483,-1.3430000000000002,-41.021,2.0436800140922258,1.352029713884844,4.807931557431586,44.0,10,24.174000000000003
23,-1.751,-42.143,-3.145,-42.925,-0.187,-41.667,3.21439387754519,1.797940890019558,6.258517761109467,46.0,10,24.174000000000003
24,-1.785,-42.279,,,,,3.21439387754519,1.526372569655499,,48.0,10,24.174000000000003
25,-1.717,-42.177,-3.0770000000000004,-42.789,-1.3430000000000002,-41.021,2.4764046519097,1.5722440270544409,4.833279944208362,50.0,10,24.174000000000003
26,-1.819,-42.449000000000005,-2.023,-43.673,-0.6970000000000001,-42.245000000000005,1.9487072638033656,1.7634352232739108,7.808194568911136,52.0,10,24.174000000000003
27,-1.683,-42.143,-2.125,-45.951,-1.207,-46.42700000000001,1.0340696301506975,1.619788728457515,1.1284259837337165,54.0,10,24.174000000000003
28,-1.6150000000000002,-42.381,-2.2270000000000003,-42.279,-3.4170000000000003,-43.333000000000006,1.5896590829482906,1.925399746853932,2.167404629933532,56.0,10,24.174000000000003
29,-1.5470000000000002,-41.973000000000006,-2.7710000000000004,-42.143,-2.907,-42.721,0.5937844726834813,1.504761803518146,1.1908939687064122,58.0,10,24.174000000000003
30,-1.207,-42.279,0.7310000000000001,-42.211000000000006,-2.091,-44.455000000000005,3.605443107303179,1.6484975393941503,7.525143131223301,60.0,10,24.174000000000003
31,-1.275,-42.347,,,,,3.605443107303179,1.6957524620862898,,62.0,10,24.174000000000003
32,-1.173,-42.313,1.003,-42.313,-1.479,-45.543000000000006,4.073478120721898,1.756878619105345,8.917067535557608,64.0,10,24.174000000000003
33,-0.935,-42.721,-0.561,-43.163,-0.663,-43.197,0.1075174404457249,2.0729591748547134,11.687950665749517,66.0,10,24.174000000000003
34,-0.459,-42.823,1.003,-43.537000000000006,-1.275,-45.611,3.080707710900208,1.7947324726990832,5.481129683632748,68.0,10,24.174000000000003
35,-0.255,-42.857000000000006,0.289,-42.347,0.561,-46.461000000000006,4.122981930593439,1.869308808832197,9.549824697847114,70.0,10,24.174000000000003
36,-0.051,-43.401,0.221,-42.687000000000005,-0.901,-46.529,4.002480231056738,2.0817254853059395,5.101664400879684,72.0,10,24.174000000000003
37,0.187,-43.962,0.357,-42.891000000000005,-0.425,-46.053,3.257263882463317,2.379574962046794,19.070996987718697,74.0,10,24.174000000000003
38,0.323,-44.047,3.4170000000000003,-44.115,3.3830000000000005,-44.387,0.2741167634421507,2.4222748120400457,16.445048449846723,76.0,10,24.174000000000003
39,0.8670000000000001,-43.639,3.281,-44.115,0.051,-44.659000000000006,3.2754901923223647,2.088600678488832,11.15985546601778,78.0,10,24.174000000000003
40,1.207,-43.129000000000005,3.213,-44.659000000000006,1.003,-44.659000000000006,2.21,1.923224980324792,13.015237913678826,80.0,10,24.174000000000003
41,1.5810000000000002,-43.129000000000005,3.1790000000000003,-44.931,3.2470000000000003,-44.659000000000006,0.2803711825420009,2.2205977422942094,15.505555002562527,82.0,10,24.174000000000003
42,1.003,-43.537000000000006,1.139,-45.237,1.3430000000000002,-45.543000000000006,0.3677662300973269,2.275559408967076,2.4602511020112496,84.0,10,24.174000000000003
43,1.377,-43.163,0.085,-45.951,2.329,-45.679,2.260424738848874,2.1502633376882674,17.588547936548732,86.0,10,24.174000000000003
44,1.3090000000000002,-43.163,3.0090000000000003,-44.897000000000006,3.1790000000000003,-44.115,0.8002649561239078,2.188499798497062,14.228976751365522,88.0,10,24.174000000000003
45,0.799,-43.265,3.4170000000000003,-45.917,2.1590000000000003,-43.503,2.722124170569741,2.280158669943235,13.143186382687976,90.0,10,24.174000000000003
46,0.629,-43.639,,,,,2.722124170569741,2.4562239541210946,,92.0,10,24.174000000000003
47,0.085,-43.707,2.8390000000000004,-44.86300000000001,3.145,-43.877,1.0323913986468505,2.442035459139584,14.690692016849386,94.0,10,24.174000000000003
48,-0.017,-43.979000000000006,,,,,1.0323913986468505,2.7764938885675607,,96.0,10,24.174000000000003
49,0.493,-44.387,2.669,-44.625,3.3830000000000005,-44.149,0.8581212035604295,2.5453693649429403,14.87237316367106,98.0,10,24.174000000000003
50,0.204,-44.149,2.669,-45.169,3.519,-44.115,1.3540369271183117,2.50937198780088,14.494574443115576,100.0,10,24.174000000000003
51,-0.017,-43.945,3.519,-44.387,3.519,-44.081,0.306,2.882080523384948,18.078613351085743,102.0,10,24.174000000000003
52,0.425,-44.42100000000001,3.111,-46.529,-0.7310000000000001,-48.331,4.243603185972977,2.8491519192012467,,104.0,10,24.174000000000003
53,0.085,-44.42100000000001,3.111,-46.563,3.689,-44.183,2.4491802710294728,2.807194742099871,18.74479723641853,106.0,10,24.174000000000003
54,0.629,-44.115,1.887,-46.733,3.655,-44.183,3.102954076360138,2.892988914358828,14.65975301795127,108.0,10,24.174000000000003
55,0.663,-43.775000000000006,2.975,-45.203,3.689,-44.183,1.245068672804838,2.521291524400716,14.942277178056386,110.0,10,24.174000000000003
56,0.289,-45.033,-1.513,-46.291,2.635,-44.965,4.354788169360251,2.5685218391705384,5.626129365458688,112.0,10,24.174000000000003
57,-0.6970000000000001,-44.761,1.513,-42.143,2.397,-46.019000000000005,3.975529147170223,2.9720562064641416,13.79893259659072,114.0,10,24.174000000000003
58,-0.323,-44.557,1.241,-41.089000000000006,2.669,-45.135000000000005,4.290606017802148,2.7592975860236955,11.88541606973372,116.0,10,24.174000000000003
59,0.051,-44.217000000000006,2.499,-45.067,3.519,-44.081,1.4186599310617043,2.562554159489015,14.78587501214561,118.0,10,24.174000000000003
60,0.153,-44.557,2.635,-45.101000000000006,3.519,-44.149,1.2991381758689104,2.5539636393470726,14.933831160429182,120.0,10,24.174000000000003
61,0.221,-44.42100000000001,3.655,-44.047,3.689,-44.353,0.3078830946966722,2.706926062530063,17.020997483491893,122.0,10,24.174000000000003
62,0.629,-44.353,3.587,-44.081,2.907,-45.033,1.1699162363177973,2.705012877356902,15.749580904138366,124.0,10,24.174000000000003
63,0.357,-44.489,3.655,-44.115,3.145,-45.237,1.2324706893066464,2.749543242304421,15.427122510364756,126.0,10,24.174000000000003
64,0.663,-44.115,3.655,-44.081,2.193,-46.665000000000006,2.968922363417407,2.575496849372951,17.2675411537616,128.0,10,24.174000000000003
65,0.357,-43.095000000000006,3.621,-44.047,2.873,-46.529,2.592263103930618,2.472883925484878,18.46616393152964,130.0,10,24.174000000000003
66,1.445,-42.925,0.8670000000000001,-42.551,1.989,-46.529,4.1332031162283815,2.531180477759964,15.844488256042125,132.0,10,24.174000000000003
67,1.955,-42.721,1.105,-42.517,3.689,-44.251000000000005,3.111882388523062,2.2198958413971424,10.580724832462533,134.0,10,24.174000000000003
68,2.2270000000000003,-42.041,2.397,-46.529,3.1790000000000003,-46.495000000000005,0.7827387814590511,2.575339856985256,1.6494904082722075,136.0,10,24.174000000000003
69,2.2950000000000004,-42.517,0.255,-42.211000000000006,1.921,-46.563,4.659984978516562,2.544636953618549,11.99297420800166,138.0,10,24.174000000000003
70,1.921,-43.061,1.921,-46.563,3.519,-44.047,2.980580480376264,2.205031914097742,14.630042214269688,140.0,10,24.174000000000003
71,2.2270000000000003,-42.823,1.139,-42.687000000000005,3.4170000000000003,-44.047,2.65308951978632,2.2982193106838174,9.73824121089766,142.0,10,24.174000000000003
72,2.193,-42.857000000000006,1.717,-46.461000000000006,3.3830000000000005,-44.149,2.849719284420836,2.3944247029407144,15.25414579625285,144.0,10,24.174000000000003
73,2.2950000000000004,-42.789,2.567,-46.325,0.255,-42.483,4.484005798390542,2.3722300230119013,6.484463605433762,146.0,10,24.174000000000003
74,1.853,-43.061,1.5470000000000002,-47.345000000000006,1.3090000000000002,-46.495000000000005,0.8826913390308077,2.307262431605269,1.6613865484158272,148.0,10,24.174000000000003
75,2.057,-43.469,0.493,-45.98500000000001,2.873,-44.353,2.8857969436535207,2.080689450146145,3.6385527301382,150.0,10,24.174000000000003
76,1.683,-43.571000000000005,-1.037,-45.611,2.5330000000000004,-44.42100000000001,3.763110415600372,2.232857678248001,4.405229612741123,152.0,10,24.174000000000003
77,1.751,-43.639,-0.425,-46.257000000000005,3.111,-44.081,4.151899806112859,2.27050047053384,6.751045403976791,154.0,10,24.174000000000003
78,1.6150000000000002,-43.707,2.057,-47.889,2.1590000000000003,-43.979000000000006,3.911330208509632,2.2390339778072423,7.068074443224078,156.0,10,24.174000000000003
79,1.785,-43.571000000000005,1.445,-47.889,1.989,-44.013000000000005,3.91398926927502,2.268209995422235,7.807832549064912,158.0,10,24.174000000000003
80,1.819,-43.486,1.819,-46.903000000000006,1.683,-42.177,4.727956429579274,2.245314857592396,12.860454805035475,160.0,10,24.174000000000003
81,1.683,-43.435,1.989,-46.699000000000005,1.785,-42.755,3.949272338038997,2.2577570423824938,5.992552869531071,162.0,10,24.174000000000003
82,1.5810000000000002,-43.333000000000006,1.207,-43.979000000000006,-0.153,-42.177,2.257610240940628,2.331283671901871,6.492159213667995,164.0,10,24.174000000000003
83,1.445,-43.163,1.649,-46.767,0.425,-40.239,6.64175880320868,2.592513518437962,12.298080524947968,166.0,10,24.174000000000003
84,1.207,-43.265,0.153,-47.617,0.255,-39.729000000000006,7.8886594551926255,2.7490646670088044,12.95864935201578,168.0,10,24.174000000000003
85,0.391,-42.891000000000005,-1.003,-47.141000000000005,1.853,-42.415000000000006,5.521939152145739,3.308963078000379,9.066749805116189,170.0,10,24.174000000000003
86,0.051,-43.503,-0.765,-47.889,0.289,-37.417,10.524908550671592,3.1891164730968304,13.960897290201936,172.0,10,24.174000000000003
87,-0.119,-42.857000000000006,0.391,-44.795,0.085,-37.723000000000006,7.078617096580377,2.874477761905045,11.581191923894838,174.0,10,24.174000000000003
88,-0.7310000000000001,-42.109,-1.5810000000000002,-44.659000000000006,-0.119,-37.927,6.888923573389387,3.1195732688601123,9.765830576428932,176.0,10,24.174000000000003
89,-1.037,-43.503,-1.819,-43.775000000000006,0.391,-37.179,6.956386705754648,3.5525247724895546,8.613636297729242,178.0,10,24.174000000000003
