# Translocation events (aligned with end1, detected with com)
# t_start(s), t_end(s), duration(s), direction, type, worm_id
196.0, 344.0, 148.0, L2L, attempt, 241112_worm_1
354.0, 478.0, 124.0, L2L, attempt, 241112_worm_1
490.0, 528.0, 38.0, L2L, attempt, 241112_worm_1
546.0, 606.0, 60.0, L2L, attempt, 241112_worm_1
612.0, 704.0, 92.0, L2L, attempt, 241112_worm_1
706.0, 786.0, 80.0, L2L, attempt, 241112_worm_1
790.0, 850.0, 60.0, L2L, attempt, 241112_worm_1
854.0, 1020.0, 166.0, L2L, attempt, 241112_worm_1
1024.0, 1030.0, 6.0, L2L, attempt, 241112_worm_1
1034.0, 1622.0, 588.0, L2L, attempt, 241112_worm_1
1624.0, 1676.0, 52.0, L2L, attempt, 241112_worm_1
1820.0, 1824.0, 4.0, L2L, attempt, 241112_worm_1
1828.0, 1870.0, 42.0, L2L, attempt, 241112_worm_1
1872.0, 2006.0, 134.0, L2L, attempt, 241112_worm_1
2010.0, 2048.0, 38.0, L2L, attempt, 241112_worm_1
2066.0, 2078.0, 12.0, L2L, attempt, 241112_worm_1
2212.0, 2214.0, 2.0, L2L, attempt, 241112_worm_1
2224.0, 2446.0, 222.0, L2L, attempt, 241112_worm_1
2494.0, 2498.0, 4.0, L2L, attempt, 241112_worm_1
2510.0, 2526.0, 16.0, L2L, attempt, 241112_worm_1
2532.0, 2550.0, 18.0, L2L, attempt, 241112_worm_1
2596.0, 2634.0, 38.0, L2L, attempt, 241112_worm_1
2638.0, 2844.0, 206.0, L2L, attempt, 241112_worm_1
2852.0, 2906.0, 54.0, L2L, attempt, 241112_worm_1
2908.0, 3028.0, 120.0, L2L, attempt, 241112_worm_1
3086.0, 3088.0, 2.0, L2L, attempt, 241112_worm_1
3092.0, 3102.0, 10.0, L2L, attempt, 241112_worm_1
3170.0, 3584.0, 414.0, L2L, attempt, 241112_worm_1
280.0, 284.0, 4.0, L2L, attempt, 241112_worm_2
296.0, 302.0, 6.0, L2L, attempt, 241112_worm_2
320.0, 334.0, 14.0, L2L, attempt, 241112_worm_2
356.0, 358.0, 2.0, L2L, attempt, 241112_worm_2
370.0, 372.0, 2.0, L2L, attempt, 241112_worm_2
378.0, 380.0, 2.0, L2L, attempt, 241112_worm_2
382.0, 434.0, 52.0, L2L, attempt, 241112_worm_2
592.0, 606.0, 14.0, L2L, attempt, 241112_worm_2
608.0, 616.0, 8.0, L2L, attempt, 241112_worm_2
618.0, 638.0, 20.0, L2L, attempt, 241112_worm_2
834.0, 836.0, 2.0, L2L, attempt, 241112_worm_2
838.0, 842.0, 4.0, L2L, attempt, 241112_worm_2
852.0, 924.0, 72.0, L2L, attempt, 241112_worm_2
1102.0, 1104.0, 2.0, L2L, attempt, 241112_worm_2
1110.0, 1112.0, 2.0, L2L, attempt, 241112_worm_2
1114.0, 1170.0, 56.0, L2L, attempt, 241112_worm_2
1380.0, 1382.0, 2.0, L2L, attempt, 241112_worm_2
1386.0, 1406.0, 20.0, L2L, attempt, 241112_worm_2
1410.0, 1436.0, 26.0, L2L, attempt, 241112_worm_2
1602.0, 1604.0, 2.0, L2L, attempt, 241112_worm_2
1606.0, 1624.0, 18.0, L2L, attempt, 241112_worm_2
1626.0, 1628.0, 2.0, L2L, attempt, 241112_worm_2
1630.0, 1652.0, 22.0, L2L, attempt, 241112_worm_2
1840.0, 1842.0, 2.0, L2L, attempt, 241112_worm_2
1846.0, 1908.0, 62.0, L2L, attempt, 241112_worm_2
1990.0, 1992.0, 2.0, L2L, attempt, 241112_worm_2
1994.0, 1996.0, 2.0, L2L, attempt, 241112_worm_2
2008.0, 2056.0, 48.0, L2L, attempt, 241112_worm_2
2496.0, 2500.0, 4.0, L2L, attempt, 241112_worm_2
2502.0, 2562.0, 60.0, L2L, attempt, 241112_worm_2
2776.0, 2796.0, 20.0, L2L, attempt, 241112_worm_2
2798.0, 2854.0, 56.0, L2L, attempt, 241112_worm_2
3108.0, 3240.0, 132.0, L2L, attempt, 241112_worm_2
3488.0, 3524.0, 36.0, L2L, attempt, 241112_worm_2
116.0, 118.0, 2.0, L2L, attempt, 241112_worm_3
132.0, 248.0, 116.0, L2L, attempt, 241112_worm_3
608.0, 612.0, 4.0, L2L, attempt, 241112_worm_3
620.0, 660.0, 40.0, L2L, attempt, 241112_worm_3
998.0, 1002.0, 4.0, L2L, attempt, 241112_worm_3
1004.0, 1018.0, 14.0, L2L, attempt, 241112_worm_3
1020.0, 1024.0, 4.0, L2L, attempt, 241112_worm_3
1042.0, 1044.0, 2.0, L2L, attempt, 241112_worm_3
1048.0, 1248.0, 200.0, L2L, attempt, 241112_worm_3
1392.0, 1394.0, 2.0, L2L, attempt, 241112_worm_3
1396.0, 1446.0, 50.0, L2L, attempt, 241112_worm_3
1832.0, 1834.0, 2.0, L2L, attempt, 241112_worm_3
1858.0, 1862.0, 4.0, L2L, attempt, 241112_worm_3
1868.0, 1870.0, 2.0, L2L, attempt, 241112_worm_3
1876.0, 1878.0, 2.0, L2L, attempt, 241112_worm_3
1880.0, 1922.0, 42.0, L2L, attempt, 241112_worm_3
2308.0, 2310.0, 2.0, L2L, attempt, 241112_worm_3
2312.0, 2344.0, 32.0, L2L, attempt, 241112_worm_3
2350.0, 2480.0, 130.0, L2L, attempt, 241112_worm_3
2738.0, 2740.0, 2.0, L2L, attempt, 241112_worm_3
2742.0, 2778.0, 36.0, L2L, attempt, 241112_worm_3
2786.0, 2788.0, 2.0, L2L, attempt, 241112_worm_3
2792.0, 2794.0, 2.0, L2L, attempt, 241112_worm_3
2804.0, 2808.0, 4.0, L2L, attempt, 241112_worm_3
2812.0, 2814.0, 2.0, L2L, attempt, 241112_worm_3
2816.0, 2848.0, 32.0, L2L, attempt, 241112_worm_3
2850.0, 2874.0, 24.0, L2L, attempt, 241112_worm_3
2902.0, 2946.0, 44.0, L2L, attempt, 241112_worm_3
2956.0, 3014.0, 58.0, L2L, attempt, 241112_worm_3
3318.0, 3320.0, 2.0, L2L, attempt, 241112_worm_3
3364.0, 3370.0, 6.0, L2L, attempt, 241112_worm_3
3372.0, 3452.0, 80.0, L2L, attempt, 241112_worm_3
72.0, 80.0, 8.0, L2L, attempt, 241112_worm_4
96.0, 98.0, 2.0, L2L, attempt, 241112_worm_4
112.0, 128.0, 16.0, L2L, attempt, 241112_worm_4
136.0, 148.0, 12.0, L2L, attempt, 241112_worm_4
1776.0, 1780.0, 4.0, L2L, attempt, 241112_worm_4
1792.0, 1794.0, 2.0, L2L, attempt, 241112_worm_4
1808.0, 1812.0, 4.0, L2L, attempt, 241112_worm_4
1820.0, 1838.0, 18.0, L2L, attempt, 241112_worm_4
1840.0, 1872.0, 32.0, L2L, attempt, 241112_worm_4
1876.0, 1882.0, 6.0, L2L, attempt, 241112_worm_4
1884.0, 1886.0, 2.0, L2L, attempt, 241112_worm_4
1888.0, 1914.0, 26.0, L2L, attempt, 241112_worm_4
1918.0, 1920.0, 2.0, L2L, attempt, 241112_worm_4
1922.0, 1924.0, 2.0, L2L, attempt, 241112_worm_4
1928.0, 1930.0, 2.0, L2L, attempt, 241112_worm_4
1932.0, 1978.0, 46.0, L2L, attempt, 241112_worm_4
2084.0, 2086.0, 2.0, L2L, attempt, 241112_worm_4
2152.0, 2156.0, 4.0, L2L, attempt, 241112_worm_4
66.0, 68.0, 2.0, L2L, attempt, 241112_worm_5
76.0, 104.0, 28.0, L2L, attempt, 241112_worm_5
568.0, 616.0, 48.0, L2L, attempt, 241112_worm_5
1172.0, 1174.0, 2.0, L2L, attempt, 241112_worm_5
1178.0, 1184.0, 6.0, L2L, attempt, 241112_worm_5
1186.0, 1188.0, 2.0, L2L, attempt, 241112_worm_5
1190.0, 1526.0, 336.0, L2L, attempt, 241112_worm_5
2040.0, 2044.0, 4.0, L2L, attempt, 241112_worm_5
2046.0, 2114.0, 68.0, L2L, attempt, 241112_worm_5
2190.0, 2194.0, 4.0, L2L, attempt, 241112_worm_5
2210.0, 2212.0, 2.0, L2L, attempt, 241112_worm_5
2214.0, 2218.0, 4.0, L2L, attempt, 241112_worm_5
2236.0, 2238.0, 2.0, L2L, attempt, 241112_worm_5
2264.0, 2266.0, 2.0, L2L, attempt, 241112_worm_5
2274.0, 2276.0, 2.0, L2L, attempt, 241112_worm_5
2278.0, 2280.0, 2.0, L2L, attempt, 241112_worm_5
2282.0, 2286.0, 4.0, L2L, attempt, 241112_worm_5
2288.0, 2312.0, 24.0, L2L, attempt, 241112_worm_5
2314.0, 2318.0, 4.0, L2L, attempt, 241112_worm_5
2320.0, 2330.0, 10.0, L2L, attempt, 241112_worm_5
2332.0, 2358.0, 26.0, L2L, attempt, 241112_worm_5
2362.0, 2372.0, 10.0, L2L, attempt, 241112_worm_5
2378.0, 2426.0, 48.0, L2L, attempt, 241112_worm_5
2428.0, 2432.0, 4.0, L2L, attempt, 241112_worm_5
2436.0, 2438.0, 2.0, L2L, attempt, 241112_worm_5
2560.0, 2562.0, 2.0, L2L, attempt, 241112_worm_5
2574.0, 2582.0, 8.0, L2L, attempt, 241112_worm_5
2584.0, 2608.0, 24.0, L2L, attempt, 241112_worm_5
2624.0, 2640.0, 16.0, L2L, attempt, 241112_worm_5
2642.0, 2644.0, 2.0, L2L, attempt, 241112_worm_5
2646.0, 2654.0, 8.0, L2L, attempt, 241112_worm_5
