# Trapping events (aligned with end1, detected with com)
# t_start(s), t_end(s), duration(s), x_mean(mm), worm_id
0.0, 320.0, 320.0, 43.76, 241121_2_worm_1
322.0, 324.0, 2.0, 40.21, 241121_2_worm_1
1384.0, 1710.0, 326.0, 43.71, 241121_2_worm_1
2808.0, 2810.0, 2.0, 40.04, 241121_2_worm_1
2814.0, 3270.0, 456.0, 43.50, 241121_2_worm_1
834.0, 888.0, 54.0, 41.09, 241121_2_worm_2
910.0, 986.0, 76.0, 43.89, 241121_2_worm_2
1020.0, 1088.0, 68.0, 42.97, 241121_2_worm_2
1090.0, 1116.0, 26.0, 41.02, 241121_2_worm_2
1220.0, 1224.0, 4.0, 40.37, 241121_2_worm_2
1226.0, 1324.0, 98.0, 42.55, 241121_2_worm_2
1328.0, 1406.0, 78.0, 43.41, 241121_2_worm_2
1446.0, 1566.0, 120.0, 42.99, 241121_2_worm_2
1568.0, 1572.0, 4.0, 40.55, 241121_2_worm_2
1600.0, 1702.0, 102.0, 43.30, 241121_2_worm_2
1806.0, 1812.0, 6.0, 40.88, 241121_2_worm_2
1818.0, 2150.0, 332.0, 43.31, 241121_2_worm_2
2256.0, 2258.0, 2.0, 40.08, 241121_2_worm_2
2446.0, 2594.0, 148.0, 42.64, 241121_2_worm_2
2596.0, 2638.0, 42.0, 42.82, 241121_2_worm_2
2648.0, 2650.0, 2.0, 40.11, 241121_2_worm_2
2664.0, 2666.0, 2.0, 40.15, 241121_2_worm_2
2672.0, 2674.0, 2.0, 41.17, 241121_2_worm_2
2676.0, 2678.0, 2.0, 40.04, 241121_2_worm_2
2796.0, 2800.0, 4.0, 40.18, 241121_2_worm_2
2802.0, 3286.0, 484.0, 43.48, 241121_2_worm_2
3534.0, 3596.0, 62.0, 41.94, 241121_2_worm_2
0.0, 1040.0, 1040.0, 42.96, 241121_2_worm_3
1050.0, 1052.0, 2.0, 40.04, 241121_2_worm_3
1054.0, 1062.0, 8.0, 40.31, 241121_2_worm_3
1356.0, 1366.0, 10.0, 40.62, 241121_2_worm_3
1372.0, 1456.0, 84.0, 41.52, 241121_2_worm_3
1458.0, 1506.0, 48.0, 41.21, 241121_2_worm_3
1508.0, 1526.0, 18.0, 40.73, 241121_2_worm_3
1528.0, 1960.0, 432.0, 43.21, 241121_2_worm_3
