Time x_cm_1 y_cm_1 x_cm_2 y_cm_2 x_cm_3 y_cm_3 x_cm_4 y_cm_4 x_cm_5 y_cm_5 x_cm_6 y_cm_6 x_cm_7 y_cm_7 x_cm_8 y_cm_8 x_cm_9 y_cm_9 x_cm_10 y_cm_10
0 -8.8355 1.1633 -7.2955 0.9757 -0.0599 2.0301 3.0346 3.4235 -0.1249 2.6188 -7.6598 -0.3336 -5.7089 1.9622 -8.7762 5.9323 -4.7857 5.0498 -5.6676 2.1162
1 -8.6053 1.6055 -7.1629 1.3851 1.1720 1.8051 5.6560 3.2728 0.4290 2.8123 -7.7714 -0.6089 -5.5423 1.5260 -9.6822 5.3554 -4.6553 4.2806 -5.7887 1.7345
2 -8.1961 1.9960 -6.8546 1.6802 2.1536 1.6369 8.6680 3.0867 0.5284 2.8761 -7.8956 -1.0019 -5.2335 0.9426 -10.2023 4.4250 -5.4125 3.3558 -6.2996 1.5343
3 -7.6128 2.3080 -6.4190 2.0296 3.1005 2.0031 11.9141 2.7383 0.6028 2.8284 -7.8461 -1.0166 -5.8736 -0.1637 -9.9245 3.6689 -6.1729 2.4177 -6.6302 1.8006
4 -7.1191 2.5934 -5.8881 2.2067 3.7174 2.3069 15.4127 2.5777 0.1878 3.1274 -7.9832 -1.2253 -6.7536 -0.7100 -9.2882 3.2722 -6.4667 1.8066 -6.8633 1.9441
5 -6.8293 2.4756 -6.2498 2.2609 3.6080 2.7541 19.0326 2.5066 -0.7350 3.6936 -8.0627 -1.3635 -7.1600 -0.2725 -8.1473 3.0289 -6.9947 1.5314 -6.6661 1.5759
6 -6.0946 2.1839 -6.6409 2.5496 3.2566 3.1275 22.3124 2.6120 -2.3445 3.8360 -8.2829 -1.0485 -7.4043 -0.2646 -7.0169 2.4383 -7.7158 1.5355 -7.3299 1.0405
7 -5.8542 1.4131 -7.5603 3.0585 2.6129 3.6000 25.6226 2.4218 -4.3229 3.8869 -8.5692 -0.9370 -7.5056 0.0847 -5.6913 1.6850 -8.1379 1.6961 -8.1106 0.7576
8 -5.8168 0.4528 -8.3731 3.7358 1.7855 4.1691 29.1470 2.6846 -6.4174 4.1558 -8.3158 -1.0489 -7.6291 0.3262 -3.9766 1.0552 -8.2748 2.5171 -9.1162 0.5948
9 -5.4845 0.0653 -9.2927 3.9571 0.6625 4.7534 32.3292 2.6823 -7.9646 4.2050 -7.5721 -1.0336 -8.1397 0.8948 -1.7065 1.0249 -8.2871 2.8637 -9.3412 0.5225
10 -5.4039 -0.5500 -10.0057 3.6712 -1.2288 5.2637 35.8192 2.5713 -9.0257 4.0499 -6.6200 -0.6399 -8.8604 1.0918 1.2585 1.2244 -7.7508 3.3275 -9.4078 0.2713
11 -5.6840 -0.5968 -10.7637 3.0627 -3.1842 5.7329 39.3079 2.4828 -10.1777 3.8338 -5.7860 -0.2759 -9.7287 1.1126 4.1255 1.5327 -6.9797 3.9320 -9.0252 -0.1534
12 -5.7909 -0.4767 -10.9529 2.3654 -5.4347 5.8932 43.0598 2.5086 -10.4851 3.7237 -5.6590 0.0920 -10.0091 1.6019 7.0282 1.5412 -6.4806 4.6556 -8.4908 -0.5542
13 -5.8616 0.1729 -11.1336 1.6223 -7.1510 5.6167 46.6994 2.4047 -10.7605 3.5529 -5.8840 0.0815 -10.1883 2.1904 10.4533 1.7091 -6.0405 5.1960 -7.9583 -0.6631
14 -5.9197 0.7123 -11.1488 1.4395 -8.1868 5.4628 50.2365 2.3309 -10.8607 3.2385 -6.8850 0.3359 -10.2475 2.2347 13.9473 2.3963 -5.5449 5.1730 -7.7644 -0.6313
15 -6.2147 1.2931 -11.2404 1.1874 -8.7032 5.2169 53.6585 2.3654 -10.5894 2.7623 -6.9374 0.5578 -10.1836 1.7104 17.4427 2.5325 -5.0708 4.7637 -7.3517 -0.2731
16 -6.8596 2.1335 -10.7800 1.0655 -8.3871 4.7384 57.0627 2.4332 -10.2439 2.7066 -7.4913 0.5054 -10.1062 1.0235 20.0496 2.6529 -5.0807 3.9049 -6.9098 -0.1223
