# Confinement Reference Dataset - Active Polymer N=40
#
# Reference base: H_conf (Shannon entropy in confinement, cavity only)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating confinement observables or mixed observables
# with emphasis on confinement data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free_full: E2E full-vector decorrelation time in free space (seconds)
# - tau_decorr_free_unit: E2E unit-vector decorrelation time in free space (seconds)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY (REFERENCE BASE)
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity_full: E2E full-vector decorrelation time in cavity ONLY (minutes)
# - tau_decorr_cavity_unit: E2E unit-vector decorrelation time in cavity ONLY (minutes)
#
# Rotational number analysis (plateau-based τ_trans):
# - N_rot: Rotational number = τ_rot / τ_trans
# - tau_trans: Saturation time = first crossing of MSD plateau mean (minutes)
# - plateau_mean: MSD plateau mean value (excludes last 20% of signal)
# - tau_rot: Rotational timescale = 1/D_r (minutes, only if α ∈ [0.8, 1.3])
#
# MSD matching RMSE (log-space, over [10-50s] interval):
# - RMSE_D10: RMSE vs experimental 10C MSD
# - RMSE_D20: RMSE vs experimental 20C MSD
# - RMSE_D30: RMSE vs experimental 30C MSD
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free_full,tau_decorr_free_full_error,tau_decorr_free_unit,tau_decorr_free_unit_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity_full,tau_decorr_cavity_unit,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_trans,plateau_mean,tau_rot,RMSE_D10,RMSE_D20,RMSE_D30
0.100000,0.020000,0.150000,,,,,,,,,,,,,,,1.688420,0.075798,0.012500,0.901630,"(0.07076138383032807, 0.0074427105711642235)",2.846667,0.610601,0.128009,0.124752,,,,,,1.758000,0.400000,2.410000,0.710000,,,
0.100000,0.020000,0.250000,,,,,,,,,,,,,,,1.262399,0.069823,0.012500,,"(0.07132649706646248, 0.0025805486607884363)",2.120370,0.972639,0.123535,0.124648,9.458367,20.967742,13.000000,49.000000,62.000000,,0.200000,0.660000,0.000000,,,
0.100000,0.020000,0.350000,,,,,,,,,,,,,,,1.266636,0.071054,0.012500,0.855885,"(0.07156301455186145, 0.0019781760356984085)",4.246341,4.316785,0.122332,0.122658,39.759036,73.333333,55.000000,20.000000,75.000000,,0.280000,0.880000,0.000000,,,
0.100000,0.020000,0.400000,,,,,,,,,,,,,,,1.323168,0.071854,0.012500,0.854795,"(0.07218058977534757, 0.002033060951456624)",,,0.122727,0.122867,,,,,,,0.290000,0.980000,0.000000,,,
0.100000,0.020000,0.500000,,,,,,,,,,,,,,,1.407242,0.074738,0.012500,0.853408,"(0.07468779267257004, 0.002136260839660577)",5.880047,9.604902,0.124864,0.124993,46.227929,95.522388,64.000000,3.000000,67.000000,,0.190000,0.880000,0.000000,,,
0.100000,0.020000,0.650000,,,,,,,,,,,,,,,1.112151,0.078788,0.012500,0.853451,"(0.0773608172036909, 0.0017586619179605293)",9.857292,14.642789,0.128020,0.128140,21.092279,100.000000,28.000000,0.000000,28.000000,,0.200000,1.160000,0.000000,,,
0.100000,0.040000,0.150000,,,,,,,,,,,,,,,4.401103,0.085938,0.012500,0.955511,"(0.07838615682158392, 0.01399599627928535)",2.846667,0.610601,0.194553,0.171229,,,,,,,0.480000,8.600000,0.000000,,,
0.100000,0.040000,0.250000,,,,,,,,,,,,,,,3.009237,0.081133,0.012500,0.920297,"(0.07567000672138868, 0.013525684366779676)",2.120370,0.972639,0.141629,0.137501,9.458367,20.967742,13.000000,49.000000,62.000000,0.957000,0.360000,4.670000,0.340000,,,
0.100000,0.040000,0.350000,,,,,,,,,,,,,,,2.509130,0.077674,0.012500,0.891599,"(0.07715079122765475, 0.01470506258010369)",4.246341,4.316785,0.137229,0.134230,39.759036,73.333333,55.000000,20.000000,75.000000,,0.400000,3.350000,0.000000,,,
0.100000,0.040000,0.400000,,,,,,,,,,,,,,,1.968357,0.077121,0.012500,,"(0.07647553685913229, 0.004911075880548299)",,,0.131952,0.128882,,,,,,1.408000,0.410000,2.450000,0.580000,,,
