series,Rg_over_lc,Re_over_lc,probability
living worms 10 C,0.051,0.071,0.0004938
living worms 10 C,0.051,0.093,0.000698562
living worms 10 C,0.051,0.115,0.000798146
living worms 10 C,0.057,0.027,0.000195466
living worms 10 C,0.057,0.049,0.00036185
living worms 10 C,0.057,0.071,0.000588938
living worms 10 C,0.057,0.093,0.000814093
living worms 10 C,0.057,0.115,0.000917601
living worms 10 C,0.057,0.137,0.00083614
living worms 10 C,0.057,0.159,0.000681133
living worms 10 C,0.063,0.027,0.000335706
living worms 10 C,0.063,0.049,0.000531888
living worms 10 C,0.063,0.071,0.000722767
living worms 10 C,0.063,0.093,0.000899616
living worms 10 C,0.063,0.115,0.00100568
living worms 10 C,0.063,0.137,0.000953982
living worms 10 C,0.063,0.159,0.000811147
living worms 10 C,0.063,0.181,0.000653567
living worms 10 C,0.063,0.203,0.000466071
living worms 10 C,0.069,0.005,0.00020554
living worms 10 C,0.069,0.027,0.000475113
living worms 10 C,0.069,0.049,0.000690771
living worms 10 C,0.069,0.071,0.000827751
living worms 10 C,0.069,0.093,0.000948221
living worms 10 C,0.069,0.115,0.00106049
living worms 10 C,0.069,0.137,0.00105577
living worms 10 C,0.069,0.159,0.000925163
living worms 10 C,0.069,0.181,0.000746692
living worms 10 C,0.069,0.203,0.000543081
living worms 10 C,0.069,0.225,0.000360405
living worms 10 C,0.069,0.247,0.000221055
living worms 10 C,0.075,0.005,0.000209439
living worms 10 C,0.075,0.027,0.000481951
living worms 10 C,0.075,0.049,0.000692572
living worms 10 C,0.075,0.071,0.000817037
living worms 10 C,0.075,0.093,0.000914431
living worms 10 C,0.075,0.115,0.00100576
living worms 10 C,0.075,0.137,0.00101128
living worms 10 C,0.075,0.159,0.000918807
living worms 10 C,0.075,0.181,0.000799615
living worms 10 C,0.075,0.203,0.000660553
living worms 10 C,0.075,0.225,0.000537023
living worms 10 C,0.075,0.247,0.000413817
living worms 10 C,0.075,0.269,0.0002697
living worms 10 C,0.081,0.005,0.000186818
living worms 10 C,0.081,0.027,0.000448763
living worms 10 C,0.081,0.049,0.00068103
living worms 10 C,0.081,0.071,0.000823234
living worms 10 C,0.081,0.093,0.000889487
living worms 10 C,0.081,0.115,0.000931276
living worms 10 C,0.081,0.137,0.00094435
living worms 10 C,0.081,0.159,0.000922301
living worms 10 C,0.081,0.181,0.000914302
living worms 10 C,0.081,0.203,0.000900374
living worms 10 C,0.081,0.225,0.000866936
living worms 10 C,0.081,0.247,0.000769269
living worms 10 C,0.081,0.269,0.000580244
living worms 10 C,0.081,0.291,0.000355955
living worms 10 C,0.087,0.005,0.000201742
living worms 10 C,0.087,0.027,0.000509335
living worms 10 C,0.087,0.049,0.000796942
living worms 10 C,0.087,0.071,0.000935169
living worms 10 C,0.087,0.093,0.000947897
living worms 10 C,0.087,0.115,0.000957873
living worms 10 C,0.087,0.137,0.00100427
living worms 10 C,0.087,0.159,0.00103853
living worms 10 C,0.087,0.181,0.0010777
living worms 10 C,0.087,0.203,0.00113081
living worms 10 C,0.087,0.225,0.00116086
living worms 10 C,0.087,0.247,0.0011068
