series,Rg_over_lc,Re_over_lc,probability
model fa=0.3 T=0.2 kappa=0.5,0.063,0.049,5.93895e-06
model fa=0.3 T=0.2 kappa=0.5,0.063,0.071,2.37558e-05
model fa=0.3 T=0.2 kappa=0.5,0.063,0.093,2.96947e-05
model fa=0.3 T=0.2 kappa=0.5,0.063,0.115,3.56337e-05
model fa=0.3 T=0.2 kappa=0.5,0.063,0.137,1.18779e-05
model fa=0.3 T=0.2 kappa=0.5,0.069,0.027,6.82979e-05
model fa=0.3 T=0.2 kappa=0.5,0.069,0.049,0.000219741
model fa=0.3 T=0.2 kappa=0.5,0.069,0.071,0.000332581
model fa=0.3 T=0.2 kappa=0.5,0.069,0.093,0.000730491
model fa=0.3 T=0.2 kappa=0.5,0.069,0.115,0.00136299
model fa=0.3 T=0.2 kappa=0.5,0.069,0.137,0.00147286
model fa=0.3 T=0.2 kappa=0.5,0.069,0.159,0.001167
model fa=0.3 T=0.2 kappa=0.5,0.069,0.181,0.000632498
model fa=0.3 T=0.2 kappa=0.5,0.069,0.203,0.000258344
model fa=0.3 T=0.2 kappa=0.5,0.069,0.225,7.72063e-05
model fa=0.3 T=0.2 kappa=0.5,0.069,0.247,8.90842e-06
model fa=0.3 T=0.2 kappa=0.5,0.075,0.005,2.37558e-05
model fa=0.3 T=0.2 kappa=0.5,0.075,0.027,0.000424635
model fa=0.3 T=0.2 kappa=0.5,0.075,0.049,0.00102744
model fa=0.3 T=0.2 kappa=0.5,0.075,0.071,0.00211427
model fa=0.3 T=0.2 kappa=0.5,0.075,0.093,0.00323376
model fa=0.3 T=0.2 kappa=0.5,0.075,0.115,0.00542226
model fa=0.3 T=0.2 kappa=0.5,0.075,0.137,0.00613196
model fa=0.3 T=0.2 kappa=0.5,0.075,0.159,0.00452548
model fa=0.3 T=0.2 kappa=0.5,0.075,0.181,0.00214099
model fa=0.3 T=0.2 kappa=0.5,0.075,0.203,0.000745338
model fa=0.3 T=0.2 kappa=0.5,0.075,0.225,0.00033852
model fa=0.3 T=0.2 kappa=0.5,0.075,0.247,0.000163321
model fa=0.3 T=0.2 kappa=0.5,0.075,0.269,8.61147e-05
model fa=0.3 T=0.2 kappa=0.5,0.075,0.291,8.90842e-06
model fa=0.3 T=0.2 kappa=0.5,0.081,0.005,2.96947e-06
model fa=0.3 T=0.2 kappa=0.5,0.081,0.027,0.0011284
model fa=0.3 T=0.2 kappa=0.5,0.081,0.049,0.00293087
model fa=0.3 T=0.2 kappa=0.5,0.081,0.071,0.00485806
model fa=0.3 T=0.2 kappa=0.5,0.081,0.093,0.00672289
model fa=0.3 T=0.2 kappa=0.5,0.081,0.115,0.00778596
model fa=0.3 T=0.2 kappa=0.5,0.081,0.137,0.00763452
model fa=0.3 T=0.2 kappa=0.5,0.081,0.159,0.0062062
model fa=0.3 T=0.2 kappa=0.5,0.081,0.181,0.00448984
model fa=0.3 T=0.2 kappa=0.5,0.081,0.203,0.0019747
model fa=0.3 T=0.2 kappa=0.5,0.081,0.225,0.000694857
model fa=0.3 T=0.2 kappa=0.5,0.081,0.247,0.000258344
model fa=0.3 T=0.2 kappa=0.5,0.081,0.269,0.000127687
model fa=0.3 T=0.2 kappa=0.5,0.081,0.291,8.01758e-05
model fa=0.3 T=0.2 kappa=0.5,0.081,0.313,2.07863e-05
model fa=0.3 T=0.2 kappa=0.5,0.087,0.005,2.96947e-06
model fa=0.3 T=0.2 kappa=0.5,0.087,0.027,0.00084927
model fa=0.3 T=0.2 kappa=0.5,0.087,0.049,0.00282397
model fa=0.3 T=0.2 kappa=0.5,0.087,0.071,0.00434731
model fa=0.3 T=0.2 kappa=0.5,0.087,0.093,0.00625074
model fa=0.3 T=0.2 kappa=0.5,0.087,0.115,0.00723958
model fa=0.3 T=0.2 kappa=0.5,0.087,0.137,0.00786911
model fa=0.3 T=0.2 kappa=0.5,0.087,0.159,0.00723364
model fa=0.3 T=0.2 kappa=0.5,0.087,0.181,0.00616463
model fa=0.3 T=0.2 kappa=0.5,0.087,0.203,0.00439482
model fa=0.3 T=0.2 kappa=0.5,0.087,0.225,0.00259235
model fa=0.3 T=0.2 kappa=0.5,0.087,0.247,0.00105416
model fa=0.3 T=0.2 kappa=0.5,0.087,0.269,0.000469177
model fa=0.3 T=0.2 kappa=0.5,0.087,0.291,0.000219741
model fa=0.3 T=0.2 kappa=0.5,0.087,0.313,8.01758e-05
model fa=0.3 T=0.2 kappa=0.5,0.087,0.335,2.37558e-05
model fa=0.3 T=0.2 kappa=0.5,0.093,0.027,0.000587956
model fa=0.3 T=0.2 kappa=0.5,0.093,0.049,0.0019361
model fa=0.3 T=0.2 kappa=0.5,0.093,0.071,0.00275567
model fa=0.3 T=0.2 kappa=0.5,0.093,0.093,0.00406818
model fa=0.3 T=0.2 kappa=0.5,0.093,0.115,0.00509562
model fa=0.3 T=0.2 kappa=0.5,0.093,0.137,0.00593598
model fa=0.3 T=0.2 kappa=0.5,0.093,0.159,0.00655363
model fa=0.3 T=0.2 kappa=0.5,0.093,0.181,0.00675852
model fa=0.3 T=0.2 kappa=0.5,0.093,0.203,0.00584986
model fa=0.3 T=0.2 kappa=0.5,0.093,0.225,0.00480164
model fa=0.3 T=0.2 kappa=0.5,0.093,0.247,0.00334363
model fa=0.3 T=0.2 kappa=0.5,0.093,0.269,0.00187077
model fa=0.3 T=0.2 kappa=0.5,0.093,0.291,0.00090569
