panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,4,44.719,,,,
C,living worm 20 C,4.03333,41.727,,,,
C,living worm 20 C,4.06667,41.829,,,,
C,living worm 20 C,4.1,42.679,,,,
C,living worm 20 C,4.13333,43.869,,,,
C,living worm 20 C,4.16667,48.187,,,,
C,living worm 20 C,4.2,49.819,,,,
C,living worm 20 C,4.23333,54.035,,,,
C,living worm 20 C,4.26667,58.693,,,,
C,living worm 20 C,4.3,64.507,,,,
C,living worm 20 C,4.33333,70.253,,,,
C,living worm 20 C,4.36667,74.741,,,,
C,living worm 20 C,4.4,80.419,,,,
C,living worm 20 C,4.43333,85.06,,,,
C,living worm 20 C,4.46667,85.213,,,,
C,living worm 20 C,4.5,89.361,,,,
C,living worm 20 C,4.53333,88.987,,,,
C,living worm 20 C,4.56667,89.939,,,,
C,living worm 20 C,4.6,89.905,,,,
C,living worm 20 C,4.63333,90.585,,,,
C,living worm 20 C,4.66667,90.449,,,,
C,living worm 20 C,4.7,90.993,,,,
C,living worm 20 C,4.73333,91.299,,,,
C,living worm 20 C,4.76667,91.639,,,,
C,living worm 20 C,4.8,91.35,,,,
C,living worm 20 C,4.83333,91.979,,,,
C,living worm 20 C,4.86667,91.673,,,,
C,living worm 20 C,4.9,92.115,,,,
C,living worm 20 C,4.93333,92.863,,,,
C,living worm 20 C,4.96667,92.421,,,,
C,living worm 20 C,5,92.387,,,,
C,living worm 20 C,5.03333,91.095,,,,
C,living worm 20 C,5.06667,92.455,,,,
C,living worm 20 C,5.1,92.149,,,,
C,living worm 20 C,5.13333,91.605,,,,
C,living worm 20 C,5.16667,92.523,,,,
C,living worm 20 C,5.2,92.387,,,,
C,living worm 20 C,5.23333,92.285,,,,
C,living worm 20 C,5.26667,93.033,,,,
C,living worm 20 C,5.3,91.095,,,,
C,living worm 20 C,5.33333,90.721,,,,
C,living worm 20 C,5.36667,92.557,,,,
C,living worm 20 C,5.4,92.591,,,,
C,living worm 20 C,5.43333,93.951,,,,
C,living worm 20 C,5.46667,92.455,,,,
C,living worm 20 C,5.5,90.823,,,,
C,living worm 20 C,5.53333,90.959,,,,
C,living worm 20 C,5.56667,92.081,,,,
C,living worm 20 C,5.6,91.707,,,,
C,living worm 20 C,5.63333,91.639,,,,
C,living worm 20 C,5.66667,90.925,,,,
C,living worm 20 C,5.7,91.503,,,,
C,living worm 20 C,5.73333,92.659,,,,
C,living worm 20 C,5.76667,92.387,,,,
C,living worm 20 C,5.8,92.659,,,,
C,living worm 20 C,5.83333,93.543,,,,
C,living worm 20 C,5.86667,92.523,,,,
C,living worm 20 C,5.9,89.667,,,,
C,living worm 20 C,5.93333,85.621,,,,
C,living worm 20 C,5.96667,83.003,,,,
C,living worm 20 C,6,77.087,,,,
C,living worm 20 C,6.03333,70.457,,,,
C,living worm 20 C,6.06667,65.799,,,,
C,living worm 20 C,6.1,60.121,,,,
C,living worm 20 C,6.13333,56.007,,,,
C,living worm 20 C,6.16667,49.207,,,,
C,living worm 20 C,6.2,44.991,,,,
C,living worm 20 C,6.23333,41.523,,,,
C,living worm 20 C,6.26667,36.763,,,,
C,living worm 20 C,6.3,34.893,,,,
C,living worm 20 C,6.33333,30.677,,,,
C,living worm 20 C,6.36667,30.065,,,,
C,living worm 20 C,6.4,29.555,,,,
C,living worm 20 C,6.43333,24.387,,,,
