series,t_min,x_cm_mm
living worm 20 C,4,44.719
living worm 20 C,4.03333,41.727
living worm 20 C,4.06667,41.829
living worm 20 C,4.1,42.679
living worm 20 C,4.13333,43.869
living worm 20 C,4.16667,48.187
living worm 20 C,4.2,49.819
living worm 20 C,4.23333,54.035
living worm 20 C,4.26667,58.693
living worm 20 C,4.3,64.507
living worm 20 C,4.33333,70.253
living worm 20 C,4.36667,74.741
living worm 20 C,4.4,80.419
living worm 20 C,4.43333,85.06
living worm 20 C,4.46667,85.213
living worm 20 C,4.5,89.361
living worm 20 C,4.53333,88.987
living worm 20 C,4.56667,89.939
living worm 20 C,4.6,89.905
living worm 20 C,4.63333,90.585
living worm 20 C,4.66667,90.449
living worm 20 C,4.7,90.993
living worm 20 C,4.73333,91.299
living worm 20 C,4.76667,91.639
living worm 20 C,4.8,91.35
living worm 20 C,4.83333,91.979
living worm 20 C,4.86667,91.673
living worm 20 C,4.9,92.115
living worm 20 C,4.93333,92.863
living worm 20 C,4.96667,92.421
living worm 20 C,5,92.387
living worm 20 C,5.03333,91.095
living worm 20 C,5.06667,92.455
living worm 20 C,5.1,92.149
living worm 20 C,5.13333,91.605
living worm 20 C,5.16667,92.523
living worm 20 C,5.2,92.387
living worm 20 C,5.23333,92.285
living worm 20 C,5.26667,93.033
living worm 20 C,5.3,91.095
living worm 20 C,5.33333,90.721
living worm 20 C,5.36667,92.557
living worm 20 C,5.4,92.591
living worm 20 C,5.43333,93.951
living worm 20 C,5.46667,92.455
living worm 20 C,5.5,90.823
living worm 20 C,5.53333,90.959
living worm 20 C,5.56667,92.081
living worm 20 C,5.6,91.707
living worm 20 C,5.63333,91.639
living worm 20 C,5.66667,90.925
living worm 20 C,5.7,91.503
living worm 20 C,5.73333,92.659
living worm 20 C,5.76667,92.387
living worm 20 C,5.8,92.659
living worm 20 C,5.83333,93.543
living worm 20 C,5.86667,92.523
living worm 20 C,5.9,89.667
living worm 20 C,5.93333,85.621
living worm 20 C,5.96667,83.003
living worm 20 C,6,77.087
living worm 20 C,6.03333,70.457
living worm 20 C,6.06667,65.799
living worm 20 C,6.1,60.121
living worm 20 C,6.13333,56.007
living worm 20 C,6.16667,49.207
living worm 20 C,6.2,44.991
living worm 20 C,6.23333,41.523
living worm 20 C,6.26667,36.763
living worm 20 C,6.3,34.893
living worm 20 C,6.33333,30.677
living worm 20 C,6.36667,30.065
living worm 20 C,6.4,29.555
living worm 20 C,6.43333,24.387
living worm 20 C,6.46667,20.715
living worm 20 C,6.5,15.479
living worm 20 C,6.53333,9.869
living worm 20 C,6.56667,7.081
living worm 20 C,6.6,5.925
living worm 20 C,6.63333,4.395
living worm 20 C,6.66667,4.905
living worm 20 C,6.7,5.109
living worm 20 C,6.73333,5.211
living worm 20 C,6.76667,3.851
living worm 20 C,6.8,4.361
living worm 20 C,6.83333,4.667
living worm 20 C,6.86667,5.483
living worm 20 C,6.9,3.579
living worm 20 C,6.93333,4.021
living worm 20 C,6.96667,5.177
living worm 20 C,7,3.477
living worm 20 C,7.03333,4.735
living worm 20 C,7.06667,4.667
living worm 20 C,7.1,3.851
living worm 20 C,7.13333,5.755
living worm 20 C,7.16667,4.667
living worm 20 C,7.2,3.443
living worm 20 C,7.23333,4.021
living worm 20 C,7.26667,5.279
living worm 20 C,7.3,5.245
living worm 20 C,7.33333,4.939
living worm 20 C,7.36667,4.327
living worm 20 C,7.4,3.613
living worm 20 C,7.43333,4.055
living worm 20 C,7.46667,5.041
living worm 20 C,7.5,5.381
living worm 20 C,7.53333,4.429
living worm 20 C,7.56667,5.891
living worm 20 C,7.6,3.749
living worm 20 C,7.63333,3.579
living worm 20 C,7.66667,3.137
living worm 20 C,7.7,3.409
living worm 20 C,7.73333,3.375
living worm 20 C,7.76667,2.559
living worm 20 C,7.8,4.769
living worm 20 C,7.83333,5.653
living worm 20 C,7.86667,6.877
living worm 20 C,7.9,8.033
living worm 20 C,7.93333,8.305
living worm 20 C,7.96667,13.201
living worm 20 C,8,17.655
living worm 20 C,8.03333,19.695
living worm 20 C,8.06667,24.795
living worm 20 C,8.1,26.223
living worm 20 C,8.13333,29.317
living worm 20 C,8.16667,30.337
living worm 20 C,8.2,34.655
living worm 20 C,8.23333,38.055
living worm 20 C,8.26667,42.407
living worm 20 C,8.3,46.249
living worm 20 C,8.33333,50.771
living worm 20 C,8.36667,51.723
living worm 20 C,8.4,56.687
living worm 20 C,8.43333,60.801
living worm 20 C,8.46667,63.963
living worm 20 C,8.5,68.485
living worm 20 C,8.53333,72.021
living worm 20 C,8.56667,77.869
living worm 20 C,8.6,82.629
living worm 20 C,8.63333,85.859
living worm 20 C,8.66667,89.395
living worm 20 C,8.7,89.871
living worm 20 C,8.73333,90.245
living worm 20 C,8.76667,89.463
living worm 20 C,8.8,91.095
living worm 20 C,8.83333,91.333
living worm 20 C,8.86667,90.551
living worm 20 C,8.9,91.061
living worm 20 C,8.93333,91.197
living worm 20 C,8.96667,92.285
living worm 20 C,9,90.449
living worm 20 C,9.03333,91.537
living worm 20 C,9.06667,91.163
living worm 20 C,9.1,91.333
living worm 20 C,9.13333,90.075
living worm 20 C,9.16667,91.911
living worm 20 C,9.2,92.523
living worm 20 C,9.23333,92.863
living worm 20 C,9.26667,91.265
living worm 20 C,9.3,92.217
living worm 20 C,9.33333,94.189
living worm 20 C,9.36667,93.713
living worm 20 C,9.4,93.713
living worm 20 C,9.43333,92.115
living worm 20 C,9.46667,91.945
living worm 20 C,9.5,93.135
living worm 20 C,9.53333,92.829
living worm 20 C,9.56667,93.373
living worm 20 C,9.6,93.033
living worm 20 C,9.63333,93.373
living worm 20 C,9.66667,93.985
living worm 20 C,9.7,93.067
living worm 20 C,9.73333,92.421
living worm 20 C,9.76667,92.387
living worm 20 C,9.8,91.52
living worm 20 C,9.83333,90.993
living worm 20 C,9.86667,91.265
living worm 20 C,9.9,90.993
living worm 20 C,9.93333,91.945
living worm 20 C,9.96667,92.897
living worm 20 C,10,94.291
living worm 20 C,10.0333,92.557
living worm 20 C,10.0667,92.421
living worm 20 C,10.1,93.033
living worm 20 C,10.1333,90.993
living worm 20 C,10.1667,87.525
living worm 20 C,10.2,84.771
living worm 20 C,10.2333,81.847
living worm 20 C,10.2667,78.889
living worm 20 C,10.3,75.285
living worm 20 C,10.3333,69.675
living worm 20 C,10.3667,68.825
living worm 20 C,10.4,63.64
living worm 20 C,10.4333,60.903
living worm 20 C,10.4667,57.061
living worm 20 C,10.5,52.063
living worm 20 C,10.5333,50.669
living worm 20 C,10.5667,46.997
living worm 20 C,10.6,41.217
living worm 20 C,10.6333,39.245
living worm 20 C,10.6667,36.253
living worm 20 C,10.7,33.669
living worm 20 C,10.7333,30.745
living worm 20 C,10.7667,26.427
living worm 20 C,10.8,24.523
living worm 20 C,10.8333,20.545
living worm 20 C,10.8667,17.791
living worm 20 C,10.9,16.329
living worm 20 C,10.9333,12.351
living worm 20 C,10.9667,11.365
living worm 20 C,11,9.529
living worm 20 C,11.0333,9.257
living worm 20 C,11.0667,8.203
living worm 20 C,11.1,6.945
living worm 20 C,11.1333,6.809
living worm 20 C,11.1667,5.891
living worm 20 C,11.2,6.095
living worm 20 C,11.2333,4.412
living worm 20 C,11.2667,5.075
living worm 20 C,11.3,5.245
living worm 20 C,11.3333,4.463
living worm 20 C,11.3667,4.361
living worm 20 C,11.4,3.613
living worm 20 C,11.4333,2.627
living worm 20 C,11.4667,2.865
living worm 20 C,11.5,2.797
living worm 20 C,11.5333,3.205
living worm 20 C,11.5667,4.497
living worm 20 C,11.6,3.681
living worm 20 C,11.6333,2.593
living worm 20 C,11.6667,3.783
living worm 20 C,11.7,2.967
living worm 20 C,11.7333,4.599
living worm 20 C,11.7667,6.061
living worm 20 C,11.8,10.039
living worm 20 C,11.8333,15.343
living worm 20 C,11.8667,16.737
living worm 20 C,11.9,14.867
living worm 20 C,11.9333,14.493
living worm 20 C,11.9667,14.765
living worm 20 C,12,13.507
living worm 20 C,12.0333,10.005
living worm 20 C,12.0667,8.883
living worm 20 C,12.1,6.877
living worm 20 C,12.1333,7.387
living worm 20 C,12.1667,7.591
living worm 20 C,12.2,7.795
living worm 20 C,12.2333,6.129
living worm 20 C,12.2667,5.517
living worm 20 C,12.3,4.599
living worm 20 C,12.3333,4.769
living worm 20 C,12.3667,5.041
living worm 20 C,12.4,4.293
living worm 20 C,12.4333,4.361
living worm 20 C,12.4667,4.803
living worm 20 C,12.5,5.279
living worm 20 C,12.5333,3.953
living worm 20 C,12.5667,3.987
living worm 20 C,12.6,3.545
living worm 20 C,12.6333,4.191
living worm 20 C,12.6667,4.463
living worm 20 C,12.7,2.831
living worm 20 C,12.7333,2.474
living worm 20 C,12.7667,3.171
living worm 20 C,12.8,2.899
living worm 20 C,12.8333,2.423
living worm 20 C,12.8667,3.681
living worm 20 C,12.9,3.137
living worm 20 C,12.9333,5.041
living worm 20 C,12.9667,5.585
living worm 20 C,13,5.551
living worm 20 C,13.0333,4.905
living worm 20 C,13.0667,5.347
living worm 20 C,13.1,5.177
living worm 20 C,13.1333,5.755
living worm 20 C,13.1667,4.905
living worm 20 C,13.2,4.599
living worm 20 C,13.2333,4.599
living worm 20 C,13.2667,5.619
living worm 20 C,13.3,4.633
living worm 20 C,13.3333,3.681
living worm 20 C,13.3667,2.423
living worm 20 C,13.4,3.341
living worm 20 C,13.4333,2.865
living worm 20 C,13.4667,3.392
living worm 20 C,13.5,3.987
living worm 20 C,13.5333,3.817
living worm 20 C,13.5667,3.749
living worm 20 C,13.6,3.239
living worm 20 C,13.6333,4.259
living worm 20 C,13.6667,4.735
living worm 20 C,13.7,5.279
living worm 20 C,13.7333,5.313
living worm 20 C,13.7667,4.667
living worm 20 C,13.8,4.633
living worm 20 C,13.8333,3.783
living worm 20 C,13.8667,4.293
living worm 20 C,13.9,4.973
living worm 20 C,13.9333,3.851
living worm 20 C,13.9667,3.001
living worm 20 C,14,3.443
living worm 20 C,14.0333,3.817
living worm 20 C,14.0667,5.449
living worm 20 C,14.1,4.599
living worm 20 C,14.1333,4.769
living worm 20 C,14.1667,4.361
living worm 20 C,14.2,4.565
living worm 20 C,14.2333,3.987
living worm 20 C,14.2667,3.953
living worm 20 C,14.3,4.225
living worm 20 C,14.3333,4.871
living worm 20 C,14.3667,5.687
living worm 20 C,14.4,4.939
living worm 20 C,14.4333,3.375
living worm 20 C,14.4667,2.661
living worm 20 C,14.5,3.545
living worm 20 C,14.5333,3.443
living worm 20 C,14.5667,4.021
living worm 20 C,14.6,4.395
living worm 20 C,14.6333,4.293
living worm 20 C,14.6667,2.593
living worm 20 C,14.7,4.191
living worm 20 C,14.7333,2.559
living worm 20 C,14.7667,4.565
living worm 20 C,14.8,4.191
living worm 20 C,14.8333,3.817
living worm 20 C,14.8667,3.409
living worm 20 C,14.9,4.055
living worm 20 C,14.9333,4.395
living worm 20 C,14.9667,3.749
living worm 20 C,15,3.987
living worm 20 C,15.0333,4.531
living worm 20 C,15.0667,4.361
living worm 20 C,15.1,5.755
living worm 20 C,15.1333,5.755
living worm 20 C,15.1667,5.517
living worm 20 C,15.2,4.055
living worm 20 C,15.2333,5.279
living worm 20 C,15.2667,6.061
living worm 20 C,15.3,6.979
living worm 20 C,15.3333,11.807
living worm 20 C,15.3667,13.677
living worm 20 C,15.4,12.147
living worm 20 C,15.4333,10.209
living worm 20 C,15.4667,8.798
living worm 20 C,15.5,8.067
living worm 20 C,15.5333,7.727
living worm 20 C,15.5667,7.319
living worm 20 C,15.6,7.319
living worm 20 C,15.6333,7.965
living worm 20 C,15.6667,7.149
living worm 20 C,15.7,6.197
living worm 20 C,15.7333,4.191
living worm 20 C,15.7667,5.007
living worm 20 C,15.8,4.293
living worm 20 C,15.8333,4.871
living worm 20 C,15.8667,4.361
living worm 20 C,15.9,3.511
living worm 20 C,15.9333,4.089
living worm 20 C,15.9667,4.667
living worm 20 C,16,3.511
living worm 20 C,16.0333,3.341
living worm 20 C,16.0667,3.239
living worm 20 C,16.1,3.545
living worm 20 C,16.1333,4.225
living worm 20 C,16.1667,4.701
living worm 20 C,16.2,3.273
living worm 20 C,16.2333,4.191
living worm 20 C,16.2667,3.375
living worm 20 C,16.3,3.001
living worm 20 C,16.3333,3.409
living worm 20 C,16.3667,3.375
living worm 20 C,16.4,5.517
living worm 20 C,16.4333,3.137
living worm 20 C,16.4667,3.307
living worm 20 C,16.5,2.831
living worm 20 C,16.5333,2.899
living worm 20 C,16.5667,2.457
living worm 20 C,16.6,3.205
living worm 20 C,16.6333,4.225
living worm 20 C,16.6667,5.449
living worm 20 C,16.7,3.46
living worm 20 C,16.7333,4.191
living worm 20 C,16.7667,4.463
living worm 20 C,16.8,3.987
living worm 20 C,16.8333,3.953
living worm 20 C,16.8667,3.341
living worm 20 C,16.9,5.211
living worm 20 C,16.9333,4.531
living worm 20 C,16.9667,4.327
living worm 20 C,17,4.361
living worm 20 C,17.0333,4.531
living worm 20 C,17.0667,4.293
living worm 20 C,17.1,5.109
living worm 20 C,17.1333,3.239
