series,t_min,x_cm_mm
model 20 C,3,33.0739
model 20 C,3.01667,33.2974
model 20 C,3.03333,33.7614
model 20 C,3.05,34.3958
model 20 C,3.06667,35.1217
model 20 C,3.08333,36.0876
model 20 C,3.1,36.9812
model 20 C,3.11667,38.1123
model 20 C,3.13333,39.4364
model 20 C,3.15,40.4975
model 20 C,3.16667,41.7542
model 20 C,3.18333,42.8284
model 20 C,3.2,44.0473
model 20 C,3.21667,45.0611
model 20 C,3.23333,46.2156
model 20 C,3.25,47.356
model 20 C,3.26667,48.4251
model 20 C,3.28333,49.6275
model 20 C,3.3,50.8627
model 20 C,3.31667,51.9004
model 20 C,3.33333,52.9415
model 20 C,3.35,54.0087
model 20 C,3.36667,54.9675
model 20 C,3.38333,55.9479
model 20 C,3.4,56.9929
model 20 C,3.41667,57.8516
model 20 C,3.43333,58.5549
model 20 C,3.45,58.935
model 20 C,3.46667,59.1442
model 20 C,3.48333,59.1811
model 20 C,3.5,58.9337
model 20 C,3.51667,58.7893
model 20 C,3.53333,58.5967
model 20 C,3.55,58.0436
model 20 C,3.56667,57.3969
model 20 C,3.58333,56.9325
model 20 C,3.6,56.5403
model 20 C,3.61667,56.0793
model 20 C,3.63333,55.7293
model 20 C,3.65,55.4884
model 20 C,3.66667,55.3077
model 20 C,3.68333,55.1694
model 20 C,3.7,55.4992
model 20 C,3.71667,55.8638
model 20 C,3.73333,56.3499
model 20 C,3.75,56.8646
model 20 C,3.76667,57.669
model 20 C,3.78333,58.5378
model 20 C,3.8,59.4822
model 20 C,3.81667,60.4641
model 20 C,3.83333,61.6555
model 20 C,3.85,62.6925
model 20 C,3.86667,63.9366
model 20 C,3.88333,64.9779
model 20 C,3.9,66.0183
model 20 C,3.91667,67.0466
model 20 C,3.93333,68.1421
model 20 C,3.95,69.1557
model 20 C,3.96667,70.187
model 20 C,3.98333,71.2146
model 20 C,4,72.2964
model 20 C,4.01667,73.4727
model 20 C,4.03333,74.7044
model 20 C,4.05,75.9219
model 20 C,4.06667,76.9971
model 20 C,4.08333,78.1178
model 20 C,4.1,79.2374
model 20 C,4.11667,80.1492
model 20 C,4.13333,81.3958
model 20 C,4.15,82.5954
model 20 C,4.16667,83.7629
model 20 C,4.18333,84.5788
model 20 C,4.2,85.4894
model 20 C,4.21667,86.2708
model 20 C,4.23333,87.0491
model 20 C,4.25,87.933
model 20 C,4.26667,88.6791
model 20 C,4.28333,89.5411
model 20 C,4.3,90.2685
model 20 C,4.31667,90.7511
model 20 C,4.33333,91.2602
model 20 C,4.35,91.4957
model 20 C,4.36667,91.569
model 20 C,4.38333,91.699
model 20 C,4.4,91.7584
model 20 C,4.41667,91.7702
model 20 C,4.43333,91.5323
model 20 C,4.45,91.2982
model 20 C,4.46667,90.9905
model 20 C,4.48333,90.4417
model 20 C,4.5,89.8749
model 20 C,4.51667,89.2964
model 20 C,4.53333,88.6296
model 20 C,4.55,87.838
model 20 C,4.56667,87.1347
model 20 C,4.58333,86.3273
model 20 C,4.6,85.3088
model 20 C,4.61667,84.4142
model 20 C,4.63333,83.4818
model 20 C,4.65,82.3682
model 20 C,4.66667,81.162
model 20 C,4.68333,80.0388
model 20 C,4.7,78.7994
model 20 C,4.71667,77.6251
model 20 C,4.73333,76.5177
model 20 C,4.75,75.4676
model 20 C,4.76667,74.3813
model 20 C,4.78333,73.2819
model 20 C,4.8,72.1951
model 20 C,4.81667,70.995
model 20 C,4.83333,69.9904
model 20 C,4.85,68.943
model 20 C,4.86667,68.0555
model 20 C,4.88333,67.1356
model 20 C,4.9,66.6898
model 20 C,4.91667,65.9623
model 20 C,4.93333,65.5098
model 20 C,4.95,65.1884
model 20 C,4.96667,64.9138
model 20 C,4.98333,65.1469
model 20 C,5,65.2088
model 20 C,5.01667,65.6238
model 20 C,5.03333,66.1406
model 20 C,5.05,66.982
model 20 C,5.06667,67.8354
model 20 C,5.08333,68.8939
model 20 C,5.1,69.9736
model 20 C,5.11667,71.1538
model 20 C,5.13333,72.2618
model 20 C,5.15,73.1861
model 20 C,5.16667,74.2424
model 20 C,5.18333,75.2647
model 20 C,5.2,76.0466
model 20 C,5.21667,76.6856
model 20 C,5.23333,77.1695
model 20 C,5.25,77.4622
model 20 C,5.26667,77.6807
model 20 C,5.28333,77.7458
model 20 C,5.3,77.6719
model 20 C,5.31667,77.3632
model 20 C,5.33333,76.8591
model 20 C,5.35,76.1596
model 20 C,5.36667,75.6051
model 20 C,5.38333,74.5965
model 20 C,5.4,73.3481
model 20 C,5.41667,72.2273
model 20 C,5.43333,71.1732
model 20 C,5.45,70.0998
model 20 C,5.46667,69.1527
model 20 C,5.48333,68.0311
model 20 C,5.5,67.0894
model 20 C,5.51667,66.0067
model 20 C,5.53333,64.8636
model 20 C,5.55,63.8068
model 20 C,5.56667,62.7377
model 20 C,5.58333,61.6345
model 20 C,5.6,60.556
model 20 C,5.61667,59.4333
model 20 C,5.63333,58.0072
model 20 C,5.65,56.9915
model 20 C,5.66667,56.0401
model 20 C,5.68333,54.9834
model 20 C,5.7,53.8869
model 20 C,5.71667,53.0801
model 20 C,5.73333,52.2722
model 20 C,5.75,51.8201
model 20 C,5.76667,51.3717
model 20 C,5.78333,51.0391
model 20 C,5.8,50.9041
model 20 C,5.81667,51.0177
model 20 C,5.83333,51.3231
model 20 C,5.85,51.5947
model 20 C,5.86667,52.0474
model 20 C,5.88333,52.5963
model 20 C,5.9,53.267
model 20 C,5.91667,54.0295
model 20 C,5.93333,54.9135
model 20 C,5.95,55.9907
model 20 C,5.96667,57.0725
model 20 C,5.98333,58.083
model 20 C,6,59.2487
model 20 C,6.01667,60.3171
model 20 C,6.03333,61.5231
model 20 C,6.05,62.6183
model 20 C,6.06667,63.8055
model 20 C,6.08333,64.901
model 20 C,6.1,65.8669
model 20 C,6.11667,67.1467
model 20 C,6.13333,68.2921
model 20 C,6.15,69.293
model 20 C,6.16667,70.4759
model 20 C,6.18333,71.6265
model 20 C,6.2,72.8339
model 20 C,6.21667,73.8671
model 20 C,6.23333,75.0667
model 20 C,6.25,76.1642
model 20 C,6.26667,77.153
model 20 C,6.28333,78.2202
model 20 C,6.3,79.3363
model 20 C,6.31667,80.3894
model 20 C,6.33333,81.5521
model 20 C,6.35,82.5652
model 20 C,6.36667,83.6853
model 20 C,6.38333,84.723
model 20 C,6.4,85.8351
model 20 C,6.41667,86.8194
model 20 C,6.43333,87.8231
model 20 C,6.45,88.7641
model 20 C,6.46667,89.6732
model 20 C,6.48333,90.3169
model 20 C,6.5,91.0947
model 20 C,6.51667,91.7045
model 20 C,6.53333,92.2904
model 20 C,6.55,92.6742
model 20 C,6.56667,93.0938
model 20 C,6.58333,93.228
model 20 C,6.6,93.4207
model 20 C,6.61667,93.3845
model 20 C,6.63333,93.3821
model 20 C,6.65,93.2057
model 20 C,6.66667,92.916
model 20 C,6.68333,92.7016
model 20 C,6.7,92.5174
model 20 C,6.71667,92.5047
model 20 C,6.73333,92.6811
model 20 C,6.75,92.3829
model 20 C,6.76667,92.0591
model 20 C,6.78333,91.7562
model 20 C,6.8,91.5289
model 20 C,6.81667,91.3474
model 20 C,6.83333,91.315
model 20 C,6.85,91.4153
model 20 C,6.86667,91.1544
model 20 C,6.88333,91.1423
model 20 C,6.9,91.1967
model 20 C,6.91667,91.2635
model 20 C,6.93333,91.4547
model 20 C,6.95,91.6211
model 20 C,6.96667,91.6348
model 20 C,6.98333,91.6306
model 20 C,7,91.603
model 20 C,7.01667,91.944
model 20 C,7.03333,91.9048
model 20 C,7.05,91.8756
model 20 C,7.06667,92.2142
model 20 C,7.08333,92.3761
model 20 C,7.1,92.2362
model 20 C,7.11667,92.2322
model 20 C,7.13333,92.4895
model 20 C,7.15,92.5216
model 20 C,7.16667,92.5294
model 20 C,7.18333,92.5134
model 20 C,7.2,92.3226
model 20 C,7.21667,91.9885
model 20 C,7.23333,91.7948
model 20 C,7.25,91.6199
model 20 C,7.26667,91.4434
model 20 C,7.28333,91.3989
model 20 C,7.3,91.3119
model 20 C,7.31667,91.3127
model 20 C,7.33333,91.1137
model 20 C,7.35,90.7623
model 20 C,7.36667,90.5947
model 20 C,7.38333,90.2023
model 20 C,7.4,89.8855
model 20 C,7.41667,89.5552
model 20 C,7.43333,89.1068
model 20 C,7.45,88.6128
model 20 C,7.46667,87.9018
model 20 C,7.48333,87.4138
model 20 C,7.5,86.4616
model 20 C,7.51667,85.4032
model 20 C,7.53333,84.4661
model 20 C,7.55,83.5085
model 20 C,7.56667,82.3325
model 20 C,7.58333,81.3556
model 20 C,7.6,80.2833
model 20 C,7.61667,79.1148
model 20 C,7.63333,78.0755
model 20 C,7.65,76.8952
model 20 C,7.66667,75.816
model 20 C,7.68333,74.7249
model 20 C,7.7,73.5831
model 20 C,7.71667,72.3522
model 20 C,7.73333,71.247
model 20 C,7.75,70.1663
model 20 C,7.76667,69.0504
model 20 C,7.78333,67.8383
model 20 C,7.8,66.8606
model 20 C,7.81667,66.1105
model 20 C,7.83333,65.6983
model 20 C,7.85,65.005
model 20 C,7.86667,64.7489
model 20 C,7.88333,64.6668
model 20 C,7.9,64.4367
model 20 C,7.91667,64.5062
model 20 C,7.93333,64.8875
model 20 C,7.95,65.1443
model 20 C,7.96667,65.8361
model 20 C,7.98333,66.6011
model 20 C,8,67.5515
model 20 C,8.01667,68.4782
model 20 C,8.03333,69.776
model 20 C,8.05,70.8798
model 20 C,8.06667,71.9674
model 20 C,8.08333,73.0397
model 20 C,8.1,74.0537
model 20 C,8.11667,75.1056
model 20 C,8.13333,76.1037
model 20 C,8.15,76.9507
model 20 C,8.16667,77.7968
model 20 C,8.18333,78.456
model 20 C,8.2,78.9235
model 20 C,8.21667,79.3518
model 20 C,8.23333,79.6356
model 20 C,8.25,79.8202
model 20 C,8.26667,79.7766
model 20 C,8.28333,79.5405
model 20 C,8.3,79.2045
model 20 C,8.31667,78.6517
model 20 C,8.33333,77.9564
model 20 C,8.35,76.9952
model 20 C,8.36667,75.9689
model 20 C,8.38333,74.656
