series,x_cm_mm,probability_density_per_mm
living worms 20 C,1.23077,0.0129788
living worms 20 C,3.69231,0.0640593
living worms 20 C,6.15385,0.0324471
living worms 20 C,8.61538,0.0215159
living worms 20 C,11.0769,0.0133411
living worms 20 C,13.5385,0.00812752
living worms 20 C,16,0.00686744
living worms 20 C,18.4615,0.0078125
living worms 20 C,20.9231,0.00848979
living worms 20 C,23.3846,0.0103327
living worms 20 C,25.8462,0.0109312
living worms 20 C,28.3077,0.00756048
living worms 20 C,30.7692,0.007781
living worms 20 C,33.2308,0.00923009
living worms 20 C,35.6923,0.00825353
living worms 20 C,38.1538,0.00604839
living worms 20 C,40.6154,0.00652092
living worms 20 C,43.0769,0.00812752
living worms 20 C,45.5385,0.00601689
living worms 20 C,48,0.00634766
living worms 20 C,50.4615,0.00603264
living worms 20 C,52.9231,0.00444178
living worms 20 C,55.3846,0.0062374
living worms 20 C,57.8462,0.00441028
living worms 20 C,60.3077,0.0047253
living worms 20 C,62.7692,0.00452054
living worms 20 C,65.2308,0.00445754
living worms 20 C,67.6923,0.00382749
living worms 20 C,70.1538,0.00423702
living worms 20 C,72.6154,0.00452054
living worms 20 C,75.0769,0.0047253
living worms 20 C,77.5385,0.00533959
living worms 20 C,80,0.00724546
living worms 20 C,82.4615,0.00760774
living worms 20 C,84.9231,0.0103799
living worms 20 C,87.3846,0.0126796
living worms 20 C,89.8462,0.0174836
living worms 20 C,92.3077,0.027517
living worms 20 C,94.7692,0.00307145
model 20 C,1.23077,0.000268071
model 20 C,3.69231,0.0791136
model 20 C,6.15385,0.0325016
model 20 C,8.61538,0.0119657
model 20 C,11.0769,0.00885448
model 20 C,13.5385,0.00879762
model 20 C,16,0.00890322
model 20 C,18.4615,0.00839957
model 20 C,20.9231,0.00792029
model 20 C,23.3846,0.00856204
model 20 C,25.8462,0.00844019
model 20 C,28.3077,0.00845643
model 20 C,30.7692,0.00844831
model 20 C,33.2308,0.00798528
model 20 C,35.6923,0.00813962
model 20 C,38.1538,0.00772533
model 20 C,40.6154,0.00784718
model 20 C,43.0769,0.00737602
model 20 C,45.5385,0.00715669
model 20 C,48,0.00696986
model 20 C,50.4615,0.00609253
model 20 C,52.9231,0.00633623
model 20 C,55.3846,0.00604379
model 20 C,57.8462,0.00585695
model 20 C,60.3077,0.00638497
model 20 C,62.7692,0.00616564
model 20 C,65.2308,0.00581634
model 20 C,67.6923,0.00586508
model 20 C,70.1538,0.00515834
model 20 C,72.6154,0.00541829
model 20 C,75.0769,0.00516647
model 20 C,77.5385,0.00526395
model 20 C,80,0.00532893
model 20 C,82.4615,0.0053858
model 20 C,84.9231,0.00637685
model 20 C,87.3846,0.00779844
model 20 C,89.8462,0.0135823
model 20 C,92.3077,0.0421035
model 20 C,94.7692,0.00227455
