series,Rg_over_lc,Re_over_lc,probability
living worms 20 C,0.051,0.071,0.00085777
living worms 20 C,0.051,0.093,0.00102105
living worms 20 C,0.051,0.115,0.00125455
living worms 20 C,0.057,0.027,0.000834116
living worms 20 C,0.057,0.049,0.000911896
living worms 20 C,0.057,0.071,0.000971655
living worms 20 C,0.057,0.093,0.00108127
living worms 20 C,0.057,0.115,0.00126668
living worms 20 C,0.057,0.137,0.00146983
living worms 20 C,0.057,0.159,0.00170229
living worms 20 C,0.063,0.027,0.00103486
living worms 20 C,0.063,0.049,0.00110439
living worms 20 C,0.063,0.071,0.00112119
living worms 20 C,0.063,0.093,0.00118888
living worms 20 C,0.063,0.115,0.00134436
living worms 20 C,0.063,0.137,0.00156371
living worms 20 C,0.063,0.159,0.00186523
living worms 20 C,0.063,0.181,0.00214765
living worms 20 C,0.063,0.203,0.00217499
living worms 20 C,0.069,0.005,0.000862899
living worms 20 C,0.069,0.027,0.00115955
living worms 20 C,0.069,0.049,0.00121292
living worms 20 C,0.069,0.071,0.00124344
living worms 20 C,0.069,0.093,0.00136077
living worms 20 C,0.069,0.115,0.00152874
living worms 20 C,0.069,0.137,0.00175783
living worms 20 C,0.069,0.159,0.00209108
living worms 20 C,0.069,0.181,0.00240335
living worms 20 C,0.069,0.203,0.0024766
living worms 20 C,0.069,0.225,0.00221526
living worms 20 C,0.069,0.247,0.00171333
living worms 20 C,0.075,0.005,0.000911384
living worms 20 C,0.075,0.027,0.00125513
living worms 20 C,0.075,0.049,0.00129725
living worms 20 C,0.075,0.071,0.00130167
living worms 20 C,0.075,0.093,0.00145785
living worms 20 C,0.075,0.115,0.00166837
living worms 20 C,0.075,0.137,0.00193136
living worms 20 C,0.075,0.159,0.00228
living worms 20 C,0.075,0.181,0.0025882
living worms 20 C,0.075,0.203,0.00265731
living worms 20 C,0.075,0.225,0.00241795
living worms 20 C,0.075,0.247,0.00201683
living worms 20 C,0.075,0.269,0.00158085
living worms 20 C,0.081,0.005,0.000923803
living worms 20 C,0.081,0.027,0.0012976
living worms 20 C,0.081,0.049,0.00131687
living worms 20 C,0.081,0.071,0.0012592
living worms 20 C,0.081,0.093,0.00138375
living worms 20 C,0.081,0.115,0.00163264
living worms 20 C,0.081,0.137,0.00195458
living worms 20 C,0.081,0.159,0.00231011
living worms 20 C,0.081,0.181,0.00260916
living worms 20 C,0.081,0.203,0.00269663
living worms 20 C,0.081,0.225,0.00249572
living worms 20 C,0.081,0.247,0.00219039
living worms 20 C,0.081,0.269,0.00190559
living worms 20 C,0.081,0.291,0.00154372
living worms 20 C,0.087,0.005,0.000942147
living worms 20 C,0.087,0.027,0.00130025
living worms 20 C,0.087,0.049,0.00126059
living worms 20 C,0.087,0.071,0.00116495
living worms 20 C,0.087,0.093,0.0012612
living worms 20 C,0.087,0.115,0.0015007
living worms 20 C,0.087,0.137,0.0018125
living worms 20 C,0.087,0.159,0.00213303
living worms 20 C,0.087,0.181,0.00242446
living worms 20 C,0.087,0.203,0.0025387
living worms 20 C,0.087,0.225,0.00239339
living worms 20 C,0.087,0.247,0.0021966
living worms 20 C,0.087,0.269,0.00207981
living worms 20 C,0.087,0.291,0.00186944
living worms 20 C,0.087,0.313,0.00144527
living worms 20 C,0.087,0.335,0.000924364
living worms 20 C,0.093,0.005,0.000892209
living worms 20 C,0.093,0.027,0.00122591
living worms 20 C,0.093,0.049,0.00117587
living worms 20 C,0.093,0.071,0.00107991
living worms 20 C,0.093,0.093,0.00114039
living worms 20 C,0.093,0.115,0.00132293
living worms 20 C,0.093,0.137,0.00156442
living worms 20 C,0.093,0.159,0.00184441
living worms 20 C,0.093,0.181,0.00216416
living worms 20 C,0.093,0.203,0.00232665
living worms 20 C,0.093,0.225,0.00222765
living worms 20 C,0.093,0.247,0.00209558
living worms 20 C,0.093,0.269,0.0020668
living worms 20 C,0.093,0.291,0.00198823
living worms 20 C,0.093,0.313,0.00171934
living worms 20 C,0.093,0.335,0.0012853
living worms 20 C,0.093,0.357,0.000839657
living worms 20 C,0.099,0.005,0.000743724
living worms 20 C,0.099,0.027,0.00104744
living worms 20 C,0.099,0.049,0.00105496
living worms 20 C,0.099,0.071,0.00101581
living worms 20 C,0.099,0.093,0.00104816
living worms 20 C,0.099,0.115,0.00114738
living worms 20 C,0.099,0.137,0.00131086
living worms 20 C,0.099,0.159,0.0015737
living worms 20 C,0.099,0.181,0.00191925
living worms 20 C,0.099,0.203,0.00211256
living worms 20 C,0.099,0.225,0.00204579
living worms 20 C,0.099,0.247,0.00193748
living worms 20 C,0.099,0.269,0.00192752
living worms 20 C,0.099,0.291,0.00193891
living worms 20 C,0.099,0.313,0.00185102
living worms 20 C,0.099,0.335,0.00160024
living worms 20 C,0.099,0.357,0.00122723
living worms 20 C,0.099,0.379,0.000821914
living worms 20 C,0.105,0.005,0.000637384
living worms 20 C,0.105,0.027,0.000919332
living worms 20 C,0.105,0.049,0.00096981
living worms 20 C,0.105,0.071,0.000981458
living worms 20 C,0.105,0.093,0.00100524
living worms 20 C,0.105,0.115,0.001036
living worms 20 C,0.105,0.137,0.00114422
living worms 20 C,0.105,0.159,0.00134944
living worms 20 C,0.105,0.181,0.00160498
living worms 20 C,0.105,0.203,0.00176955
living worms 20 C,0.105,0.225,0.0017815
living worms 20 C,0.105,0.247,0.0017705
living worms 20 C,0.105,0.269,0.00181835
living worms 20 C,0.105,0.291,0.001858
living worms 20 C,0.105,0.313,0.00185089
living worms 20 C,0.105,0.335,0.00175551
living worms 20 C,0.105,0.357,0.00154761
living worms 20 C,0.105,0.379,0.00119871
living worms 20 C,0.105,0.401,0.000765567
living worms 20 C,0.111,0.005,0.000594644
living worms 20 C,0.111,0.027,0.000876001
living worms 20 C,0.111,0.049,0.000947171
living worms 20 C,0.111,0.071,0.000960166
living worms 20 C,0.111,0.093,0.000957159
living worms 20 C,0.111,0.115,0.000939627
living worms 20 C,0.111,0.137,0.00098869
living worms 20 C,0.111,0.159,0.00112467
living worms 20 C,0.111,0.181,0.00129383
