series,tau_tr_min,probability_density_per_min,fitted_tau_tr_min
model N=40 (lc = 20 mm),0.158204,0.310678,1.35872
model N=40 (lc = 20 mm),0.188764,0.325476,1.35872
model N=40 (lc = 20 mm),0.225227,0.545568,1.35872
model N=40 (lc = 20 mm),0.268733,0.502968,1.35872
model N=40 (lc = 20 mm),0.320643,0.958046,1.35872
model N=40 (lc = 20 mm),0.38258,1.15624,1.35872
model N=40 (lc = 20 mm),0.456482,0.915216,1.35872
model N=40 (lc = 20 mm),0.544659,0.609126,1.35872
model N=40 (lc = 20 mm),0.649869,0.453789,1.35872
model N=40 (lc = 20 mm),0.775401,0.491251,1.35872
model N=40 (lc = 20 mm),0.925183,0.371876,1.35872
model N=40 (lc = 20 mm),1.1039,0.422983,1.35872
model N=40 (lc = 20 mm),1.31713,0.242556,1.35872
model N=40 (lc = 20 mm),1.57156,0.297113,1.35872
model N=40 (lc = 20 mm),1.87513,0.163824,1.35872
model N=40 (lc = 20 mm),2.23734,0.181238,1.35872
model N=40 (lc = 20 mm),2.66952,0.105867,1.35872
model N=40 (lc = 20 mm),3.18518,0.0462929,1.35872
model N=40 (lc = 20 mm),3.80045,0.0355652,1.35872
model N=40 (lc = 20 mm),4.53457,0.0216781,1.35872
model N=40 (lc = 20 mm),5.4105,0.0158975,1.35872
model N=40 (lc = 20 mm),6.45563,0.00761359,1.35872
model N=40 (lc = 20 mm),7.70264,0.00159525,1.35872
model N=40 (lc = 20 mm),9.19053,0.00133699,1.35872
model N=50 (lc = 25 mm),0.158204,0.393457,1.21402
model N=50 (lc = 25 mm),0.188764,0.329759,1.21402
model N=50 (lc = 25 mm),0.225227,0.552746,1.21402
model N=50 (lc = 25 mm),0.268733,0.555912,1.21402
model N=50 (lc = 25 mm),0.320643,0.815348,1.21402
model N=50 (lc = 25 mm),0.38258,1.00875,1.21402
model N=50 (lc = 25 mm),0.456482,1.03635,1.21402
model N=50 (lc = 25 mm),0.544659,0.708569,1.21402
model N=50 (lc = 25 mm),0.649869,0.306506,1.21402
model N=50 (lc = 25 mm),0.775401,0.433493,1.21402
model N=50 (lc = 25 mm),0.925183,0.484418,1.21402
model N=50 (lc = 25 mm),1.1039,0.338328,1.21402
model N=50 (lc = 25 mm),1.31713,0.264651,1.21402
model N=50 (lc = 25 mm),1.57156,0.205962,1.21402
model N=50 (lc = 25 mm),1.87513,0.15934,1.21402
model N=50 (lc = 25 mm),2.23734,0.189187,1.21402
model N=50 (lc = 25 mm),2.66952,0.111924,1.21402
model N=50 (lc = 25 mm),3.18518,0.0977126,1.21402
model N=50 (lc = 25 mm),3.80045,0.0655148,1.21402
model N=50 (lc = 25 mm),4.53457,0.0192179,1.21402
model N=50 (lc = 25 mm),5.4105,0.00920381,1.21402
model N=50 (lc = 25 mm),6.45563,0.00192844,1.21402
model N=50 (lc = 25 mm),7.70264,0.00161624,1.21402
model N=60 (lc = 30 mm),0.158204,0.17169,1.47914
model N=60 (lc = 30 mm),0.188764,0.431685,1.47914
model N=60 (lc = 30 mm),0.225227,0.422097,1.47914
model N=60 (lc = 30 mm),0.268733,1.01075,1.47914
model N=60 (lc = 30 mm),0.320643,0.720047,1.47914
model N=60 (lc = 30 mm),0.38258,1.17145,1.47914
model N=60 (lc = 30 mm),0.456482,0.952051,1.47914
model N=60 (lc = 30 mm),0.544659,0.324155,1.47914
model N=60 (lc = 30 mm),0.649869,0.292574,1.47914
model N=60 (lc = 30 mm),0.775401,0.315268,1.47914
model N=60 (lc = 30 mm),0.925183,0.337625,1.47914
model N=60 (lc = 30 mm),1.1039,0.319874,1.47914
model N=60 (lc = 30 mm),1.31713,0.340266,1.47914
model N=60 (lc = 30 mm),1.57156,0.345671,1.47914
model N=60 (lc = 30 mm),1.87513,0.231767,1.47914
model N=60 (lc = 30 mm),2.23734,0.151754,1.47914
model N=60 (lc = 30 mm),2.66952,0.0915741,1.47914
model N=60 (lc = 30 mm),3.18518,0.0682212,1.47914
model N=60 (lc = 30 mm),3.80045,0.053603,1.47914
model N=60 (lc = 30 mm),4.53457,0.032945,1.47914
model N=60 (lc = 30 mm),5.4105,0.0125507,1.47914
model N=60 (lc = 30 mm),6.45563,0.0210376,1.47914
model N=60 (lc = 30 mm),7.70264,0.00176317,1.47914
model N=60 (lc = 30 mm),9.19053,0.00147772,1.47914
