panel,series,x_cm_mm,log_probability_ratio,Rg_over_lc,Re_over_lc,log10_probability_ratio,tau_tr_min,probability_density_per_min,fitted_tau_c_min,temperature_C,mean_tau_tr_min,standard_error_min,n_events,fit_error_min
A,living worms 10 C over 20 C,0.40678,0.410052,,,,,,,,,,,
A,living worms 10 C over 20 C,1.22034,0.428374,,,,,,,,,,,
A,living worms 10 C over 20 C,2.0339,0.578845,,,,,,,,,,,
A,living worms 10 C over 20 C,2.84746,0.708621,,,,,,,,,,,
A,living worms 10 C over 20 C,3.66102,0.726335,,,,,,,,,,,
A,living worms 10 C over 20 C,4.47458,0.642468,,,,,,,,,,,
A,living worms 10 C over 20 C,5.28814,0.335082,,,,,,,,,,,
A,living worms 10 C over 20 C,6.10169,-0.116404,,,,,,,,,,,
A,living worms 10 C over 20 C,6.91525,-0.45427,,,,,,,,,,,
A,living worms 10 C over 20 C,7.72881,-0.664893,,,,,,,,,,,
A,living worms 10 C over 20 C,8.54237,-0.631423,,,,,,,,,,,
A,living worms 10 C over 20 C,9.35593,-0.888207,,,,,,,,,,,
A,living worms 10 C over 20 C,10.1695,-0.656796,,,,,,,,,,,
A,living worms 10 C over 20 C,10.9831,-0.648516,,,,,,,,,,,
A,living worms 10 C over 20 C,11.7966,-0.536196,,,,,,,,,,,
A,living worms 10 C over 20 C,12.6102,-0.39554,,,,,,,,,,,
A,living worms 10 C over 20 C,13.4237,-0.369701,,,,,,,,,,,
A,living worms 10 C over 20 C,14.2373,-0.489699,,,,,,,,,,,
A,living worms 10 C over 20 C,15.0508,-0.480724,,,,,,,,,,,
A,living worms 10 C over 20 C,15.8644,-0.47623,,,,,,,,,,,
A,living worms 10 C over 20 C,16.678,-0.521526,,,,,,,,,,,
A,living worms 10 C over 20 C,17.4915,-0.415853,,,,,,,,,,,
A,living worms 10 C over 20 C,18.3051,-0.759484,,,,,,,,,,,
A,living worms 10 C over 20 C,19.1186,-0.869046,,,,,,,,,,,
