series,x_cm_mm,log_probability_ratio
living worms 10 C over 20 C,0.40678,0.410052
living worms 10 C over 20 C,1.22034,0.428374
living worms 10 C over 20 C,2.0339,0.578845
living worms 10 C over 20 C,2.84746,0.708621
living worms 10 C over 20 C,3.66102,0.726335
living worms 10 C over 20 C,4.47458,0.642468
living worms 10 C over 20 C,5.28814,0.335082
living worms 10 C over 20 C,6.10169,-0.116404
living worms 10 C over 20 C,6.91525,-0.45427
living worms 10 C over 20 C,7.72881,-0.664893
living worms 10 C over 20 C,8.54237,-0.631423
living worms 10 C over 20 C,9.35593,-0.888207
living worms 10 C over 20 C,10.1695,-0.656796
living worms 10 C over 20 C,10.9831,-0.648516
living worms 10 C over 20 C,11.7966,-0.536196
living worms 10 C over 20 C,12.6102,-0.39554
living worms 10 C over 20 C,13.4237,-0.369701
living worms 10 C over 20 C,14.2373,-0.489699
living worms 10 C over 20 C,15.0508,-0.480724
living worms 10 C over 20 C,15.8644,-0.47623
living worms 10 C over 20 C,16.678,-0.521526
living worms 10 C over 20 C,17.4915,-0.415853
living worms 10 C over 20 C,18.3051,-0.759484
living worms 10 C over 20 C,19.1186,-0.869046
living worms 10 C over 20 C,19.9322,-0.940036
living worms 10 C over 20 C,20.7458,-0.791697
living worms 10 C over 20 C,21.5593,-0.98294
living worms 10 C over 20 C,22.3729,-1.0108
living worms 10 C over 20 C,23.1864,-1.09737
living worms 10 C over 20 C,24,-1.24952
living worms 10 C over 20 C,24.8136,-0.986356
living worms 10 C over 20 C,25.6271,-0.723994
living worms 10 C over 20 C,26.4407,-0.7922
living worms 10 C over 20 C,27.2542,-0.619266
living worms 10 C over 20 C,28.0678,-0.671088
living worms 10 C over 20 C,28.8814,-0.637733
living worms 10 C over 20 C,29.6949,-0.407621
living worms 10 C over 20 C,30.5085,-0.70867
living worms 10 C over 20 C,31.322,-0.837955
living worms 10 C over 20 C,32.1356,-0.781716
living worms 10 C over 20 C,32.9492,-0.740356
living worms 10 C over 20 C,33.7627,-0.614568
living worms 10 C over 20 C,34.5763,-0.528533
living worms 10 C over 20 C,35.3898,-0.544081
living worms 10 C over 20 C,36.2034,-0.343685
living worms 10 C over 20 C,37.0169,-0.498468
living worms 10 C over 20 C,37.8305,-0.461326
living worms 10 C over 20 C,38.6441,-0.250101
living worms 10 C over 20 C,39.4576,-0.457303
living worms 10 C over 20 C,40.2712,-0.461655
living worms 10 C over 20 C,41.0847,-0.424555
living worms 10 C over 20 C,41.8983,-0.531331
living worms 10 C over 20 C,42.7119,-0.836053
living worms 10 C over 20 C,43.5254,-0.623141
living worms 10 C over 20 C,44.339,-0.648254
living worms 10 C over 20 C,45.1525,-0.408158
living worms 10 C over 20 C,45.9661,-0.229143
living worms 10 C over 20 C,46.7797,-0.253455
living worms 10 C over 20 C,47.5932,-0.199232
living worms 30 C over 20 C,0.40678,0.185901
living worms 30 C over 20 C,1.22034,0.29016
living worms 30 C over 20 C,2.0339,0.465615
living worms 30 C over 20 C,2.84746,0.640493
living worms 30 C over 20 C,3.66102,0.676213
living worms 30 C over 20 C,4.47458,0.441112
living worms 30 C over 20 C,5.28814,0.323145
living worms 30 C over 20 C,6.10169,0.0392294
living worms 30 C over 20 C,6.91525,-0.343897
living worms 30 C over 20 C,7.72881,-0.653482
living worms 30 C over 20 C,8.54237,-0.649601
living worms 30 C over 20 C,9.35593,-0.840193
living worms 30 C over 20 C,10.1695,-0.718716
living worms 30 C over 20 C,10.9831,-0.811046
living worms 30 C over 20 C,11.7966,-0.766864
living worms 30 C over 20 C,12.6102,-0.748045
living worms 30 C over 20 C,13.4237,-0.756994
living worms 30 C over 20 C,14.2373,-0.816275
living worms 30 C over 20 C,15.0508,-0.8349
living worms 30 C over 20 C,15.8644,-0.770632
living worms 30 C over 20 C,16.678,-0.68459
living worms 30 C over 20 C,17.4915,-0.571695
living worms 30 C over 20 C,18.3051,-0.878832
living worms 30 C over 20 C,19.1186,-0.838559
living worms 30 C over 20 C,19.9322,-0.981494
living worms 30 C over 20 C,20.7458,-0.900825
living worms 30 C over 20 C,21.5593,-0.933026
living worms 30 C over 20 C,22.3729,-1.08332
living worms 30 C over 20 C,23.1864,-1.15026
living worms 30 C over 20 C,24,-0.957637
living worms 30 C over 20 C,24.8136,-0.584819
living worms 30 C over 20 C,25.6271,-0.244063
living worms 30 C over 20 C,26.4407,0.242879
living worms 30 C over 20 C,27.2542,0.0973283
living worms 30 C over 20 C,28.0678,-0.456104
living worms 30 C over 20 C,28.8814,-0.484769
living worms 30 C over 20 C,29.6949,-0.263901
living worms 30 C over 20 C,30.5085,-0.468966
living worms 30 C over 20 C,31.322,-0.553182
living worms 30 C over 20 C,32.1356,-0.31933
living worms 30 C over 20 C,32.9492,-0.334318
living worms 30 C over 20 C,33.7627,-0.353155
living worms 30 C over 20 C,34.5763,-0.277594
living worms 30 C over 20 C,35.3898,-0.223311
living worms 30 C over 20 C,36.2034,-0.152702
living worms 30 C over 20 C,37.0169,-0.100642
living worms 30 C over 20 C,37.8305,-0.285082
living worms 30 C over 20 C,38.6441,-0.265258
living worms 30 C over 20 C,39.4576,-0.148831
living worms 30 C over 20 C,40.2712,-0.115287
living worms 30 C over 20 C,41.0847,-0.357962
living worms 30 C over 20 C,41.8983,-0.142411
living worms 30 C over 20 C,42.7119,-0.394885
living worms 30 C over 20 C,43.5254,-0.133807
living worms 30 C over 20 C,44.339,-0.0298921
living worms 30 C over 20 C,45.1525,0.174856
living worms 30 C over 20 C,45.9661,0.0432254
living worms 30 C over 20 C,46.7797,0.276675
living worms 30 C over 20 C,47.5932,0.247258
