series,Rg_over_lc,Re_over_lc,log10_probability_ratio
living worms 10 C over 20 C,0.051,0.071,0.270059
living worms 10 C over 20 C,0.051,0.093,0.28706
living worms 10 C over 20 C,0.051,0.115,0.287328
living worms 10 C over 20 C,0.057,0.027,0.201108
living worms 10 C over 20 C,0.057,0.049,0.232301
living worms 10 C over 20 C,0.057,0.071,0.26939
living worms 10 C over 20 C,0.057,0.093,0.294319
living worms 10 C over 20 C,0.057,0.115,0.293433
living worms 10 C over 20 C,0.057,0.137,0.273543
living worms 10 C over 20 C,0.057,0.159,0.232794
living worms 10 C over 20 C,0.063,0.027,0.179545
living worms 10 C over 20 C,0.063,0.049,0.196716
living worms 10 C over 20 C,0.063,0.071,0.231143
living worms 10 C over 20 C,0.063,0.093,0.265091
living worms 10 C over 20 C,0.063,0.115,0.280266
living worms 10 C over 20 C,0.063,0.137,0.270218
living worms 10 C over 20 C,0.063,0.159,0.22756
living worms 10 C over 20 C,0.063,0.181,0.164742
living worms 10 C over 20 C,0.063,0.203,0.101529
living worms 10 C over 20 C,0.069,0.005,0.155325
living worms 10 C over 20 C,0.069,0.027,0.17364
living worms 10 C over 20 C,0.069,0.049,0.179007
living worms 10 C over 20 C,0.069,0.071,0.192929
living worms 10 C over 20 C,0.069,0.093,0.213695
living worms 10 C over 20 C,0.069,0.115,0.239992
living worms 10 C over 20 C,0.069,0.137,0.242317
living worms 10 C over 20 C,0.069,0.159,0.20177
living worms 10 C over 20 C,0.069,0.181,0.147981
living worms 10 C over 20 C,0.069,0.203,0.110194
living worms 10 C over 20 C,0.069,0.225,0.101751
living worms 10 C over 20 C,0.069,0.247,0.110592
living worms 10 C over 20 C,0.075,0.005,0.159084
living worms 10 C over 20 C,0.075,0.027,0.155316
living worms 10 C over 20 C,0.075,0.049,0.158149
living worms 10 C over 20 C,0.075,0.071,0.18039
living worms 10 C over 20 C,0.075,0.093,0.194727
living worms 10 C over 20 C,0.075,0.115,0.213949
living worms 10 C over 20 C,0.075,0.137,0.215662
living worms 10 C over 20 C,0.075,0.159,0.18155
living worms 10 C over 20 C,0.075,0.181,0.146492
living worms 10 C over 20 C,0.075,0.203,0.1358
living worms 10 C over 20 C,0.075,0.225,0.145885
living worms 10 C over 20 C,0.075,0.247,0.147862
living worms 10 C over 20 C,0.075,0.269,0.107227
living worms 10 C over 20 C,0.081,0.005,0.180507
living worms 10 C over 20 C,0.081,0.027,0.160552
living worms 10 C over 20 C,0.081,0.049,0.167159
living worms 10 C over 20 C,0.081,0.071,0.208574
living worms 10 C over 20 C,0.081,0.093,0.232702
living worms 10 C over 20 C,0.081,0.115,0.237276
living worms 10 C over 20 C,0.081,0.137,0.22396
living worms 10 C over 20 C,0.081,0.159,0.195523
living worms 10 C over 20 C,0.081,0.181,0.173898
living worms 10 C over 20 C,0.081,0.203,0.172378
living worms 10 C over 20 C,0.081,0.225,0.188693
living worms 10 C over 20 C,0.081,0.247,0.190449
living worms 10 C over 20 C,0.081,0.269,0.138283
living worms 10 C over 20 C,0.081,0.291,0.0575383
living worms 10 C over 20 C,0.087,0.005,0.20105
living worms 10 C over 20 C,0.087,0.027,0.186918
living worms 10 C over 20 C,0.087,0.049,0.20935
living worms 10 C over 20 C,0.087,0.071,0.259911
living worms 10 C over 20 C,0.087,0.093,0.290151
living worms 10 C over 20 C,0.087,0.115,0.290623
living worms 10 C over 20 C,0.087,0.137,0.269593
living worms 10 C over 20 C,0.087,0.159,0.246841
living worms 10 C over 20 C,0.087,0.181,0.230714
living worms 10 C over 20 C,0.087,0.203,0.230228
living worms 10 C over 20 C,0.087,0.225,0.249575
living worms 10 C over 20 C,0.087,0.247,0.251421
living worms 10 C over 20 C,0.087,0.269,0.189957
living worms 10 C over 20 C,0.087,0.291,0.0963188
living worms 10 C over 20 C,0.087,0.313,0.016487
living worms 10 C over 20 C,0.087,0.335,-0.0229941
living worms 10 C over 20 C,0.093,0.005,0.237717
living worms 10 C over 20 C,0.093,0.027,0.223915
living worms 10 C over 20 C,0.093,0.049,0.249655
living worms 10 C over 20 C,0.093,0.071,0.302856
living worms 10 C over 20 C,0.093,0.093,0.341183
living worms 10 C over 20 C,0.093,0.115,0.348985
living worms 10 C over 20 C,0.093,0.137,0.333753
living worms 10 C over 20 C,0.093,0.159,0.311704
living worms 10 C over 20 C,0.093,0.181,0.289229
living worms 10 C over 20 C,0.093,0.203,0.288871
living worms 10 C over 20 C,0.093,0.225,0.313746
living worms 10 C over 20 C,0.093,0.247,0.315995
living worms 10 C over 20 C,0.093,0.269,0.252287
living worms 10 C over 20 C,0.093,0.291,0.153979
living worms 10 C over 20 C,0.093,0.313,0.0662631
living worms 10 C over 20 C,0.093,0.335,0.00421293
living worms 10 C over 20 C,0.093,0.357,-0.0567042
living worms 10 C over 20 C,0.099,0.005,0.31602
living worms 10 C over 20 C,0.099,0.027,0.289817
living worms 10 C over 20 C,0.099,0.049,0.289547
living worms 10 C over 20 C,0.099,0.071,0.318155
living worms 10 C over 20 C,0.099,0.093,0.361465
living worms 10 C over 20 C,0.099,0.115,0.391331
living worms 10 C over 20 C,0.099,0.137,0.395227
living worms 10 C over 20 C,0.099,0.159,0.369743
living worms 10 C over 20 C,0.099,0.181,0.334113
