series,tau_tr_min,probability_density_per_min,fitted_tau_c_min
living worms 10 C,0.154098,1.47823,2.31329
living worms 10 C,0.188914,0.904344,2.31329
living worms 10 C,0.231597,0.737675,2.31329
living worms 10 C,0.283924,0.401148,2.31329
living worms 10 C,0.348073,0.818044,2.31329
living worms 10 C,0.426716,0.66728,2.31329
living worms 10 C,0.523128,0.21772,2.31329
living worms 10 C,0.641323,0.35519,2.31329
living worms 10 C,0.786222,0.0724323,2.31329
living worms 10 C,0.96386,0.118166,2.31329
living worms 10 C,1.18163,0.337359,2.31329
living worms 10 C,1.44861,0.157248,2.31329
living worms 10 C,1.7759,0.144301,2.31329
living worms 10 C,2.17715,0.143864,2.31329
living worms 10 C,2.66905,0.170691,2.31329
living worms 10 C,3.27209,0.0870205,2.31329
living worms 10 C,4.01138,0.0851794,2.31329
living worms 10 C,4.91771,0.0405306,2.31329
living worms 10 C,6.02881,0.0377838,2.31329
living worms 10 C,7.39094,0.0115576,2.31329
living worms 10 C,9.06084,0.0377103,2.31329
living worms 10 C,11.108,0.00256336,2.31329
living worms 20 C,0.154098,1.92707,1.29191
living worms 20 C,0.188914,1.20205,1.29191
living worms 20 C,0.231597,0.603394,1.29191
living worms 20 C,0.283924,1.16895,1.29191
living worms 20 C,0.348073,0.652404,1.29191
living worms 20 C,0.426716,0.982463,1.29191
living worms 20 C,0.523128,0.634439,1.29191
living worms 20 C,0.641323,0.817126,1.29191
living worms 20 C,0.786222,0.422136,1.29191
living worms 20 C,0.96386,0.471198,1.29191
living worms 20 C,1.18163,0.280876,1.29191
living worms 20 C,1.44861,0.108526,1.29191
living worms 20 C,1.7759,0.108197,1.29191
living worms 20 C,2.17715,0.152444,1.29191
living worms 20 C,2.66905,0.0719913,1.29191
living worms 20 C,3.27209,0.0533849,1.29191
living worms 20 C,4.01138,0.0348369,1.29191
living worms 20 C,4.91771,0.00355207,1.29191
living worms 20 C,6.02881,0.00869229,1.29191
living worms 20 C,7.39094,0.00472688,1.29191
living worms 20 C,9.06084,0.00192786,1.29191
living worms 30 C,0.154098,1.31011,2.3673
living worms 30 C,0.188914,0.74806,2.3673
living worms 30 C,0.231597,0.958876,2.3673
living worms 30 C,0.283924,0.426631,2.3673
living worms 30 C,0.348073,0.580006,2.3673
living worms 30 C,0.426716,0.615046,2.3673
living worms 30 C,0.523128,0.463102,2.3673
living worms 30 C,0.641323,0.440712,2.3673
living worms 30 C,0.786222,0.179745,2.3673
living worms 30 C,0.96386,0.188509,2.3673
living worms 30 C,1.18163,0.170852,2.3673
living worms 30 C,1.44861,0.139365,2.3673
living worms 30 C,1.7759,0.22736,2.3673
living worms 30 C,2.17715,0.157639,2.3673
living worms 30 C,2.66905,0.151278,2.3673
living worms 30 C,3.27209,0.0802087,2.3673
living worms 30 C,4.01138,0.0402624,2.3673
living worms 30 C,4.91771,0.0410526,2.3673
living worms 30 C,6.02881,0.0535787,2.3673
living worms 30 C,7.39094,0.0382412,2.3673
living worms 30 C,9.06084,0.0155967,2.3673
