series,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H
model,2.08083,30,0.35,0.08,,5.56777
model,1.50972,30,0.4,0.08,,5.67977
model,1.24282,30,0.5,0.08,,5.74387
model,1.11938,30,0.65,0.08,,5.69178
model,2.72584,30,0.3,0.1,,5.35433
model,2.29572,30,0.35,0.1,,5.43728
model,1.58309,30,0.4,0.1,,5.61291
model,1.33692,30,0.5,0.1,,5.72428
model,1.20643,30,0.65,0.1,,5.71572
model,1.16226,30,0.8,0.1,,5.6594
model,1.01457,30,1,0.1,,5.55923
model,3.11189,30,0.35,0.15,,5.21259
model,2.52953,30,0.4,0.15,,5.30805
model,1.90205,30,0.5,0.15,,5.48814
model,1.6367,30,0.65,0.15,,5.60194
model,4.38803,30,0.3,0.2,,4.91505
model,3.60159,30,0.35,0.2,,5.04606
model,3.28019,30,0.4,0.2,,5.0672
model,2.98084,30,0.5,0.2,,5.21321
model,2.11829,30,0.65,0.2,,5.36568
model,1.59539,30,0.8,0.2,,5.51468
model,1.41281,30,1,0.2,,5.59561
model,3.92951,30,0.3,0.3,,4.78319
model,4.30732,30,0.35,0.3,,4.8178
model,3.45903,30,0.4,0.3,,4.90076
model,3.83253,30,0.5,0.3,,4.95002
model,3.0229,30,0.65,0.3,,5.08062
model,2.42358,30,0.8,0.3,,5.21098
model,1.80706,30,1,0.3,,5.39314
model,1.62334,31,0.414,0.097,,5.64134
model,2.57844,40,0.3,0.1,,5.34062
model,1.75812,40,0.4,0.1,,5.43027
model,1.24446,40,0.5,0.1,,5.68367
model,0.988462,40,0.65,0.1,,5.73255
model,0.876266,40,0.8,0.1,,5.69439
model,0.79745,40,1,0.1,,5.61659
model,4.29917,40,0.3,0.2,,4.91499
model,2.39722,40,0.4,0.2,,5.07468
model,2.0888,40,0.5,0.2,,5.24371
model,1.61993,40,0.65,0.2,,5.42145
model,1.33706,40,0.8,0.2,,5.52545
model,1.02646,40,1,0.2,,5.65704
model,2.89803,40,0.3,0.3,,4.86243
model,2.64709,40,0.5,0.3,,4.96783
model,2.20145,40,0.65,0.3,,5.13318
model,1.91633,40,0.8,0.3,,5.24189
model,1.60696,40,1,0.3,,5.36691
model,1.35554,50,0.35,0.08,,5.59796
model,1.1777,50,0.4,0.08,,5.66282
model,0.944852,50,0.5,0.08,,5.75855
model,0.738875,50,0.65,0.08,,5.74469
model,2.23531,50,0.3,0.1,,5.28592
model,1.91563,50,0.35,0.1,,5.3768
model,1.53184,50,0.4,0.1,,5.48583
model,1.10903,50,0.5,0.1,,5.68329
model,1.057,50,0.6,0.1,,5.6461
model,0.738918,50,0.65,0.1,,5.78026
model,0.728145,50,0.8,0.1,,5.7166
model,0.623842,50,1,0.1,,5.5923
model,2.5145,50,0.35,0.15,,5.16193
model,1.82868,50,0.4,0.15,,5.30258
model,1.54823,50,0.5,0.15,,5.44132
model,1.07926,50,0.65,0.15,,5.58376
model,2.61936,50,0.3,0.2,,4.97178
model,2.42041,50,0.35,0.2,,5.0156
model,2.427,50,0.4,0.2,,5.06488
model,1.87256,50,0.5,0.2,,5.22738
model,1.39787,50,0.65,0.2,,5.42788
model,1.16726,50,0.8,0.2,,5.53811
model,0.815907,50,1,0.2,,5.64807
model,2.51949,50,0.3,0.3,,4.83247
model,2.91915,50,0.35,0.3,,4.86347
model,2.63889,50,0.4,0.3,,4.90076
model,2.3012,50,0.5,0.3,,5.00301
model,1.93924,50,0.65,0.3,,5.14198
model,1.51271,50,0.8,0.3,,5.29018
model,1.21169,50,1,0.3,,5.42829
model,1.68517,60,0.4,0.2,,5.07219
model,1.48168,80,0.35,0.08,,5.3633
model,1.1938,80,0.4,0.08,,5.49788
model,0.810113,80,0.5,0.08,,5.69354
model,0.54915,80,0.65,0.08,,5.80337
model,1.68222,80,0.35,0.1,,5.24827
model,1.20979,80,0.4,0.1,,5.42062
model,0.954386,80,0.5,0.1,,5.61388
model,0.653125,80,0.65,0.1,,5.7539
model,0.427026,80,1,0.1,,5.68179
model,2.25128,80,0.35,0.15,,5.06099
model,1.79237,80,0.4,0.15,,5.15239
model,1.34449,80,0.5,0.15,,5.35749
model,0.927986,80,0.65,0.15,,5.56553
model,1.95553,80,0.35,0.2,,4.96545
model,2.02267,80,0.4,0.2,,5.01151
