series,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H,tau_tr_over_tau_e0,fit_slope_per_H,fit_intercept
model,30,0.35,0.08,,5.56777,12.0746,,
model,30,0.4,0.08,,5.67977,7.06564,,
model,30,0.5,0.08,,5.74387,5.22666,,
model,30,0.65,0.08,,5.69178,4.24059,,
model,30,0.3,0.1,,5.35433,15.8175,,
model,30,0.35,0.1,,5.43728,13.3216,,
model,30,0.4,0.1,,5.61291,7.40903,,
model,30,0.5,0.1,,5.72428,5.62242,,
model,30,0.65,0.1,,5.71572,4.57036,,
model,30,0.8,0.1,,5.6594,4.14216,,
model,30,1,0.1,,5.55923,3.28226,,
model,30,0.35,0.15,,5.21259,18.0576,,
model,30,0.4,0.15,,5.30805,11.8384,,
model,30,0.5,0.15,,5.48814,7.99906,,
model,30,0.65,0.15,,5.60194,6.20037,,
model,30,0.3,0.2,,4.91505,31.468,,
model,30,0.35,0.2,,5.04606,25.8282,,
model,30,0.4,0.2,,5.0672,21.3826,,
model,30,0.5,0.2,,5.21321,17.0203,,
model,30,0.65,0.2,,5.36568,10.5658,,
model,30,0.8,0.2,,5.51468,7.20701,,
model,30,1,0.2,,5.59561,5.78188,,
model,30,0.3,0.3,,4.78319,26.3582,,
model,30,0.35,0.3,,4.8178,28.8925,,
model,30,0.4,0.3,,4.90076,22.4548,,
model,30,0.5,0.3,,4.95002,23.9039,,
model,30,0.65,0.3,,5.08062,17.3305,,
model,30,0.8,0.3,,5.21098,12.7655,,
model,30,1,0.3,,5.39314,8.68093,,
model,31,0.414,0.097,,5.64134,7.59739,,
model,40,0.3,0.1,,5.34062,20.6122,,
model,40,0.4,0.1,,5.43027,11.3855,,
model,40,0.5,0.1,,5.68367,7.16614,,
model,40,0.65,0.1,,5.73255,5.20106,,
model,40,0.8,0.1,,5.69439,4.24438,,
model,40,1,0.1,,5.61659,3.51077,,
model,40,0.3,0.2,,4.91499,37.4617,,
model,40,0.4,0.2,,5.07468,19.9529,,
model,40,0.5,0.2,,5.24371,15.2718,,
model,40,0.65,0.2,,5.42145,10.5779,,
model,40,0.8,0.2,,5.52545,7.83767,,
model,40,1,0.2,,5.65704,5.59886,,
model,40,0.3,0.3,,4.86243,24.78,,
model,40,0.5,0.3,,4.96783,20.3991,,
model,40,0.65,0.3,,5.13318,15.6557,,
model,40,0.8,0.3,,5.24189,12.8387,,
model,40,1,0.3,,5.36691,9.81279,,
model,50,0.35,0.08,,5.59796,13.3845,,
model,50,0.4,0.08,,5.66282,8.97136,,
model,50,0.5,0.08,,5.75855,6.8757,,
model,50,0.65,0.08,,5.74469,4.91172,,
model,50,0.3,0.1,,5.28592,22.0712,,
model,50,0.35,0.1,,5.3768,18.9148,,
model,50,0.4,0.1,,5.48583,12.4228,,
model,50,0.5,0.1,,5.68329,8.07041,,
model,50,0.6,0.1,,5.6461,7.18083,,
model,50,0.65,0.1,,5.78026,4.91201,,
model,50,0.8,0.1,,5.7166,4.4506,,
