panel,series,t_min,angular_msd_rad2,fitted_D_theta_per_min,translational_msd_mm2,plateau_mm2,tau_d_min,x_mm,y_mm,counts,temperature_C,tau_theta_s,tau_d_s,tau_theta_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,tau_tr_inf_min,n_runs,pe_number,tau_tr_over_tau_tr_inf
A,living worms 10 C,0.0333333,1.07365,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.0666667,1.93818,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.1,2.77099,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.133333,3.57185,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.166667,4.39347,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.2,5.23789,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.233333,6.07963,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.266667,6.95079,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.3,7.77507,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.333333,8.62162,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.366667,9.47535,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.4,10.3061,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.433333,11.1332,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.466667,11.9529,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.5,12.7396,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.533333,13.5061,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.566667,14.2588,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.6,15.0209,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.633333,15.7478,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.666667,16.4938,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.7,17.2506,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.733333,18.0743,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.766667,18.8568,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.8,19.6624,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.833333,20.4495,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.866667,21.381,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.9,22.1357,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.933333,23.1253,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,0.966667,24.2719,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1,24.791,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.03333,26.2331,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.06667,26.7391,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.1,27.7724,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.13333,28.1647,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.16667,29.4623,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.2,30.8839,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.23333,32.0043,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.26667,33.0456,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.3,31.4922,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.33333,32.6272,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.36667,33.698,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.4,34.6145,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.43333,36.2566,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.46667,37.0077,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.5,38.3243,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.53333,39.148,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.56667,39.9529,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.6,40.7852,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.63333,42.4393,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.66667,43.9993,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.7,44.6371,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.73333,45.0422,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.76667,46.7362,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.8,47.6621,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.83333,45.4396,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.86667,45.851,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.9,47.4582,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.93333,44.0596,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,1.96667,44.7009,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,2,45.848,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,2.03333,46.9329,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,2.06667,49.6583,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,2.1,47.6877,12.5475,,,,,,,,,,,,,,,,,,
A,living worms 10 C,2.13333,48.0905,12.5475,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0666667,1.91394,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0721088,2.05051,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.077551,2.18708,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0829932,2.32366,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0884354,2.46023,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0938776,2.5968,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.0993197,2.73337,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.104762,2.86994,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.110204,3.00651,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.115646,3.14308,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.121088,3.27966,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.126531,3.41623,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.131973,3.5528,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.137415,3.68937,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.142857,3.82594,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.148299,3.96251,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.153741,4.09909,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.159184,4.23566,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.164626,4.37223,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.170068,4.5088,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.17551,4.64537,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.180952,4.78194,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.186395,4.91851,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.191837,5.05509,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.197279,5.19166,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.202721,5.32823,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.208163,5.4648,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.213605,5.60137,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.219048,5.73794,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.22449,5.87451,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.229932,6.01109,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.235374,6.14766,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.240816,6.28423,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.246259,6.4208,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.251701,6.55737,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.257143,6.69394,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.262585,6.83051,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.268027,6.96709,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.273469,7.10366,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.278912,7.24023,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.284354,7.3768,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.289796,7.51337,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.295238,7.64994,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.30068,7.78651,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.306122,7.92309,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.311565,8.05966,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.317007,8.19623,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.322449,8.3328,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.327891,8.46937,,,,,,,,,,,,,,,,,,,
A,linear fit 10 C,0.333333,8.60594,,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.0333333,0.927731,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.0666667,1.5995,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.1,2.2307,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.133333,2.8759,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.166667,3.52339,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.2,4.17827,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.233333,4.7569,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.266667,5.34249,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.3,6.00087,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.333333,6.6491,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,0.366667,7.2297,9.41889,,,,,,,,,,,,,,,,,,
