series,t_min,angular_msd_rad2,fitted_D_theta_per_min
living worms 10 C,0.0333333,1.07365,12.5475
living worms 10 C,0.0666667,1.93818,12.5475
living worms 10 C,0.1,2.77099,12.5475
living worms 10 C,0.133333,3.57185,12.5475
living worms 10 C,0.166667,4.39347,12.5475
living worms 10 C,0.2,5.23789,12.5475
living worms 10 C,0.233333,6.07963,12.5475
living worms 10 C,0.266667,6.95079,12.5475
living worms 10 C,0.3,7.77507,12.5475
living worms 10 C,0.333333,8.62162,12.5475
living worms 10 C,0.366667,9.47535,12.5475
living worms 10 C,0.4,10.3061,12.5475
living worms 10 C,0.433333,11.1332,12.5475
living worms 10 C,0.466667,11.9529,12.5475
living worms 10 C,0.5,12.7396,12.5475
living worms 10 C,0.533333,13.5061,12.5475
living worms 10 C,0.566667,14.2588,12.5475
living worms 10 C,0.6,15.0209,12.5475
living worms 10 C,0.633333,15.7478,12.5475
living worms 10 C,0.666667,16.4938,12.5475
living worms 10 C,0.7,17.2506,12.5475
living worms 10 C,0.733333,18.0743,12.5475
living worms 10 C,0.766667,18.8568,12.5475
living worms 10 C,0.8,19.6624,12.5475
living worms 10 C,0.833333,20.4495,12.5475
living worms 10 C,0.866667,21.381,12.5475
living worms 10 C,0.9,22.1357,12.5475
living worms 10 C,0.933333,23.1253,12.5475
living worms 10 C,0.966667,24.2719,12.5475
living worms 10 C,1,24.791,12.5475
living worms 10 C,1.03333,26.2331,12.5475
living worms 10 C,1.06667,26.7391,12.5475
living worms 10 C,1.1,27.7724,12.5475
living worms 10 C,1.13333,28.1647,12.5475
living worms 10 C,1.16667,29.4623,12.5475
living worms 10 C,1.2,30.8839,12.5475
living worms 10 C,1.23333,32.0043,12.5475
living worms 10 C,1.26667,33.0456,12.5475
living worms 10 C,1.3,31.4922,12.5475
living worms 10 C,1.33333,32.6272,12.5475
living worms 10 C,1.36667,33.698,12.5475
living worms 10 C,1.4,34.6145,12.5475
living worms 10 C,1.43333,36.2566,12.5475
living worms 10 C,1.46667,37.0077,12.5475
living worms 10 C,1.5,38.3243,12.5475
living worms 10 C,1.53333,39.148,12.5475
living worms 10 C,1.56667,39.9529,12.5475
living worms 10 C,1.6,40.7852,12.5475
living worms 10 C,1.63333,42.4393,12.5475
living worms 10 C,1.66667,43.9993,12.5475
living worms 10 C,1.7,44.6371,12.5475
living worms 10 C,1.73333,45.0422,12.5475
living worms 10 C,1.76667,46.7362,12.5475
living worms 10 C,1.8,47.6621,12.5475
living worms 10 C,1.83333,45.4396,12.5475
living worms 10 C,1.86667,45.851,12.5475
living worms 10 C,1.9,47.4582,12.5475
living worms 10 C,1.93333,44.0596,12.5475
living worms 10 C,1.96667,44.7009,12.5475
