series,x_mm,y_mm,counts
living worms all temperatures,-0.945,-3.885,32
living worms all temperatures,-0.735,-3.885,73
living worms all temperatures,-0.525,-3.885,89
living worms all temperatures,-0.315,-3.885,96
living worms all temperatures,-0.105,-3.885,85
living worms all temperatures,0.105,-3.885,78
living worms all temperatures,0.315,-3.885,86
living worms all temperatures,0.525,-3.885,78
living worms all temperatures,0.735,-3.885,86
living worms all temperatures,0.945,-3.885,44
living worms all temperatures,-1.575,-3.675,35
living worms all temperatures,-1.365,-3.675,82
living worms all temperatures,-1.155,-3.675,91
living worms all temperatures,-0.945,-3.675,108
living worms all temperatures,-0.735,-3.675,104
living worms all temperatures,-0.525,-3.675,120
living worms all temperatures,-0.315,-3.675,118
living worms all temperatures,-0.105,-3.675,97
living worms all temperatures,0.105,-3.675,107
living worms all temperatures,0.315,-3.675,101
living worms all temperatures,0.525,-3.675,111
living worms all temperatures,0.735,-3.675,130
living worms all temperatures,0.945,-3.675,115
living worms all temperatures,1.155,-3.675,108
living worms all temperatures,1.365,-3.675,81
living worms all temperatures,1.575,-3.675,46
living worms all temperatures,-1.995,-3.465,21
living worms all temperatures,-1.785,-3.465,107
living worms all temperatures,-1.575,-3.465,155
living worms all temperatures,-1.365,-3.465,120
living worms all temperatures,-1.155,-3.465,118
living worms all temperatures,-0.945,-3.465,109
living worms all temperatures,-0.735,-3.465,117
living worms all temperatures,-0.525,-3.465,111
living worms all temperatures,-0.315,-3.465,120
living worms all temperatures,-0.105,-3.465,131
living worms all temperatures,0.105,-3.465,119
living worms all temperatures,0.315,-3.465,125
living worms all temperatures,0.525,-3.465,123
living worms all temperatures,0.735,-3.465,138
living worms all temperatures,0.945,-3.465,115
living worms all temperatures,1.155,-3.465,142
living worms all temperatures,1.365,-3.465,112
living worms all temperatures,1.575,-3.465,93
living worms all temperatures,1.785,-3.465,95
living worms all temperatures,1.995,-3.465,55
living worms all temperatures,-2.205,-3.255,70
living worms all temperatures,-1.995,-3.255,110
living worms all temperatures,-1.785,-3.255,155
living worms all temperatures,-1.575,-3.255,167
living worms all temperatures,-1.365,-3.255,95
living worms all temperatures,-1.155,-3.255,107
living worms all temperatures,-0.945,-3.255,97
living worms all temperatures,-0.735,-3.255,100
living worms all temperatures,-0.525,-3.255,89
living worms all temperatures,-0.315,-3.255,101
living worms all temperatures,-0.105,-3.255,79
living worms all temperatures,0.105,-3.255,95
living worms all temperatures,0.315,-3.255,92
living worms all temperatures,0.525,-3.255,88
living worms all temperatures,0.735,-3.255,114
living worms all temperatures,0.945,-3.255,108
living worms all temperatures,1.155,-3.255,102
living worms all temperatures,1.365,-3.255,122
living worms all temperatures,1.575,-3.255,111
living worms all temperatures,1.785,-3.255,118
living worms all temperatures,1.995,-3.255,112
living worms all temperatures,2.205,-3.255,64
living worms all temperatures,-2.415,-3.045,172
living worms all temperatures,-2.205,-3.045,200
living worms all temperatures,-1.995,-3.045,134
living worms all temperatures,-1.785,-3.045,123
living worms all temperatures,-1.575,-3.045,158
living worms all temperatures,-1.365,-3.045,98
living worms all temperatures,-1.155,-3.045,98
living worms all temperatures,-0.945,-3.045,80
living worms all temperatures,-0.735,-3.045,97
living worms all temperatures,-0.525,-3.045,105
living worms all temperatures,-0.315,-3.045,94
living worms all temperatures,-0.105,-3.045,91
living worms all temperatures,0.105,-3.045,79
living worms all temperatures,0.315,-3.045,81
living worms all temperatures,0.525,-3.045,73
living worms all temperatures,0.735,-3.045,98
living worms all temperatures,0.945,-3.045,98
living worms all temperatures,1.155,-3.045,93
living worms all temperatures,1.365,-3.045,115
living worms all temperatures,1.575,-3.045,138
living worms all temperatures,1.785,-3.045,152
living worms all temperatures,1.995,-3.045,173
living worms all temperatures,2.205,-3.045,115
living worms all temperatures,2.415,-3.045,106
living worms all temperatures,-2.625,-2.835,182
living worms all temperatures,-2.415,-2.835,148
living worms all temperatures,-2.205,-2.835,160
living worms all temperatures,-1.995,-2.835,115
living worms all temperatures,-1.785,-2.835,76
living worms all temperatures,-1.575,-2.835,93
living worms all temperatures,-1.365,-2.835,80
living worms all temperatures,-1.155,-2.835,63
living worms all temperatures,-0.945,-2.835,76
living worms all temperatures,-0.735,-2.835,79
living worms all temperatures,-0.525,-2.835,82
living worms all temperatures,-0.315,-2.835,64
living worms all temperatures,-0.105,-2.835,71
living worms all temperatures,0.105,-2.835,61
living worms all temperatures,0.315,-2.835,75
living worms all temperatures,0.525,-2.835,65
living worms all temperatures,0.735,-2.835,87
living worms all temperatures,0.945,-2.835,56
living worms all temperatures,1.155,-2.835,78
living worms all temperatures,1.365,-2.835,72
living worms all temperatures,1.575,-2.835,93
living worms all temperatures,1.785,-2.835,81
living worms all temperatures,1.995,-2.835,111
living worms all temperatures,2.205,-2.835,143
living worms all temperatures,2.415,-2.835,110
living worms all temperatures,2.625,-2.835,97
living worms all temperatures,-2.835,-2.625,143
living worms all temperatures,-2.625,-2.625,144
living worms all temperatures,-2.415,-2.625,140
living worms all temperatures,-2.205,-2.625,128
living worms all temperatures,-1.995,-2.625,100
living worms all temperatures,-1.785,-2.625,67
living worms all temperatures,-1.575,-2.625,67
living worms all temperatures,-1.365,-2.625,60
living worms all temperatures,-1.155,-2.625,67
living worms all temperatures,-0.945,-2.625,65
living worms all temperatures,-0.735,-2.625,57
living worms all temperatures,-0.525,-2.625,68
living worms all temperatures,-0.315,-2.625,62
living worms all temperatures,-0.105,-2.625,48
living worms all temperatures,0.105,-2.625,79
living worms all temperatures,0.315,-2.625,67
living worms all temperatures,0.525,-2.625,55
living worms all temperatures,0.735,-2.625,68
living worms all temperatures,0.945,-2.625,62
living worms all temperatures,1.155,-2.625,66
living worms all temperatures,1.365,-2.625,77
living worms all temperatures,1.575,-2.625,57
living worms all temperatures,1.785,-2.625,84
living worms all temperatures,1.995,-2.625,110
living worms all temperatures,2.205,-2.625,99
living worms all temperatures,2.415,-2.625,116
living worms all temperatures,2.625,-2.625,114
living worms all temperatures,2.835,-2.625,103
living worms all temperatures,-3.045,-2.415,90
living worms all temperatures,-2.835,-2.415,171
living worms all temperatures,-2.625,-2.415,101
living worms all temperatures,-2.415,-2.415,107
living worms all temperatures,-2.205,-2.415,85
living worms all temperatures,-1.995,-2.415,70
living worms all temperatures,-1.785,-2.415,66
living worms all temperatures,-1.575,-2.415,77
living worms all temperatures,-1.365,-2.415,49
living worms all temperatures,-1.155,-2.415,55
living worms all temperatures,-0.945,-2.415,54
living worms all temperatures,-0.735,-2.415,66
living worms all temperatures,-0.525,-2.415,71
living worms all temperatures,-0.315,-2.415,64
living worms all temperatures,-0.105,-2.415,60
living worms all temperatures,0.105,-2.415,59
living worms all temperatures,0.315,-2.415,69
living worms all temperatures,0.525,-2.415,56
living worms all temperatures,0.735,-2.415,83
living worms all temperatures,0.945,-2.415,51
living worms all temperatures,1.155,-2.415,50
living worms all temperatures,1.365,-2.415,60
living worms all temperatures,1.575,-2.415,58
living worms all temperatures,1.785,-2.415,86
living worms all temperatures,1.995,-2.415,96
living worms all temperatures,2.205,-2.415,91
living worms all temperatures,2.415,-2.415,118
living worms all temperatures,2.625,-2.415,129
living worms all temperatures,2.835,-2.415,117
living worms all temperatures,3.045,-2.415,102
living worms all temperatures,-3.255,-2.205,72
living worms all temperatures,-3.045,-2.205,138
living worms all temperatures,-2.835,-2.205,151
living worms all temperatures,-2.625,-2.205,91
living worms all temperatures,-2.415,-2.205,92
living worms all temperatures,-2.205,-2.205,67
living worms all temperatures,-1.995,-2.205,78
living worms all temperatures,-1.785,-2.205,65
living worms all temperatures,-1.575,-2.205,79
living worms all temperatures,-1.365,-2.205,64
living worms all temperatures,-1.155,-2.205,65
living worms all temperatures,-0.945,-2.205,66
living worms all temperatures,-0.735,-2.205,59
living worms all temperatures,-0.525,-2.205,59
living worms all temperatures,-0.315,-2.205,59
living worms all temperatures,-0.105,-2.205,65
living worms all temperatures,0.105,-2.205,53
living worms all temperatures,0.315,-2.205,50
living worms all temperatures,0.525,-2.205,57
living worms all temperatures,0.735,-2.205,61
living worms all temperatures,0.945,-2.205,56
living worms all temperatures,1.155,-2.205,62
living worms all temperatures,1.365,-2.205,53
living worms all temperatures,1.575,-2.205,79
living worms all temperatures,1.785,-2.205,86
living worms all temperatures,1.995,-2.205,88
living worms all temperatures,2.205,-2.205,72
living worms all temperatures,2.415,-2.205,62
living worms all temperatures,2.625,-2.205,112
living worms all temperatures,2.835,-2.205,148
living worms all temperatures,3.045,-2.205,125
living worms all temperatures,3.255,-2.205,70
living worms all temperatures,-3.465,-1.995,31
living worms all temperatures,-3.255,-1.995,111
living worms all temperatures,-3.045,-1.995,126
living worms all temperatures,-2.835,-1.995,93
living worms all temperatures,-2.625,-1.995,91
living worms all temperatures,-2.415,-1.995,85
living worms all temperatures,-2.205,-1.995,59
living worms all temperatures,-1.995,-1.995,67
living worms all temperatures,-1.785,-1.995,71
living worms all temperatures,-1.575,-1.995,62
living worms all temperatures,-1.365,-1.995,56
living worms all temperatures,-1.155,-1.995,57
living worms all temperatures,-0.945,-1.995,50
living worms all temperatures,-0.735,-1.995,71
living worms all temperatures,-0.525,-1.995,92
living worms all temperatures,-0.315,-1.995,62
living worms all temperatures,-0.105,-1.995,67
living worms all temperatures,0.105,-1.995,64
living worms all temperatures,0.315,-1.995,54
living worms all temperatures,0.525,-1.995,62
living worms all temperatures,0.735,-1.995,68
living worms all temperatures,0.945,-1.995,61
living worms all temperatures,1.155,-1.995,57
living worms all temperatures,1.365,-1.995,44
living worms all temperatures,1.575,-1.995,61
living worms all temperatures,1.785,-1.995,66
living worms all temperatures,1.995,-1.995,78
living worms all temperatures,2.205,-1.995,55
living worms all temperatures,2.415,-1.995,80
living worms all temperatures,2.625,-1.995,85
living worms all temperatures,2.835,-1.995,95
living worms all temperatures,3.045,-1.995,137
living worms all temperatures,3.255,-1.995,121
living worms all temperatures,3.465,-1.995,32
living worms all temperatures,-3.465,-1.785,100
living worms all temperatures,-3.255,-1.785,150
living worms all temperatures,-3.045,-1.785,112
living worms all temperatures,-2.835,-1.785,96
living worms all temperatures,-2.625,-1.785,105
living worms all temperatures,-2.415,-1.785,99
living worms all temperatures,-2.205,-1.785,84
living worms all temperatures,-1.995,-1.785,89
living worms all temperatures,-1.785,-1.785,68
living worms all temperatures,-1.575,-1.785,77
living worms all temperatures,-1.365,-1.785,64
living worms all temperatures,-1.155,-1.785,85
living worms all temperatures,-0.945,-1.785,78
living worms all temperatures,-0.735,-1.785,81
living worms all temperatures,-0.525,-1.785,81
living worms all temperatures,-0.315,-1.785,74
living worms all temperatures,-0.105,-1.785,78
living worms all temperatures,0.105,-1.785,77
living worms all temperatures,0.315,-1.785,82
living worms all temperatures,0.525,-1.785,68
living worms all temperatures,0.735,-1.785,95
living worms all temperatures,0.945,-1.785,64
living worms all temperatures,1.155,-1.785,53
living worms all temperatures,1.365,-1.785,63
living worms all temperatures,1.575,-1.785,59
living worms all temperatures,1.785,-1.785,67
living worms all temperatures,1.995,-1.785,99
living worms all temperatures,2.205,-1.785,76
living worms all temperatures,2.415,-1.785,75
living worms all temperatures,2.625,-1.785,89
living worms all temperatures,2.835,-1.785,117
living worms all temperatures,3.045,-1.785,136
living worms all temperatures,3.255,-1.785,132
living worms all temperatures,3.465,-1.785,104
living worms all temperatures,-3.675,-1.575,36
living worms all temperatures,-3.465,-1.575,108
living worms all temperatures,-3.255,-1.575,90
living worms all temperatures,-3.045,-1.575,64
living worms all temperatures,-2.835,-1.575,85
living worms all temperatures,-2.625,-1.575,77
living worms all temperatures,-2.415,-1.575,67
living worms all temperatures,-2.205,-1.575,45
living worms all temperatures,-1.995,-1.575,58
living worms all temperatures,-1.785,-1.575,50
living worms all temperatures,-1.575,-1.575,68
living worms all temperatures,-1.365,-1.575,72
living worms all temperatures,-1.155,-1.575,57
living worms all temperatures,-0.945,-1.575,61
living worms all temperatures,-0.735,-1.575,45
living worms all temperatures,-0.525,-1.575,75
living worms all temperatures,-0.315,-1.575,45
living worms all temperatures,-0.105,-1.575,58
living worms all temperatures,0.105,-1.575,68
living worms all temperatures,0.315,-1.575,58
living worms all temperatures,0.525,-1.575,53
living worms all temperatures,0.735,-1.575,63
living worms all temperatures,0.945,-1.575,60
living worms all temperatures,1.155,-1.575,61
living worms all temperatures,1.365,-1.575,45
living worms all temperatures,1.575,-1.575,48
living worms all temperatures,1.785,-1.575,51
living worms all temperatures,1.995,-1.575,75
living worms all temperatures,2.205,-1.575,54
living worms all temperatures,2.415,-1.575,57
living worms all temperatures,2.625,-1.575,66
living worms all temperatures,2.835,-1.575,66
living worms all temperatures,3.045,-1.575,103
living worms all temperatures,3.255,-1.575,107
living worms all temperatures,3.465,-1.575,104
living worms all temperatures,3.675,-1.575,52
living worms all temperatures,-3.675,-1.365,76
living worms all temperatures,-3.465,-1.365,128
living worms all temperatures,-3.255,-1.365,95
living worms all temperatures,-3.045,-1.365,59
living worms all temperatures,-2.835,-1.365,76
living worms all temperatures,-2.625,-1.365,62
living worms all temperatures,-2.415,-1.365,61
living worms all temperatures,-2.205,-1.365,55
living worms all temperatures,-1.995,-1.365,66
living worms all temperatures,-1.785,-1.365,59
living worms all temperatures,-1.575,-1.365,61
living worms all temperatures,-1.365,-1.365,45
living worms all temperatures,-1.155,-1.365,38
living worms all temperatures,-0.945,-1.365,57
living worms all temperatures,-0.735,-1.365,60
living worms all temperatures,-0.525,-1.365,54
living worms all temperatures,-0.315,-1.365,50
living worms all temperatures,-0.105,-1.365,57
living worms all temperatures,0.105,-1.365,41
living worms all temperatures,0.315,-1.365,46
living worms all temperatures,0.525,-1.365,54
living worms all temperatures,0.735,-1.365,65
living worms all temperatures,0.945,-1.365,48
living worms all temperatures,1.155,-1.365,45
living worms all temperatures,1.365,-1.365,43
living worms all temperatures,1.575,-1.365,34
living worms all temperatures,1.785,-1.365,43
living worms all temperatures,1.995,-1.365,62
living worms all temperatures,2.205,-1.365,58
living worms all temperatures,2.415,-1.365,62
living worms all temperatures,2.625,-1.365,64
living worms all temperatures,2.835,-1.365,66
living worms all temperatures,3.045,-1.365,96
living worms all temperatures,3.255,-1.365,114
living worms all temperatures,3.465,-1.365,112
living worms all temperatures,3.675,-1.365,88
living worms all temperatures,-3.675,-1.155,109
living worms all temperatures,-3.465,-1.155,126
living worms all temperatures,-3.255,-1.155,78
living worms all temperatures,-3.045,-1.155,76
living worms all temperatures,-2.835,-1.155,87
living worms all temperatures,-2.625,-1.155,76
living worms all temperatures,-2.415,-1.155,55
living worms all temperatures,-2.205,-1.155,65
living worms all temperatures,-1.995,-1.155,63
living worms all temperatures,-1.785,-1.155,72
living worms all temperatures,-1.575,-1.155,60
living worms all temperatures,-1.365,-1.155,64
living worms all temperatures,-1.155,-1.155,49
living worms all temperatures,-0.945,-1.155,70
living worms all temperatures,-0.735,-1.155,60
living worms all temperatures,-0.525,-1.155,77
living worms all temperatures,-0.315,-1.155,56
living worms all temperatures,-0.105,-1.155,39
living worms all temperatures,0.105,-1.155,57
living worms all temperatures,0.315,-1.155,41
living worms all temperatures,0.525,-1.155,53
living worms all temperatures,0.735,-1.155,59
living worms all temperatures,0.945,-1.155,49
living worms all temperatures,1.155,-1.155,48
living worms all temperatures,1.365,-1.155,46
living worms all temperatures,1.575,-1.155,55
living worms all temperatures,1.785,-1.155,49
living worms all temperatures,1.995,-1.155,52
living worms all temperatures,2.205,-1.155,66
living worms all temperatures,2.415,-1.155,53
living worms all temperatures,2.625,-1.155,64
living worms all temperatures,2.835,-1.155,75
living worms all temperatures,3.045,-1.155,81
living worms all temperatures,3.255,-1.155,90
living worms all temperatures,3.465,-1.155,117
living worms all temperatures,3.675,-1.155,112
living worms all temperatures,-3.885,-0.945,49
living worms all temperatures,-3.675,-0.945,109
living worms all temperatures,-3.465,-0.945,67
living worms all temperatures,-3.255,-0.945,94
living worms all temperatures,-3.045,-0.945,84
living worms all temperatures,-2.835,-0.945,90
living worms all temperatures,-2.625,-0.945,73
living worms all temperatures,-2.415,-0.945,61
living worms all temperatures,-2.205,-0.945,75
living worms all temperatures,-1.995,-0.945,57
living worms all temperatures,-1.785,-0.945,57
living worms all temperatures,-1.575,-0.945,53
living worms all temperatures,-1.365,-0.945,49
living worms all temperatures,-1.155,-0.945,41
living worms all temperatures,-0.945,-0.945,45
living worms all temperatures,-0.735,-0.945,50
living worms all temperatures,-0.525,-0.945,71
living worms all temperatures,-0.315,-0.945,47
living worms all temperatures,-0.105,-0.945,46
living worms all temperatures,0.105,-0.945,46
living worms all temperatures,0.315,-0.945,47
