series,temperature_C,tau_theta_min,tau_tr_min,fa_nN,kappa_over_uE,T_star
model,,0.22,6.33922,10,0.2,0.06
model,,0.29,4.33602,10,0.4,0.06
model,,0.22,6.97486,10,0.2,0.08
model,,0.27,8.61258,10,0.2,0.1
model,,0.11,4.33602,10,0.4,0.1
model,,0.26,9.67248,10,0.2,0.15
model,,0.14,9.67248,10,0.25,0.15
model,,0.14,4.33602,10,0.4,0.15
model,,0.22,2.12037,15,0.25,0.08
model,,0.08,4.33602,15,0.4,0.08
model,,0.22,9.67248,15,0.25,0.15
model,,0.17,5.34387,20,0.15,0.06
model,,0.09,3.34423,20,0.25,0.06
model,,0.12,3.78889,20,0.25,0.08
model,,0.08,2.1826,20,0.4,0.08
model,,0.04,2.12405,20,0.65,0.08
model,,0.19,5.66059,20,0.15,0.1
model,,0.15,4.99774,20,0.25,0.1
model,,0.08,2.62014,20,0.4,0.1
model,,0.05,1.84327,20,0.65,0.1
model,,0.18,6.41419,20,0.15,0.15
model,,0.14,5.57869,20,0.25,0.15
model,,0.12,3.39771,20,0.4,0.15
model,,0.08,2.54825,20,0.65,0.15
model,,0.15,5.60597,20,0.25,0.2
model,,0.09,2.91832,20,0.65,0.2
model,,0.05,1.20643,25,0.7,0.1
model,,0.02,1.16226,25,0.8,0.1
model,,0.09,2.11829,25,0.7,0.2
model,,0.06,1.59539,25,0.8,0.2
model,,0.03,1.99792,30,0.25,0.02
model,,0.1,4.2185,30,0.15,0.04
model,,0.05,1.87675,30,0.25,0.04
model,,0.08,2.47621,30,0.25,0.06
model,,0.05,1.54589,30,0.35,0.06
model,,0.04,1.42315,30,0.4,0.06
model,,0.02,1.29341,30,0.5,0.06
model,,0.13,5.68693,30,0.15,0.08
model,,0.08,2.94869,30,0.25,0.08
model,,0.07,2.08083,30,0.35,0.08
model,,0.05,1.50972,30,0.4,0.08
model,,0.04,1.24282,30,0.5,0.08
model,,0.04,1.11938,30,0.65,0.08
model,,0.12,2.80483,30,0.25,0.1
model,,0.08,2.72584,30,0.3,0.1
model,,0.08,2.29572,30,0.35,0.1
model,,0.06,1.58309,30,0.4,0.1
model,,0.05,1.33692,30,0.5,0.1
model,,0.04,1.20643,30,0.65,0.1
model,,0.02,1.16226,30,0.8,0.1
model,,0.13,6.39392,30,0.15,0.15
model,,0.12,4.2924,30,0.25,0.15
model,,0.08,3.11189,30,0.35,0.15
model,,0.08,2.52953,30,0.4,0.15
model,,0.07,1.90205,30,0.5,0.15
model,,0.05,1.6367,30,0.65,0.15
model,,0.12,5.32967,30,0.15,0.2
model,,0.11,4.38803,30,0.3,0.2
model,,0.1,3.28019,30,0.4,0.2
model,,0.08,2.98084,30,0.5,0.2
model,,0.07,2.11829,30,0.65,0.2
model,,0.06,1.59539,30,0.8,0.2
model,,0.04,1.41281,30,1,0.2
model,,0.08,3.96947,30,0.25,0.3
model,,0.11,3.92951,30,0.3,0.3
model,,0.11,3.83253,30,0.5,0.3
model,,0.09,3.0229,30,0.65,0.3
model,,0.07,2.42358,30,0.8,0.3
model,,0.06,1.62334,31,0.414,0.097
model,,0.04,1.34716,40,0.4,0.05
model,,0.07,2.57844,40,0.3,0.1
model,,0.06,1.75812,40,0.4,0.1
model,,0.04,1.24446,40,0.5,0.1
model,,0.03,0.988462,40,0.65,0.1
model,,0.1,4.29917,40,0.3,0.2
model,,0.07,2.39722,40,0.4,0.2
model,,0.07,2.0888,40,0.5,0.2
model,,0.05,1.61993,40,0.65,0.2
model,,0.04,1.33706,40,0.8,0.2
model,,0.03,1.02646,40,1,0.2
model,,0.09,2.89803,40,0.3,0.3
model,,0.08,2.64709,40,0.5,0.3
model,,0.07,2.20145,40,0.65,0.3
model,,0.06,1.91633,40,0.8,0.3
model,,0.05,1.60696,40,1,0.3
model,,0.02,0.838434,50,0.4,0.04
model,,0.04,1.16522,50,0.4,0.05
model,,0.07,1.90939,50,0.25,0.06
model,,0.04,1.2279,50,0.35,0.06
model,,0.03,1.02318,50,0.4,0.06
model,,0.02,0.799081,50,0.5,0.06
model,,0.01,0.743565,50,0.65,0.06
model,,0.08,2.57387,50,0.25,0.08
model,,0.05,1.35554,50,0.35,0.08
model,,0.04,1.1777,50,0.4,0.08
model,,0.03,0.944852,50,0.5,0.08
model,,0.02,0.738875,50,0.65,0.08
model,,0.07,2.15534,50,0.2,0.1
model,,0.08,2.77006,50,0.25,0.1
model,,0.06,2.23531,50,0.3,0.1
model,,0.06,1.91563,50,0.35,0.1
model,,0.05,1.53184,50,0.4,0.1
model,,0.03,1.10903,50,0.5,0.1
model,,0.03,1.057,50,0.6,0.1
model,,0.02,0.738918,50,0.65,0.1
model,,0.01,0.728145,50,0.8,0.1
model,,0.08,3.50486,50,0.25,0.15
model,,0.07,2.5145,50,0.35,0.15
model,,0.06,1.82868,50,0.4,0.15
model,,0.05,1.54823,50,0.5,0.15
model,,0.04,1.07926,50,0.65,0.15
model,,0.07,3.26993,50,0.25,0.2
model,,0.08,2.42041,50,0.35,0.2
model,,0.07,2.427,50,0.4,0.2
model,,0.06,1.87256,50,0.5,0.2
model,,0.05,1.39787,50,0.65,0.2
model,,0.04,1.16726,50,0.8,0.2
model,,0.03,0.815907,50,1,0.2
model,,0.08,2.6284,50,0.25,0.3
model,,0.07,2.51949,50,0.3,0.3
model,,0.08,2.91915,50,0.35,0.3
model,,0.08,2.63889,50,0.4,0.3
model,,0.06,2.3012,50,0.5,0.3
model,,0.06,1.93924,50,0.65,0.3
model,,0.05,1.51271,50,0.8,0.3
model,,0.04,1.21169,50,1,0.3
model,,0.04,1.05461,60,0.4,0.05
model,,0.06,1.68517,60,0.4,0.2
model,,0.02,0.575679,80,0.35,0.02
model,,0.03,0.785532,80,0.35,0.04
model,,0.04,1.20325,80,0.35,0.06
model,,0.02,0.644155,80,0.5,0.06
model,,0.01,0.475027,80,0.65,0.06
model,,0.04,1.1938,80,0.4,0.08
model,,0.03,0.810113,80,0.5,0.08
model,,0.02,0.54915,80,0.65,0.08
model,,0.04,1.20979,80,0.4,0.1
model,,0.02,0.653125,80,0.65,0.1
model,,0.05,1.79237,80,0.4,0.15
model,,0.04,1.34449,80,0.5,0.15
model,,0.03,0.927986,80,0.65,0.15
model,,0.04,1.22368,80,0.65,0.2
model,,0.11,2.62699,100,0.15,0.02
model,,0.05,1.17674,100,0.25,0.02
model,,0.02,0.597244,100,0.35,0.02
model,,0.01,0.469918,100,0.4,0.02
model,,0.01,0.361245,100,0.5,0.02
model,,0.09,2.41276,100,0.15,0.04
model,,0.06,1.53088,100,0.25,0.04
model,,0.03,0.849586,100,0.35,0.04
model,,0.02,0.692478,100,0.4,0.04
model,,0.01,0.496848,100,0.5,0.04
model,,0.09,3.72806,100,0.15,0.06
model,,0.07,2.11504,100,0.25,0.06
model,,0.04,1.45237,100,0.35,0.06
model,,0.02,0.680578,100,0.5,0.06
model,,0.01,0.438313,100,0.65,0.06
model,,0.09,3.02169,100,0.15,0.08
model,,0.06,2.5181,100,0.25,0.08
model,,0.04,1.02993,100,0.4,0.08
model,,0.03,0.858108,100,0.5,0.08
model,,0.02,0.519272,100,0.65,0.08
model,,0.04,0.82293,100,0.2,0.1
model,,0.07,2.12658,100,0.25,0.1
model,,0.04,1.28302,100,0.4,0.1
model,,0.03,1.00212,100,0.5,0.1
model,,0.02,0.628007,100,0.65,0.1
model,,0.07,2.41912,100,0.15,0.15
model,,0.06,1.66598,100,0.25,0.15
model,,0.05,1.43533,100,0.4,0.15
model,,0.04,1.23272,100,0.5,0.15
model,,0.03,0.976761,100,0.65,0.15
model,,0.06,2.26432,100,0.15,0.2
model,,0.05,2.23175,100,0.25,0.2
model,,0.05,1.68043,100,0.4,0.2
model,,0.03,1.32715,100,0.65,0.2
model,,0.04,1.50992,117.8,0.4,0.103
model,,0.05,1.14256,120,0.25,0.02
model,,0.02,0.532527,120,0.4,0.02
model,,0.01,0.343483,120,0.5,0.02
model,,0.06,1.42897,120,0.25,0.04
model,,0.03,0.826978,120,0.4,0.04
model,,0.02,0.531565,120,0.5,0.04
model,,0.01,0.345046,120,0.65,0.04
model,,0.06,2.40062,120,0.25,0.06
model,,0.04,0.855747,120,0.4,0.06
model,,0.02,0.722459,120,0.5,0.06
model,,0.01,0.476546,120,0.65,0.06
model,,0.04,1.31181,120,0.4,0.08
model,,0.03,0.841462,120,0.5,0.08
model,,0.02,0.548457,120,0.65,0.08
model,,0.04,1.57583,120,0.4,0.1
model,,0.03,0.995161,120,0.5,0.1
model,,0.02,0.686477,120,0.65,0.1
model,,0.05,1.71688,120,0.4,0.15
model,,0.03,1.06208,120,0.65,0.15
model,,0.03,1.02273,120,0.65,0.2
model,,0.02,0.522546,150,0.65,0.06
model,,0.02,0.592576,150,0.65,0.08
model,,0.02,0.79612,150,0.65,0.1
model,,0.03,0.625635,200,0.4,0.1
model,,0.03,0.573852,200,0.6,0.1
living worms,10,0.075,3.0917,,,
living worms,20,0.095,0.76,,,
living worms,30,0.062,2.1983,,,
