series,tau_d_min,temperature_C,tau_tr_min,fa_nN,kappa_over_uE,T_star
model,0.54,,6.33922,10,0.2,0.06
model,1.04,,4.33602,10,0.4,0.06
model,0.56,,6.97486,10,0.2,0.08
model,0.83,,8.61258,10,0.2,0.1
model,0.41,,4.33602,10,0.4,0.1
model,6.2,,9.67248,10,0.2,0.15
model,0.5,,9.67248,10,0.25,0.15
model,0.51,,4.33602,10,0.4,0.15
model,1.69,,2.12037,15,0.25,0.08
model,0.26,,4.33602,15,0.4,0.08
model,1.67,,9.67248,15,0.25,0.15
model,1.79,,5.34387,20,0.15,0.06
model,0.23,,3.34423,20,0.25,0.06
model,0.28,,3.78889,20,0.25,0.08
model,0.2,,2.1826,20,0.4,0.08
model,0.13,,2.12405,20,0.65,0.08
model,1.86,,5.66059,20,0.15,0.1
model,2.15,,4.99774,20,0.25,0.1
model,0.29,,2.62014,20,0.4,0.1
model,0.16,,1.84327,20,0.65,0.1
model,4.6,,6.41419,20,0.15,0.15
model,2.52,,5.57869,20,0.25,0.15
model,0.31,,3.39771,20,0.4,0.15
model,0.23,,2.54825,20,0.65,0.15
model,1.43,,5.60597,20,0.25,0.2
model,0.26,,2.91832,20,0.65,0.2
model,0.16,,1.20643,25,0.7,0.1
model,0.12,,1.16226,25,0.8,0.1
model,0.26,,2.11829,25,0.7,0.2
model,0.17,,1.59539,25,0.8,0.2
model,0.09,,1.99792,30,0.25,0.02
model,0.26,,4.2185,30,0.15,0.04
model,0.12,,1.87675,30,0.25,0.04
model,0.2,,2.47621,30,0.25,0.06
model,0.16,,1.54589,30,0.35,0.06
model,0.12,,1.42315,30,0.4,0.06
model,0.13,,1.29341,30,0.5,0.06
model,1.12,,5.68693,30,0.15,0.08
model,1.95,,2.94869,30,0.25,0.08
model,0.16,,2.08083,30,0.35,0.08
model,4.17,,1.50972,30,0.4,0.08
model,0.13,,1.24282,30,0.5,0.08
model,0.13,,1.11938,30,0.65,0.08
model,3.81,,2.80483,30,0.25,0.1
model,0.89,,2.72584,30,0.3,0.1
model,0.2,,2.29572,30,0.35,0.1
model,1.72,,1.58309,30,0.4,0.1
model,0.16,,1.33692,30,0.5,0.1
model,0.12,,1.20643,30,0.65,0.1
model,0.12,,1.16226,30,0.8,0.1
model,1.05,,6.39392,30,0.15,0.15
model,1.76,,4.2924,30,0.25,0.15
model,1.76,,3.11189,30,0.35,0.15
model,0.82,,2.52953,30,0.4,0.15
model,0.2,,1.90205,30,0.5,0.15
model,0.15,,1.6367,30,0.65,0.15
model,0.61,,5.32967,30,0.15,0.2
model,6.07,,4.38803,30,0.3,0.2
model,0.63,,3.28019,30,0.4,0.2
model,2.73,,2.98084,30,0.5,0.2
model,2.21,,2.11829,30,0.65,0.2
model,0.17,,1.59539,30,0.8,0.2
model,0.14,,1.41281,30,1,0.2
model,1.46,,3.96947,30,0.25,0.3
model,0.64,,3.92951,30,0.3,0.3
model,0.87,,3.83253,30,0.5,0.3
model,0.25,,3.0229,30,0.65,0.3
model,4.49,,2.42358,30,0.8,0.3
model,1.72,,1.62334,31,0.414,0.097
model,0.1,,1.34716,40,0.4,0.05
model,0.53,,2.57844,40,0.3,0.1
model,0.18,,1.75812,40,0.4,0.1
model,0.13,,1.24446,40,0.5,0.1
model,0.1,,0.988462,40,0.65,0.1
model,3.33,,4.29917,40,0.3,0.2
model,0.83,,2.39722,40,0.4,0.2
model,2.34,,2.0888,40,0.5,0.2
model,0.18,,1.61993,40,0.65,0.2
model,0.13,,1.33706,40,0.8,0.2
model,0.11,,1.02646,40,1,0.2
model,0.71,,2.89803,40,0.3,0.3
model,1.42,,2.64709,40,0.5,0.3
model,0.59,,2.20145,40,0.65,0.3
model,0.17,,1.91633,40,0.8,0.3
model,0.13,,1.60696,40,1,0.3
model,0.07,,0.838434,50,0.4,0.04
model,0.1,,1.16522,50,0.4,0.05
model,1.43,,1.90939,50,0.25,0.06
model,0.11,,1.2279,50,0.35,0.06
model,0.08,,1.02318,50,0.4,0.06
model,0.08,,0.799081,50,0.5,0.06
model,0.07,,0.743565,50,0.65,0.06
model,1.37,,2.57387,50,0.25,0.08
model,2.17,,1.35554,50,0.35,0.08
model,2.18,,1.1777,50,0.4,0.08
model,0.08,,0.944852,50,0.5,0.08
model,0.08,,0.738875,50,0.65,0.08
model,0.39,,2.15534,50,0.2,0.1
model,1.28,,2.77006,50,0.25,0.1
model,0.84,,2.23531,50,0.3,0.1
model,1.22,,1.91563,50,0.35,0.1
model,3.27,,1.53184,50,0.4,0.1
model,0.1,,1.10903,50,0.5,0.1
model,2.44,,1.057,50,0.6,0.1
model,0.08,,0.738918,50,0.65,0.1
model,0.07,,0.728145,50,0.8,0.1
model,0.39,,3.50486,50,0.25,0.15
model,0.23,,2.5145,50,0.35,0.15
model,1.28,,1.82868,50,0.4,0.15
model,0.56,,1.54823,50,0.5,0.15
model,0.08,,1.07926,50,0.65,0.15
model,0.37,,3.26993,50,0.25,0.2
model,0.76,,2.42041,50,0.35,0.2
model,1.26,,2.427,50,0.4,0.2
model,0.26,,1.87256,50,0.5,0.2
model,0.82,,1.39787,50,0.65,0.2
model,0.12,,1.16726,50,0.8,0.2
model,0.08,,0.815907,50,1,0.2
model,0.44,,2.6284,50,0.25,0.3
model,0.58,,2.51949,50,0.3,0.3
model,1.33,,2.91915,50,0.35,0.3
model,0.83,,2.63889,50,0.4,0.3
model,2.38,,2.3012,50,0.5,0.3
model,0.56,,1.93924,50,0.65,0.3
model,1.19,,1.51271,50,0.8,0.3
model,0.1,,1.21169,50,1,0.3
model,0.09,,1.05461,60,0.4,0.05
model,0.91,,1.68517,60,0.4,0.2
model,0.05,,0.575679,80,0.35,0.02
model,0.05,,0.785532,80,0.35,0.04
model,0.37,,1.20325,80,0.35,0.06
model,0.06,,0.644155,80,0.5,0.06
model,0.05,,0.475027,80,0.65,0.06
model,0.52,,1.1938,80,0.4,0.08
model,0.07,,0.810113,80,0.5,0.08
model,0.05,,0.54915,80,0.65,0.08
model,0.42,,1.20979,80,0.4,0.1
model,0.05,,0.653125,80,0.65,0.1
model,1.26,,1.79237,80,0.4,0.15
model,1.1,,1.34449,80,0.5,0.15
model,2.16,,0.927986,80,0.65,0.15
model,0.52,,1.22368,80,0.65,0.2
model,0.96,,2.62699,100,0.15,0.02
model,0.2,,1.17674,100,0.25,0.02
model,0.05,,0.597244,100,0.35,0.02
model,0.04,,0.469918,100,0.4,0.02
model,0.04,,0.361245,100,0.5,0.02
model,3.47,,2.41276,100,0.15,0.04
model,1.74,,1.53088,100,0.25,0.04
model,1.03,,0.849586,100,0.35,0.04
model,0.06,,0.692478,100,0.4,0.04
model,0.04,,0.496848,100,0.5,0.04
model,0.53,,3.72806,100,0.15,0.06
model,0.37,,2.11504,100,0.25,0.06
model,2.07,,1.45237,100,0.35,0.06
model,0.05,,0.680578,100,0.5,0.06
model,0.04,,0.438313,100,0.65,0.06
model,0.74,,3.02169,100,0.15,0.08
model,0.86,,2.5181,100,0.25,0.08
model,1.03,,1.02993,100,0.4,0.08
model,1.34,,0.858108,100,0.5,0.08
model,0.05,,0.519272,100,0.65,0.08
model,0.5,,0.82293,100,0.2,0.1
model,0.38,,2.12658,100,0.25,0.1
model,0.75,,1.28302,100,0.4,0.1
model,1.56,,1.00212,100,0.5,0.1
model,0.05,,0.628007,100,0.65,0.1
model,0.37,,2.41912,100,0.15,0.15
model,1.39,,1.66598,100,0.25,0.15
model,1.6,,1.43533,100,0.4,0.15
model,0.41,,1.23272,100,0.5,0.15
model,0.07,,0.976761,100,0.65,0.15
model,1.18,,2.26432,100,0.15,0.2
model,0.22,,2.23175,100,0.25,0.2
model,0.27,,1.68043,100,0.4,0.2
model,1.34,,1.32715,100,0.65,0.2
model,0.53,,1.50992,117.8,0.4,0.103
model,0.47,,1.14256,120,0.25,0.02
model,0.04,,0.532527,120,0.4,0.02
model,0.04,,0.343483,120,0.5,0.02
model,0.45,,1.42897,120,0.25,0.04
model,1.55,,0.826978,120,0.4,0.04
model,0.04,,0.531565,120,0.5,0.04
model,0.04,,0.345046,120,0.65,0.04
model,0.85,,2.40062,120,0.25,0.06
model,0.18,,0.855747,120,0.4,0.06
model,1,,0.722459,120,0.5,0.06
model,0.04,,0.476546,120,0.65,0.06
model,0.26,,1.31181,120,0.4,0.08
model,0.06,,0.841462,120,0.5,0.08
model,0.05,,0.548457,120,0.65,0.08
model,0.26,,1.57583,120,0.4,0.1
model,0.09,,0.995161,120,0.5,0.1
model,0.06,,0.686477,120,0.65,0.1
model,2.12,,1.71688,120,0.4,0.15
model,0.08,,1.06208,120,0.65,0.15
model,0.1,,1.02273,120,0.65,0.2
model,0.04,,0.522546,150,0.65,0.06
model,0.43,,0.592576,150,0.65,0.08
model,0.36,,0.79612,150,0.65,0.1
model,0.65,,0.625635,200,0.4,0.1
model,1.12,,0.573852,200,0.6,0.1
living worms,0.947088,10,3.0917,,,
living worms,0.728004,20,0.76,,,
living worms,0.665133,30,2.1983,,,
