series,temperature_C,fa_nN,kappa_over_uE,T_star,pe_number,tau_tr_over_tau_tr_inf
model,,10,0.2,0.06,0.407407,1.35108
model,,10,0.4,0.06,0.278846,0.92414
model,,10,0.2,0.08,0.392857,1.48656
model,,10,0.2,0.1,0.325301,1.83561
model,,10,0.4,0.1,0.268293,0.92414
model,,10,0.2,0.15,0.0419355,2.06151
model,,10,0.25,0.15,0.28,2.06151
model,,10,0.4,0.15,0.27451,0.92414
model,,15,0.25,0.08,0.130178,0.451916
model,,15,0.4,0.08,0.307692,0.92414
model,,15,0.25,0.15,0.131737,2.06151
model,,20,0.15,0.06,0.0949721,1.13894
model,,20,0.25,0.06,0.391304,0.712759
model,,20,0.25,0.08,0.428571,0.80753
model,,20,0.4,0.08,0.4,0.465179
model,,20,0.65,0.08,0.307692,0.452701
model,,20,0.15,0.1,0.102151,1.20645
model,,20,0.25,0.1,0.0697674,1.06517
model,,20,0.4,0.1,0.275862,0.558434
model,,20,0.65,0.1,0.3125,0.392859
model,,20,0.15,0.15,0.0391304,1.36706
model,,20,0.25,0.15,0.0555556,1.18899
model,,20,0.4,0.15,0.387097,0.724156
model,,20,0.65,0.15,0.347826,0.543111
model,,20,0.25,0.2,0.104895,1.19481
model,,20,0.65,0.2,0.346154,0.621985
model,,25,0.7,0.1,0.3125,0.257128
model,,25,0.8,0.1,0.166667,0.247714
model,,25,0.7,0.2,0.346154,0.451473
model,,25,0.8,0.2,0.352941,0.340027
model,,30,0.25,0.02,0.333333,0.425818
model,,30,0.15,0.04,0.384615,0.899093
model,,30,0.25,0.04,0.416667,0.399993
model,,30,0.25,0.06,0.4,0.527756
model,,30,0.35,0.06,0.3125,0.329477
model,,30,0.4,0.06,0.333333,0.303317
model,,30,0.5,0.06,0.153846,0.275667
model,,30,0.15,0.08,0.116071,1.21206
model,,30,0.25,0.08,0.0410256,0.628457
model,,30,0.35,0.08,0.4375,0.443489
model,,30,0.4,0.08,0.0119904,0.321768
model,,30,0.5,0.08,0.307692,0.264883
model,,30,0.65,0.08,0.307692,0.238575
model,,30,0.25,0.1,0.0314961,0.597796
model,,30,0.3,0.1,0.0898876,0.580961
model,,30,0.35,0.1,0.4,0.489288
model,,30,0.4,0.1,0.0348837,0.337407
model,,30,0.5,0.1,0.3125,0.284939
model,,30,0.65,0.1,0.333333,0.257128
model,,30,0.8,0.1,0.166667,0.247714
model,,30,0.15,0.15,0.12381,1.36274
model,,30,0.25,0.15,0.0681818,0.914843
model,,30,0.35,0.15,0.0454545,0.663239
model,,30,0.4,0.15,0.097561,0.539121
model,,30,0.5,0.15,0.35,0.405385
model,,30,0.65,0.15,0.333333,0.348831
model,,30,0.15,0.2,0.196721,1.13592
model,,30,0.3,0.2,0.0181219,0.935225
model,,30,0.4,0.2,0.15873,0.69911
model,,30,0.5,0.2,0.029304,0.635309
model,,30,0.65,0.2,0.0316742,0.451473
model,,30,0.8,0.2,0.352941,0.340027
model,,30,1,0.2,0.285714,0.301115
model,,30,0.25,0.3,0.0547945,0.846017
model,,30,0.3,0.3,0.171875,0.8375
model,,30,0.5,0.3,0.126437,0.816831
model,,30,0.65,0.3,0.36,0.644274
model,,30,0.8,0.3,0.0155902,0.516539
model,,31,0.414,0.097,0.0348837,0.626363
model,,40,0.4,0.05,0.4,0.519799
model,,40,0.3,0.1,0.132075,0.994887
model,,40,0.4,0.1,0.333333,0.678365
model,,40,0.5,0.1,0.307692,0.480174
model,,40,0.65,0.1,0.3,0.381396
model,,40,0.3,0.2,0.03003,1.65883
model,,40,0.4,0.2,0.0843373,0.924963
model,,40,0.5,0.2,0.0299145,0.80596
model,,40,0.65,0.2,0.277778,0.625046
model,,40,0.8,0.2,0.307692,0.515902
model,,40,1,0.2,0.272727,0.396058
model,,40,0.3,0.3,0.126761,1.1182
model,,40,0.5,0.3,0.056338,1.02138
model,,40,0.65,0.3,0.118644,0.849426
model,,40,0.8,0.3,0.352941,0.739413
model,,40,1,0.3,0.384615,0.620043
model,,50,0.4,0.04,0.285714,0.39044
model,,50,0.4,0.05,0.4,0.542618
model,,50,0.25,0.06,0.048951,0.889162
model,,50,0.35,0.06,0.363636,0.571805
model,,50,0.4,0.06,0.375,0.476472
model,,50,0.5,0.06,0.25,0.372115
model,,50,0.65,0.06,0.142857,0.346262
model,,50,0.25,0.08,0.0583942,1.19859
model,,50,0.35,0.08,0.0230415,0.631244
model,,50,0.4,0.08,0.0183486,0.548428
model,,50,0.5,0.08,0.375,0.439997
model,,50,0.65,0.08,0.25,0.344078
model,,50,0.2,0.1,0.179487,1.0037
model,,50,0.25,0.1,0.0625,1.28996
model,,50,0.3,0.1,0.0714286,1.04093
model,,50,0.35,0.1,0.0491803,0.892069
model,,50,0.4,0.1,0.0152905,0.713342
model,,50,0.5,0.1,0.3,0.51645
model,,50,0.6,0.1,0.0122951,0.49222
model,,50,0.65,0.1,0.25,0.344098
model,,50,0.8,0.1,0.142857,0.339081
model,,50,0.25,0.15,0.205128,1.63214
model,,50,0.35,0.15,0.304348,1.17095
model,,50,0.4,0.15,0.046875,0.851578
model,,50,0.5,0.15,0.0892857,0.720976
model,,50,0.65,0.15,0.5,0.50259
model,,50,0.25,0.2,0.189189,1.52273
model,,50,0.35,0.2,0.105263,1.12713
model,,50,0.4,0.2,0.0555556,1.1302
model,,50,0.5,0.2,0.230769,0.872011
model,,50,0.65,0.2,0.0609756,0.650958
model,,50,0.8,0.2,0.333333,0.543569
model,,50,1,0.2,0.375,0.37995
model,,50,0.25,0.3,0.181818,1.22399
model,,50,0.3,0.3,0.12069,1.17327
model,,50,0.35,0.3,0.0601504,1.35938
model,,50,0.4,0.3,0.0963855,1.22887
model,,50,0.5,0.3,0.0252101,1.07162
model,,50,0.65,0.3,0.107143,0.903063
model,,50,0.8,0.3,0.0420168,0.704435
model,,50,1,0.3,0.4,0.564258
model,,60,0.4,0.05,0.444444,0.633159
model,,60,0.4,0.2,0.0659341,1.01173
model,,80,0.35,0.02,0.4,0.345622
model,,80,0.35,0.04,0.6,0.471612
model,,80,0.35,0.06,0.108108,0.722396
model,,80,0.5,0.06,0.333333,0.386733
model,,80,0.65,0.06,0.2,0.285193
model,,80,0.4,0.08,0.0769231,0.716726
model,,80,0.5,0.08,0.428571,0.48637
model,,80,0.65,0.08,0.4,0.329695
model,,80,0.4,0.1,0.0952381,0.726326
model,,80,0.65,0.1,0.4,0.392119
model,,80,0.4,0.15,0.0396825,1.07609
model,,80,0.5,0.15,0.0363636,0.807195
model,,80,0.65,0.15,0.0138889,0.557138
model,,80,0.65,0.2,0.0769231,0.734667
model,,100,0.15,0.02,0.114583,1.57717
model,,100,0.25,0.02,0.25,0.706484
model,,100,0.35,0.02,0.4,0.358569
model,,100,0.4,0.02,0.25,0.282126
model,,100,0.5,0.02,0.25,0.216882
model,,100,0.15,0.04,0.0259366,1.44855
model,,100,0.25,0.04,0.0344828,0.919096
model,,100,0.35,0.04,0.0291262,0.510068
model,,100,0.4,0.04,0.333333,0.415745
model,,100,0.5,0.04,0.25,0.298294
model,,100,0.15,0.06,0.169811,2.23823
model,,100,0.25,0.06,0.189189,1.26981
model,,100,0.35,0.06,0.0193237,0.871961
model,,100,0.5,0.06,0.4,0.408601
model,,100,0.65,0.06,0.25,0.263151
model,,100,0.15,0.08,0.121622,1.81414
model,,100,0.25,0.08,0.0697674,1.5118
