series,Rg_over_lc,Re_over_lc,position_class
living worms,0.113362,0.149706,0
living worms,0.0861443,0.201514,0
living worms,0.0788314,0.173607,0
living worms,0.0966251,0.0420516,0
living worms,0.0788317,0.189577,0
living worms,0.0943783,0.244916,0
living worms,0.0854214,0.226615,0
living worms,0.0725675,0.17534,0
living worms,0.0992594,0.18417,0
living worms,0.093495,0.274752,0
living worms,0.0954175,0.117293,0
living worms,0.112717,0.0261262,0
living worms,0.102568,0.0854485,0
living worms,0.0854802,0.173,0
living worms,0.0758573,0.166754,0
living worms,0.110165,0.285517,0
living worms,0.0956996,0.166016,0
living worms,0.0824938,0.172872,0
living worms,0.0998191,0.287212,0
living worms,0.122367,0.287052,0
living worms,0.115734,0.2491,0
living worms,0.0882382,0.146934,0
living worms,0.0709311,0.127895,0
living worms,0.105332,0.30019,0
living worms,0.0989284,0.204372,0
living worms,0.0940822,0.236837,0
living worms,0.0956835,0.0353333,0
living worms,0.0656262,0.205292,0
living worms,0.0844319,0.295479,0
living worms,0.0711932,0.226455,0
living worms,0.0922772,0.234103,0
living worms,0.084512,0.25802,0
living worms,0.104082,0.333127,0
living worms,0.0723082,0.21469,0
living worms,0.107205,0.286667,0
living worms,0.0929977,0.00594699,0
living worms,0.0913006,0.237601,0
living worms,0.0967958,0.329884,0
living worms,0.119666,0.0603114,0
living worms,0.135136,0.0906306,0
living worms,0.124674,0.324479,0
living worms,0.106858,0.315566,0
living worms,0.118827,0.325961,0
living worms,0.0720129,0.200622,0
living worms,0.0818716,0.00851479,0
living worms,0.107622,0.212375,0
living worms,0.114666,0.234443,0
living worms,0.106976,0.258321,0
living worms,0.0677966,0.191978,0
living worms,0.0764728,0.166356,0
living worms,0.0776922,0.12901,0
living worms,0.129743,0.143482,0
living worms,0.106866,0.0126155,0
living worms,0.059095,0.118828,0
living worms,0.103875,0.0994588,0
living worms,0.10978,0.222425,0
living worms,0.0860057,0.237195,0
living worms,0.112409,0.00678061,0
living worms,0.111334,0.0665027,0
living worms,0.0957297,0.253948,0
living worms,0.0999615,0.183588,0
living worms,0.0754487,0.199875,0
living worms,0.0798762,0.0940302,0
living worms,0.0952325,0.273293,0
living worms,0.0760262,0.234182,0
living worms,0.105534,0.271241,0
living worms,0.0941601,0.233956,0
living worms,0.0975106,0.26737,0
living worms,0.084232,0.266655,0
living worms,0.0951808,0.154879,0
living worms,0.0892911,0.130895,0
living worms,0.110126,0.0721157,0
living worms,0.0817698,0.231417,0
living worms,0.079271,0.187919,0
living worms,0.0867057,0.0327084,0
living worms,0.10948,0.274094,0
living worms,0.0812992,0.198357,0
living worms,0.0688337,0.173352,0
living worms,0.0887996,0.148443,0
living worms,0.0706121,0.140537,0
living worms,0.10681,0.158295,0
living worms,0.0866128,0.254337,0
living worms,0.0634936,0.186346,0
living worms,0.0781063,0.262938,0
living worms,0.10214,0.0977371,0
living worms,0.0937953,0.180543,0
living worms,0.103188,0.132078,0
living worms,0.0907558,0.172381,0
living worms,0.105462,0.244941,0
living worms,0.0635551,0.0841557,0
living worms,0.0795512,0.0295261,0
living worms,0.0976688,0.258219,0
