panel,series,Rg_over_lc,Re_over_lc,position_class
10 C,model,0.0737346,0.168959,0
10 C,model,0.0722575,0.0760861,0
10 C,model,0.073418,0.140402,0
10 C,model,0.0772102,0.114167,0
10 C,model,0.0759679,0.0436618,0
10 C,model,0.0761733,0.156218,0
10 C,model,0.0818891,0.0740016,0
10 C,model,0.103856,0.313688,0
10 C,model,0.0962475,0.223885,0
10 C,model,0.0791227,0.255717,0
10 C,model,0.0736482,0.146067,0
10 C,model,0.0699192,0.0208182,0
10 C,model,0.0732837,0.153684,0
10 C,model,0.076814,0.131162,0
10 C,model,0.0764924,0.04334,0
10 C,model,0.0795924,0.158958,0
10 C,model,0.0833156,0.080157,0
10 C,model,0.106174,0.288611,0
10 C,model,0.0998693,0.264519,0
10 C,model,0.084359,0.257594,0
10 C,model,0.0739936,0.1402,0
10 C,model,0.0785113,0.0679513,0
10 C,model,0.0717407,0.155749,0
10 C,model,0.078413,0.122047,0
10 C,model,0.075258,0.0677699,0
10 C,model,0.0796475,0.141496,0
10 C,model,0.0796369,0.0588805,0
10 C,model,0.105235,0.252597,0
10 C,model,0.0947984,0.19891,0
10 C,model,0.0865303,0.228557,0
10 C,model,0.0758179,0.144649,0
10 C,model,0.0814301,0.131131,0
10 C,model,0.0722631,0.158621,0
10 C,model,0.0808444,0.147316,0
10 C,model,0.083548,0.161082,0
10 C,model,0.0821733,0.150687,0
10 C,model,0.0854722,0.0616741,0
10 C,model,0.105975,0.273525,0
10 C,model,0.0884113,0.2168,0
10 C,model,0.0880324,0.206307,0
10 C,model,0.0816335,0.158684,0
10 C,model,0.0860881,0.173139,0
10 C,model,0.0713732,0.16446,0
10 C,model,0.0790229,0.130082,0
10 C,model,0.0860755,0.207587,0
10 C,model,0.0806122,0.0887859,0
10 C,model,0.0905802,0.0754847,0
10 C,model,0.103894,0.231165,0
10 C,model,0.0917086,0.212441,0
10 C,model,0.0999977,0.184106,0
10 C,model,0.0825627,0.122098,0
10 C,model,0.0904846,0.212904,0
10 C,model,0.0738467,0.172107,0
10 C,model,0.0768934,0.150265,0
10 C,model,0.0853559,0.2265,0
10 C,model,0.081711,0.0851808,0
10 C,model,0.0871218,0.0600082,0
10 C,model,0.110479,0.22706,0
10 C,model,0.0936125,0.217811,0
10 C,model,0.0989711,0.10712,0
10 C,model,0.0877186,0.18008,0
10 C,model,0.0957368,0.261463,0
10 C,model,0.0739513,0.147304,0
10 C,model,0.0832728,0.203981,0
10 C,model,0.0883512,0.28747,0
10 C,model,0.0858859,0.089442,0
10 C,model,0.0874261,0.0286238,0
10 C,model,0.108275,0.15655,0
10 C,model,0.0865054,0.197941,0
10 C,model,0.104932,0.039453,0
10 C,model,0.0882701,0.114727,0
10 C,model,0.0965279,0.200034,0
10 C,model,0.0784369,0.159802,0
10 C,model,0.0935559,0.213661,0
10 C,model,0.087345,0.264908,0
10 C,model,0.086409,0.150174,0
10 C,model,0.0870618,0.033144,0
10 C,model,0.108113,0.143118,0
10 C,model,0.0848511,0.232013,0
10 C,model,0.103,0.0290936,0
10 C,model,0.0906659,0.143731,0
10 C,model,0.0846936,0.177804,0
10 C,model,0.0769764,0.165651,0
10 C,model,0.0977722,0.220637,0
10 C,model,0.0929987,0.254585,0
10 C,model,0.0871062,0.184382,0
10 C,model,0.0963892,0.111972,0
10 C,model,0.105834,0.0751434,0
10 C,model,0.0823275,0.193621,0
10 C,model,0.114432,0.0804098,0
10 C,model,0.0858352,0.181512,0
10 C,model,0.0868247,0.153073,0
10 C,model,0.073382,0.174328,0
10 C,model,0.0992078,0.15854,0
10 C,model,0.0941392,0.252175,0
10 C,model,0.0838584,0.167359,0
10 C,model,0.102139,0.141794,0
10 C,model,0.102975,0.0794386,0
10 C,model,0.0805634,0.194959,0
10 C,model,0.117244,0.121222,0
10 C,model,0.0866401,0.20893,0
10 C,model,0.0839946,0.192324,0
10 C,model,0.0736072,0.137836,0
10 C,model,0.100189,0.171499,0
10 C,model,0.0896923,0.223987,0
10 C,model,0.0862614,0.144017,0
10 C,model,0.102208,0.101915,0
10 C,model,0.102476,0.0919371,0
10 C,model,0.0817412,0.168693,0
10 C,model,0.108584,0.148463,0
10 C,model,0.0801509,0.227801,0
10 C,model,0.0815721,0.182989,0
10 C,model,0.0773767,0.18923,0
10 C,model,0.0982409,0.139656,0
10 C,model,0.0912823,0.212204,0
10 C,model,0.08367,0.121441,0
10 C,model,0.103196,0.12092,0
10 C,model,0.102489,0.0925736,0
10 C,model,0.0859525,0.0986183,0
10 C,model,0.108933,0.153823,0
10 C,model,0.0762541,0.168074,0
10 C,model,0.0841146,0.18779,0
10 C,model,0.0775772,0.18201,0
10 C,model,0.104423,0.0493708,0
10 C,model,0.0934387,0.175544,0
10 C,model,0.0819884,0.109387,0
10 C,model,0.109327,0.154488,0
10 C,model,0.10292,0.155111,0
10 C,model,0.0872056,0.0649803,0
10 C,model,0.111927,0.239383,0
10 C,model,0.0804664,0.177647,0
10 C,model,0.0744444,0.121651,0
10 C,model,0.08113,0.180572,0
10 C,model,0.108652,0.0702486,0
10 C,model,0.0951026,0.139024,0
10 C,model,0.0775051,0.110831,0
10 C,model,0.107369,0.117548,0
10 C,model,0.100211,0.148998,0
10 C,model,0.0911282,0.0497646,0
10 C,model,0.112204,0.207141,0
10 C,model,0.0838888,0.108728,0
10 C,model,0.0779744,0.0747877,0
10 C,model,0.0892465,0.202814,0
10 C,model,0.115291,0.122243,0
