panel,series,contour_length_mm,tau_tr_min
10 C,living worms,19.9741,8.1
10 C,living worms,19.9741,2.5
10 C,living worms,19.9741,0.2
10 C,living worms,19.9741,0.366667
10 C,living worms,19.9741,1.7
10 C,living worms,19.9741,0.233333
10 C,living worms,19.9741,0.3
10 C,living worms,19.9741,1.1
10 C,living worms,19.9741,2.3
10 C,living worms,19.9741,4.36667
10 C,living worms,19.9741,3.16667
10 C,living worms,19.9741,8.8
10 C,living worms,19.9741,0.366667
10 C,living worms,19.9741,3.5
10 C,living worms,19.9741,5
10 C,living worms,19.9741,10
10 C,living worms,19.9741,0.3
10 C,living worms,19.9741,3.7
10 C,living worms,19.9741,4.36667
10 C,living worms,19.9741,0.233333
10 C,living worms,19.9741,1.53333
10 C,living worms,19.9741,2.8
10 C,living worms,19.9741,0.4
10 C,living worms,19.9741,5.43333
10 C,living worms,19.9741,1.23333
10 C,living worms,19.9741,1.3
10 C,living worms,19.9741,3.4
10 C,living worms,19.9741,2.3
10 C,living worms,19.9741,1.56667
10 C,living worms,19.9741,5.23333
10 C,living worms,19.9741,6.1
10 C,living worms,19.9741,3.8
10 C,living worms,19.9741,0.166667
10 C,living worms,19.9741,1
10 C,living worms,19.9741,0.366667
10 C,living worms,19.9741,6.33333
10 C,living worms,19.9741,2.76667
10 C,living worms,19.9741,1.1
10 C,living worms,21.7161,0.333333
10 C,living worms,21.7161,1.73333
10 C,living worms,21.7161,4.5
10 C,living worms,21.7161,0.2
10 C,living worms,21.7161,0.233333
10 C,living worms,21.7161,0.7
10 C,living worms,21.7161,0.9
10 C,living worms,21.7161,1.83333
10 C,living worms,21.7161,0.5
10 C,living worms,21.7161,9.73333
10 C,living worms,21.7161,0.166667
10 C,living worms,21.7161,0.4
10 C,living worms,21.7161,0.533333
10 C,living worms,21.7161,1.23333
10 C,living worms,21.7161,8.9
10 C,living worms,21.7161,1.7
10 C,living worms,21.7161,0.4
10 C,living worms,21.7161,0.466667
10 C,living worms,21.7161,0.233333
10 C,living worms,21.7161,3.36667
10 C,living worms,21.7161,0.433333
10 C,living worms,21.7161,4.03333
10 C,living worms,21.7161,4.23333
10 C,living worms,21.7161,2.56667
10 C,living worms,23.7286,4.03333
10 C,living worms,23.7286,0.566667
10 C,living worms,23.7286,3.03333
10 C,living worms,23.7286,1.43333
10 C,living worms,23.7286,2.76667
10 C,living worms,23.7286,2.3
10 C,living worms,23.7286,4.9
10 C,living worms,23.7286,1.1
10 C,living worms,23.7286,2.73333
10 C,living worms,23.7286,2.6
10 C,living worms,23.7286,0.366667
10 C,living worms,23.7286,2.33333
10 C,living worms,23.7286,4.2
10 C,living worms,23.7286,1.63333
10 C,living worms,23.7286,0.2
10 C,living worms,23.7286,8
10 C,living worms,23.7286,0.2
10 C,living worms,23.7286,8.86667
10 C,living worms,23.7286,0.733333
10 C,living worms,23.7286,0.4
10 C,living worms,23.7286,0.333333
10 C,living worms,23.7286,3.83333
10 C,living worms,23.7286,2.43333
10 C,living worms,23.7286,4.16667
10 C,living worms,23.7286,0.333333
10 C,living worms,23.7286,0.166667
10 C,living worms,23.7286,0.166667
10 C,living worms,23.7286,0.3
10 C,living worms,23.7286,0.366667
10 C,living worms,23.7286,2
10 C,living worms,26.3953,9.5
10 C,living worms,26.3953,9.36667
10 C,living worms,26.3953,1.2
10 C,living worms,26.3953,5.43333
10 C,living worms,26.3953,5.56667
10 C,living worms,26.3953,7.9
10 C,living worms,26.3953,0.2
10 C,living worms,26.3953,2.06667
10 C,living worms,26.3953,4.73333
10 C,living worms,26.3953,2.66667
10 C,living worms,26.3953,6.2
10 C,living worms,26.3953,1.06667
10 C,living worms,26.3953,8.26667
10 C,living worms,26.3953,5.96667
10 C,living worms,26.3953,1.8
10 C,living worms,26.3953,2.16667
10 C,living worms,26.3953,3.23333
10 C,living worms,26.3953,1.7
10 C,living worms,26.3953,1.3
10 C,living worms,26.3953,0.966667
10 C,living worms,26.3953,0.4
10 C,living worms,26.3953,3.23333
10 C,living worms,26.3953,1.46667
10 C,living worms,26.3953,0.766667
10 C,living worms,26.3953,0.433333
10 C,living worms,26.3953,1.1
10 C,living worms,26.3953,1.06667
10 C,living worms,26.3953,1.16667
10 C,living worms,26.3953,0.7
10 C,living worms,26.3953,0.166667
10 C,living worms,26.3953,0.5
10 C,living worms,26.3953,0.666667
10 C,living worms,26.3953,0.666667
10 C,living worms,26.3953,2.3
10 C,living worms,26.3953,2.33333
10 C,living worms,26.3953,0.666667
10 C,living worms,26.3953,2.33333
10 C,living worms,26.3953,1.7
10 C,living worms,26.3953,2.7
10 C,living worms,28.033,3.43333
10 C,living worms,28.033,3.13333
10 C,living worms,28.033,3.3
10 C,living worms,28.033,9.73333
10 C,living worms,28.033,4.76667
10 C,living worms,28.033,2.63333
10 C,living worms,28.033,0.633333
10 C,living worms,28.033,0.333333
10 C,living worms,28.033,0.333333
10 C,living worms,28.033,0.466667
10 C,living worms,28.033,1.36667
10 C,living worms,28.033,0.6
10 C,living worms,28.033,0.266667
10 C,living worms,28.033,0.166667
10 C,living worms,28.033,0.2
10 C,living worms,28.033,4.33333
10 C,living worms,30.4904,2.76667
10 C,living worms,30.4904,2.76667
10 C,living worms,30.4904,1.33333
10 C,living worms,30.4904,2.7
10 C,living worms,30.4904,0.433333
10 C,living worms,30.4904,1.2
10 C,living worms,30.4904,0.9
10 C,living worms,30.4904,0.6
10 C,living worms,30.4904,8.96667
10 C,living worms,33.3087,8.5
10 C,living worms,33.3087,0.166667
10 C,living worms,33.3087,6.06667
10 C,living worms,33.3087,8.86667
10 C,living worms,33.3087,0.233333
10 C,living worms,33.3087,2.5
10 C,living worms,33.3087,2.33333
10 C,living worms,33.3087,4.4
10 C,living worms,33.3087,8.9
10 C,living worms,33.3087,2.6
10 C,living worms,33.3087,1.1
10 C,living worms,33.3087,1.4
10 C,living worms,33.3087,1.46667
10 C,living worms,33.3087,4.93333
10 C,living worms,33.3087,1.83333
20 C,living worms,15.3635,1.6
20 C,living worms,15.3635,0.633333
20 C,living worms,15.3635,2.43333
20 C,living worms,15.3635,0.4
20 C,living worms,15.3635,0.733333
20 C,living worms,15.3635,1.83333
20 C,living worms,15.3635,0.166667
20 C,living worms,15.3635,0.7
20 C,living worms,15.3635,0.3
20 C,living worms,15.3635,1.16667
20 C,living worms,15.3635,1
20 C,living worms,15.3635,2.6
20 C,living worms,15.3635,0.233333
20 C,living worms,15.3635,2
20 C,living worms,15.3635,0.7
20 C,living worms,15.3635,0.433333
20 C,living worms,15.3635,5.6
20 C,living worms,15.3635,3.53333
20 C,living worms,15.3635,2.3
20 C,living worms,15.3635,3.23333
20 C,living worms,15.3635,0.4
20 C,living worms,15.3635,2.13333
20 C,living worms,15.3635,2.23333
20 C,living worms,15.3635,2.3
20 C,living worms,15.3635,3.83333
20 C,living worms,15.3635,0.266667
20 C,living worms,15.3635,0.2
20 C,living worms,15.3635,4.43333
20 C,living worms,15.3635,1.33333
20 C,living worms,15.3635,1.7
20 C,living worms,15.3635,3.43333
20 C,living worms,15.3635,2.06667
20 C,living worms,15.3635,1.3
20 C,living worms,15.3635,3.76667
20 C,living worms,15.3635,2.33333
20 C,living worms,15.3635,0.5
20 C,living worms,15.3635,2.73333
20 C,living worms,15.3635,0.5
20 C,living worms,15.3635,2.06667
20 C,living worms,15.3635,1
20 C,living worms,15.3635,0.266667
20 C,living worms,15.3635,1.06667
20 C,living worms,15.3635,2.33333
20 C,living worms,15.3635,0.566667
20 C,living worms,15.3635,3.8
20 C,living worms,15.3635,2.36667
20 C,living worms,15.3635,1.03333
20 C,living worms,17.8606,0.633333
20 C,living worms,17.8606,1.16667
20 C,living worms,17.8606,0.2
20 C,living worms,17.8606,0.333333
20 C,living worms,17.8606,1.4
20 C,living worms,17.8606,1.93333
20 C,living worms,17.8606,0.266667
20 C,living worms,17.8606,0.4
20 C,living worms,17.8606,2.63333
20 C,living worms,17.8606,0.2
20 C,living worms,17.8606,0.233333
20 C,living worms,17.8606,3.66667
20 C,living worms,17.8606,0.466667
20 C,living worms,17.8606,0.7
20 C,living worms,17.8606,1
20 C,living worms,17.8606,1.73333
20 C,living worms,21.3087,0.433333
20 C,living worms,21.3087,1.53333
20 C,living worms,21.3087,1.1
20 C,living worms,21.3087,0.433333
20 C,living worms,21.3087,0.333333
20 C,living worms,21.3087,0.233333
20 C,living worms,21.3087,3.8
20 C,living worms,21.3087,0.466667
20 C,living worms,21.3087,0.833333
20 C,living worms,21.3087,0.8
20 C,living worms,21.3087,0.766667
20 C,living worms,21.3087,0.866667
20 C,living worms,21.3087,2.3
20 C,living worms,21.3087,1.83333
20 C,living worms,21.3087,0.466667
20 C,living worms,21.3087,2.46667
20 C,living worms,21.3087,0.233333
20 C,living worms,21.3087,0.266667
20 C,living worms,21.3087,0.8
20 C,living worms,21.3087,1.2
20 C,living worms,21.3087,1.43333
20 C,living worms,21.3087,1.9
20 C,living worms,21.3087,0.8
20 C,living worms,21.3087,0.166667
20 C,living worms,21.3087,0.2
20 C,living worms,21.3087,0.966667
20 C,living worms,21.3087,0.6
20 C,living worms,21.3087,0.2
20 C,living worms,21.3087,3.23333
20 C,living worms,21.3087,1.5
20 C,living worms,21.3087,0.7
20 C,living worms,21.3087,0.533333
20 C,living worms,21.3087,1.33333
20 C,living worms,24.9221,0.6
20 C,living worms,24.9221,0.4
20 C,living worms,24.9221,1.3
20 C,living worms,24.9221,2.56667
20 C,living worms,24.9221,2.1
20 C,living worms,24.9221,1.66667
20 C,living worms,24.9221,0.233333
20 C,living worms,24.9221,1.33333
20 C,living worms,24.9221,0.5
20 C,living worms,24.9221,1.23333
20 C,living worms,24.9221,0.3
20 C,living worms,24.9221,3.1
20 C,living worms,24.9221,0.166667
20 C,living worms,24.9221,0.866667
20 C,living worms,24.9221,7.1
20 C,living worms,24.9221,1.9
20 C,living worms,24.9221,1.7
20 C,living worms,24.9221,1.26667
20 C,living worms,24.9221,1.83333
20 C,living worms,24.9221,2.36667
20 C,living worms,24.9221,0.7
20 C,living worms,24.9221,2.46667
20 C,living worms,24.9221,0.266667
20 C,living worms,24.9221,0.266667
20 C,living worms,24.9221,0.966667
20 C,living worms,24.9221,2.5
20 C,living worms,24.9221,0.333333
20 C,living worms,24.9221,0.866667
20 C,living worms,24.9221,6.4
20 C,living worms,24.9221,1.06667
20 C,living worms,24.9221,1.33333
20 C,living worms,24.9221,0.6
20 C,living worms,24.9221,0.533333
20 C,living worms,30.7063,0.933333
20 C,living worms,30.7063,2.2
20 C,living worms,30.7063,0.6
20 C,living worms,30.7063,0.266667
20 C,living worms,30.7063,0.7
20 C,living worms,30.7063,0.233333
20 C,living worms,30.7063,0.266667
20 C,living worms,30.7063,0.933333
20 C,living worms,30.7063,0.8
20 C,living worms,30.7063,1.23333
20 C,living worms,30.7063,1.03333
20 C,living worms,30.7063,0.6
20 C,living worms,30.7063,0.333333
20 C,living worms,30.7063,0.166667
20 C,living worms,30.7063,0.833333
20 C,living worms,30.7063,1.16667
20 C,living worms,30.7063,0.4
20 C,living worms,30.7063,0.433333
20 C,living worms,30.7063,0.466667
20 C,living worms,30.7063,0.3
20 C,living worms,30.7063,0.533333
20 C,living worms,30.7063,2.36667
20 C,living worms,30.7063,0.633333
20 C,living worms,30.7063,0.633333
20 C,living worms,30.7063,0.5
20 C,living worms,30.7063,0.4
20 C,living worms,30.7063,0.6
20 C,living worms,30.7063,1.1
20 C,living worms,30.7063,0.366667
20 C,living worms,30.7063,0.433333
20 C,living worms,30.7063,0.5
20 C,living worms,30.7063,0.166667
20 C,living worms,30.7063,0.266667
20 C,living worms,30.7063,0.266667
20 C,living worms,30.7063,0.966667
20 C,living worms,30.7063,0.6
20 C,living worms,30.7063,0.766667
20 C,living worms,30.7063,0.5
20 C,living worms,30.7063,2.9
20 C,living worms,30.7063,1.06667
20 C,living worms,30.7063,0.733333
20 C,living worms,30.7063,6.96667
20 C,living worms,30.7063,2.46667
20 C,living worms,30.7063,2.06667
20 C,living worms,30.7063,1
20 C,living worms,30.7063,0.166667
20 C,living worms,30.7063,9.8
20 C,living worms,30.7063,2.96667
20 C,living worms,30.7063,3
20 C,living worms,30.7063,0.7
20 C,living worms,30.7063,0.2
20 C,living worms,30.7063,3.73333
