series,contour_length_mm,tau_tr_min
living worms,14.212,1.96667
living worms,14.212,5.4
living worms,14.212,0.2
living worms,14.212,0.166667
living worms,14.212,0.4
living worms,14.212,1.5
living worms,14.212,2.4
living worms,19.4779,1.96667
living worms,19.4779,1.66667
living worms,19.4779,2.06667
living worms,19.4779,0.366667
living worms,19.4779,3.9
living worms,19.4779,0.533333
living worms,19.4779,1.26667
living worms,19.4779,1.63333
living worms,19.4779,0.733333
living worms,19.4779,0.633333
living worms,19.4779,2.5
living worms,19.4779,0.8
living worms,19.4779,2.66667
living worms,19.4779,0.633333
living worms,19.4779,1.5
living worms,19.4779,3
living worms,19.4779,0.4
living worms,19.4779,1.03333
living worms,19.4779,1.26667
living worms,19.4779,1.8
living worms,19.4779,0.2
living worms,19.4779,3.16667
living worms,19.4779,9.9
living worms,19.4779,0.966667
living worms,19.4779,1.6
living worms,19.4779,0.866667
living worms,19.4779,0.766667
living worms,19.4779,1.8
living worms,19.4779,2.66667
living worms,19.4779,0.566667
living worms,19.4779,5.6
living worms,19.4779,7
living worms,19.4779,7.96667
living worms,19.4779,0.466667
living worms,19.4779,6.13333
living worms,19.4779,3.7
living worms,19.4779,1.66667
living worms,19.4779,6.5
living worms,19.4779,1.13333
living worms,19.4779,1.43333
living worms,19.4779,1.16667
living worms,21.7183,5.86667
living worms,21.7183,8.4
living worms,21.7183,1.6
living worms,21.7183,0.233333
living worms,21.7183,6.36667
living worms,21.7183,0.233333
living worms,21.7183,3.4
living worms,21.7183,2.76667
living worms,21.7183,2.83333
living worms,21.7183,1.16667
living worms,21.7183,1.83333
living worms,21.7183,1.56667
living worms,21.7183,2.56667
living worms,21.7183,0.166667
living worms,21.7183,7.6
living worms,21.7183,2.83333
living worms,21.7183,4.56667
living worms,21.7183,5.1
living worms,21.7183,7.4
living worms,21.7183,0.333333
living worms,21.7183,1.36667
living worms,21.7183,0.166667
living worms,21.7183,7.3
living worms,21.7183,0.7
living worms,21.7183,3.73333
living worms,21.7183,2.13333
living worms,21.7183,3.36667
living worms,21.7183,0.266667
living worms,21.7183,4.83333
living worms,21.7183,2.2
living worms,21.7183,2.63333
living worms,21.7183,4.26667
living worms,21.7183,5.66667
living worms,21.7183,0.2
living worms,21.7183,1.7
living worms,21.7183,2.8
living worms,21.7183,2.36667
living worms,21.7183,7
living worms,21.7183,7.56667
living worms,21.7183,2.13333
living worms,21.7183,4.46667
living worms,21.7183,0.566667
living worms,21.7183,1.6
living worms,21.7183,9.23333
