panel,series,kappa_over_uE,shannon_entropy_H,fa_nN,T_star
-,model,0.35,5.56777,30,0.08
-,model,0.4,5.67977,30,0.08
-,model,0.5,5.74387,30,0.08
-,model,0.65,5.69178,30,0.08
-,model,0.3,5.35433,30,0.1
-,model,0.35,5.43728,30,0.1
-,model,0.4,5.61291,30,0.1
-,model,0.5,5.72428,30,0.1
-,model,0.65,5.71572,30,0.1
-,model,0.8,5.6594,30,0.1
-,model,1,5.55923,30,0.1
-,model,0.35,5.21259,30,0.15
-,model,0.4,5.30805,30,0.15
-,model,0.5,5.48814,30,0.15
-,model,0.65,5.60194,30,0.15
-,model,0.3,4.91505,30,0.2
-,model,0.35,5.04606,30,0.2
-,model,0.4,5.0672,30,0.2
-,model,0.5,5.21321,30,0.2
-,model,0.65,5.36568,30,0.2
-,model,0.8,5.51468,30,0.2
-,model,1,5.59561,30,0.2
-,model,0.3,4.78319,30,0.3
-,model,0.35,4.8178,30,0.3
-,model,0.4,4.90076,30,0.3
-,model,0.5,4.95002,30,0.3
-,model,0.65,5.08062,30,0.3
-,model,0.8,5.21098,30,0.3
-,model,1,5.39314,30,0.3
-,model,0.414,5.64134,31,0.097
-,model,0.3,5.34062,40,0.1
-,model,0.4,5.43027,40,0.1
-,model,0.5,5.68367,40,0.1
-,model,0.65,5.73255,40,0.1
-,model,0.8,5.69439,40,0.1
-,model,1,5.61659,40,0.1
-,model,0.3,4.91499,40,0.2
-,model,0.4,5.07468,40,0.2
-,model,0.5,5.24371,40,0.2
-,model,0.65,5.42145,40,0.2
-,model,0.8,5.52545,40,0.2
-,model,1,5.65704,40,0.2
-,model,0.3,4.86243,40,0.3
-,model,0.5,4.96783,40,0.3
-,model,0.65,5.13318,40,0.3
-,model,0.8,5.24189,40,0.3
-,model,1,5.36691,40,0.3
-,model,0.35,5.59796,50,0.08
-,model,0.4,5.66282,50,0.08
-,model,0.5,5.75855,50,0.08
-,model,0.65,5.74469,50,0.08
-,model,0.3,5.28592,50,0.1
-,model,0.35,5.3768,50,0.1
-,model,0.4,5.48583,50,0.1
-,model,0.5,5.68329,50,0.1
-,model,0.6,5.6461,50,0.1
-,model,0.65,5.78026,50,0.1
-,model,0.8,5.7166,50,0.1
-,model,1,5.5923,50,0.1
-,model,0.35,5.16193,50,0.15
-,model,0.4,5.30258,50,0.15
-,model,0.5,5.44132,50,0.15
-,model,0.65,5.58376,50,0.15
-,model,0.3,4.97178,50,0.2
-,model,0.35,5.0156,50,0.2
-,model,0.4,5.06488,50,0.2
-,model,0.5,5.22738,50,0.2
-,model,0.65,5.42788,50,0.2
-,model,0.8,5.53811,50,0.2
-,model,1,5.64807,50,0.2
-,model,0.3,4.83247,50,0.3
-,model,0.35,4.86347,50,0.3
-,model,0.4,4.90076,50,0.3
-,model,0.5,5.00301,50,0.3
-,model,0.65,5.14198,50,0.3
-,model,0.8,5.29018,50,0.3
-,model,1,5.42829,50,0.3
-,model,0.4,5.07219,60,0.2
-,model,0.35,5.3633,80,0.08
-,model,0.4,5.49788,80,0.08
-,model,0.5,5.69354,80,0.08
-,model,0.65,5.80337,80,0.08
-,model,0.35,5.24827,80,0.1
-,model,0.4,5.42062,80,0.1
-,model,0.5,5.61388,80,0.1
-,model,0.65,5.7539,80,0.1
-,model,1,5.68179,80,0.1
-,model,0.35,5.06099,80,0.15
-,model,0.4,5.15239,80,0.15
-,model,0.5,5.35749,80,0.15
-,model,0.65,5.56553,80,0.15
-,model,0.35,4.96545,80,0.2
-,model,0.4,5.01151,80,0.2
-,model,0.5,5.14078,80,0.2
-,model,0.65,5.35529,80,0.2
-,model,0.35,4.88235,80,0.3
-,model,0.4,4.93189,80,0.3
-,model,0.5,4.96444,80,0.3
-,model,0.65,5.08326,80,0.3
-,model,0.35,5.27434,100,0.08
-,model,0.4,5.40354,100,0.08
-,model,0.5,5.61353,100,0.08
-,model,0.65,5.796,100,0.08
-,model,0.35,5.1397,100,0.1
-,model,0.4,5.2601,100,0.1
-,model,0.5,5.49134,100,0.1
-,model,0.6,5.40587,100,0.1
-,model,0.65,5.72436,100,0.1
-,model,1,5.72565,100,0.1
-,model,0.35,4.94417,100,0.15
-,model,0.4,5.06001,100,0.15
-,model,0.5,5.24216,100,0.15
-,model,0.65,5.48048,100,0.15
-,model,0.35,4.88536,100,0.2
-,model,0.4,4.94839,100,0.2
-,model,0.5,5.07798,100,0.2
-,model,0.65,5.25885,100,0.2
-,model,0.35,4.95431,100,0.3
-,model,0.4,4.90156,100,0.3
-,model,0.5,4.99635,100,0.3
-,model,0.65,5.15401,100,0.3
-,model,0.4,5.16369,117.8,0.103
-,model,0.35,4.98257,120,0.08
-,model,0.4,5.28296,120,0.08
-,model,0.5,5.53948,120,0.08
-,model,0.65,5.75496,120,0.08
-,model,0.35,5.04102,120,0.1
-,model,0.4,5.1465,120,0.1
-,model,0.5,5.41427,120,0.1
-,model,0.65,5.63006,120,0.1
-,model,1,5.75803,120,0.1
-,model,0.35,4.90576,120,0.15
-,model,0.4,4.9717,120,0.15
-,model,0.5,5.15724,120,0.15
-,model,0.65,5.38484,120,0.15
-,model,0.35,4.88777,120,0.2
-,model,0.4,5.00575,120,0.2
-,model,0.5,5.09435,120,0.2
-,model,0.65,5.40298,120,0.2
-,model,0.35,5.00743,120,0.3
-,model,0.4,5.119,120,0.3
-,model,0.5,5.23963,120,0.3
-,model,0.65,5.32478,120,0.3
-,model,0.35,4.96825,150,0.08
-,model,0.5,5.36236,150,0.08
-,model,0.65,5.66487,150,0.08
-,model,0.35,4.88934,150,0.1
-,model,0.5,5.2765,150,0.1
-,model,0.65,5.67221,150,0.1
-,model,0.35,4.92834,150,0.15
-,model,0.5,5.28445,150,0.15
-,model,0.65,5.5945,150,0.15
-,model,0.4,5.23568,200,0.1
-,model,0.6,5.31262,200,0.1
